id,frame_index,timestamp,tx,ty,tz,qx,qy,qz,qw,point_count
0,0,1750921983.146057129,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,511
1,5,1750921983.206057549,-0.014279353,-0.007235350,-0.098110457,-0.000310226,0.032776475,-0.002972246,0.999458239,574
2,14,1750921983.314058304,-0.051100901,-0.007449478,-0.274957930,-0.004544149,0.098093763,-0.008968783,0.995126387,493
3,22,1750921983.410058975,-0.120486270,-0.028560236,-0.417864737,-0.000231997,0.153815211,-0.012291572,0.988023150,419
4,28,1750921983.482059479,-0.170222923,-0.028006693,-0.525230297,-0.004994165,0.198752632,-0.014216149,0.979933850,414
5,36,1750921983.578060150,-0.252078969,-0.037686074,-0.658560904,-0.004156219,0.255128095,-0.019539062,0.966700887,435
6,41,1750921983.638060570,-0.301689560,-0.040540161,-0.745084055,-0.003684594,0.292830004,-0.021966152,0.955905069,350
7,49,1750921983.734061241,-0.411711787,-0.047754057,-0.850014723,-0.002552144,0.343589055,-0.027007397,0.938728208,309
8,54,1750921983.794061661,-0.480171234,-0.044884222,-0.919018037,-0.004328244,0.377504645,-0.029757021,0.925519329,416
9,66,1750921983.938062668,-0.672551098,-0.050709165,-1.048804322,-0.001176417,0.448321709,-0.034596289,0.893201745,474
10,76,1750921984.058063507,-0.844339452,-0.050560574,-1.136357349,-0.004029717,0.502863432,-0.037328389,0.863550069,433
11,84,1750921984.154064178,-0.986421882,-0.048172524,-1.189334598,-0.002259498,0.543919819,-0.042280637,0.838068299,513
12,94,1750921984.274065018,-1.179365751,-0.046399412,-1.239978307,-0.004163349,0.594003155,-0.045357915,0.803172197,584
13,108,1750921984.442066193,-1.435579916,-0.037931582,-1.258877681,-0.002944216,0.659526466,-0.048275799,0.750123736,594
14,122,1750921984.610067368,-1.710591191,-0.032677844,-1.231844999,0.000522744,0.726491335,-0.053491801,0.685090282,571
15,135,1750921984.766068459,-1.951460133,-0.015741245,-1.164790448,-0.001424156,0.784687636,-0.053280128,0.617595753,443
16,142,1750921984.850069046,-2.044690592,0.009460952,-1.132738692,-0.005439015,0.815159020,-0.046648765,0.577330133,392
17,147,1750921984.910069466,-2.128932587,0.013295122,-1.082104817,-0.005437919,0.834096692,-0.047315887,0.549558317,344
18,152,1750921984.970069885,-2.219601179,0.005101057,-1.014572332,-0.002606385,0.851549187,-0.052502007,0.521632752,346
19,157,1750921985.030070305,-2.301383408,0.010187785,-0.963441242,-0.003083006,0.869802477,-0.053180702,0.490516012,396
20,162,1750921985.090070724,-2.378034840,0.014164274,-0.898866940,-0.003054581,0.886619254,-0.055437966,0.459155311,458
21,167,1750921985.150071144,-2.449617170,0.021511976,-0.831428362,-0.002830248,0.902521672,-0.055520558,0.427041087,532
22,172,1750921985.210071564,-2.520121283,0.022780585,-0.755736851,-0.004537175,0.916944150,-0.055694541,0.395083483,526
23,181,1750921985.318072319,-2.609520236,0.026894000,-0.617290782,-0.005279238,0.939799916,-0.057901753,0.336742683,559
24,192,1750921985.450073242,-2.718353753,0.029527574,-0.437350751,-0.007110224,0.963619903,-0.062279782,0.259821776,633
25,205,1750921985.606074333,-2.804610998,0.045158758,-0.212924453,-0.008431402,0.983147652,-0.064383199,0.170892977,576
26,218,1750921985.762075424,-2.840314918,0.065693012,0.027523763,-0.007243977,0.994558669,-0.062997341,0.082655390,575
27,231,1750921985.918076515,-2.837247533,0.088736565,0.279571472,-0.003347345,0.998053798,-0.061936532,-0.006424736,437
28,242,1750921986.050077438,-2.789663887,0.105329867,0.501610101,-0.001868339,0.994698577,-0.064026082,-0.080448192,491
29,251,1750921986.158078194,-2.721117226,0.115391116,0.679072629,0.000441759,0.987669686,-0.063972907,-0.142884091,524
30,263,1750921986.302079201,-2.608187062,0.124594133,0.901494233,0.001112694,0.972186714,-0.066894422,-0.224447971,547
31,272,1750921986.410079956,-2.504757789,0.128370817,1.050391593,-0.000422788,0.955806448,-0.067702036,-0.286094895,487
32,279,1750921986.494080544,-2.413265233,0.139843889,1.152041726,0.000640619,0.940117665,-0.067073231,-0.334184899,481
33,286,1750921986.578081131,-2.313009200,0.144122295,1.239912674,0.002820424,0.922992631,-0.065276659,-0.379230280,544
34,297,1750921986.710082054,-2.133534802,0.158012892,1.372698303,0.005426071,0.891694057,-0.059100723,-0.448730846,626
35,310,1750921986.866083145,-1.898915098,0.171034254,1.491428159,-0.005477430,-0.846532613,0.059173433,0.529009487,608
36,323,1750921987.022084236,-1.642149762,0.174048241,1.562149853,-0.008526293,-0.796140857,0.052226480,0.602793027,484
37,336,1750921987.178085327,-1.378211217,0.175156226,1.592998545,-0.011795414,-0.738963730,0.044946196,0.672140844,394
38,346,1750921987.298086166,-1.164461999,0.168811568,1.588009342,-0.011777602,-0.689756594,0.040563416,0.722808231,487
39,355,1750921987.406086922,-0.979145223,0.156556105,1.539855731,-0.011846817,-0.643492612,0.035537380,0.764535157,455
40,361,1750921987.478087425,-0.857046835,0.149465300,1.486739460,-0.013089050,-0.610448574,0.032388680,0.791285150,502
41,370,1750921987.586088181,-0.706421027,0.161398232,1.408347679,-0.022405533,-0.558250639,0.024982845,0.828993410,536
42,376,1750921987.658088684,-0.553430923,0.132502067,1.357785776,-0.015986538,-0.518085309,0.026303946,0.854774909,522
43,383,1750921987.742089272,-0.433103144,0.130587403,1.287531388,-0.012334094,-0.472190146,0.023640289,0.881093339,556
44,389,1750921987.814089775,-0.337729579,0.126166950,1.229757182,-0.009453947,-0.430914678,0.021315677,0.902091351,549
45,398,1750921987.922090530,-0.229092345,0.145079695,1.085736501,-0.012209888,-0.376983400,0.020603228,0.925910332,491
46,406,1750921988.018091202,-0.129498496,0.139948730,0.961148309,-0.011137787,-0.324150263,0.018836906,0.945752466,601
47,413,1750921988.102091789,-0.079998053,0.104229486,0.803472622,-0.008105897,-0.284152253,0.014198532,0.958639762,566
48,422,1750921988.210092545,-0.002068524,0.070086277,0.626229993,-0.005815780,-0.225566802,0.009526606,0.974163764,587
49,429,1750921988.294093132,0.047784729,0.059896909,0.484862649,-0.005355388,-0.177958864,0.005962612,0.984005289,546
50,434,1750921988.354093552,0.078034652,0.060208702,0.386019821,-0.005979581,-0.142526583,0.005043542,0.989760062,601
51,448,1750921988.522094727,0.105062957,0.026603410,0.088722356,-0.009184516,-0.050983869,-0.000169017,0.998657229,612
52,460,1750921988.666095734,0.117831091,0.027435316,-0.166323405,-0.018270212,0.040868366,-0.009680916,0.998950577,553
53,472,1750921988.810096741,0.050446224,0.010521432,-0.404978106,-0.015760124,0.129187767,-0.013548776,0.991402325,339
54,480,1750921988.906097412,-0.004432931,-0.011080889,-0.574676668,-0.017550179,0.190836358,-0.019571086,0.981269814,259
55,486,1750921988.978097916,-0.064387532,-0.019296003,-0.688981256,-0.017490419,0.233583671,-0.022900149,0.971909634,282
56,493,1750921989.062098503,-0.152500989,-0.030694357,-0.823969615,-0.016496346,0.278457542,-0.024001062,0.960006884,257
57,498,1750921989.122098923,-0.218313796,-0.031671483,-0.915616868,-0.017182287,0.310882011,-0.026216111,0.949931503,263
58,503,1750921989.182099342,-0.299637308,-0.045002874,-0.999637665,-0.013727532,0.341848887,-0.028224283,0.939230687,251
59,508,1750921989.242099762,-0.377630001,-0.050321551,-1.073736539,-0.013124324,0.371887785,-0.028002363,0.927762413,230
60,513,1750921989.302100182,-0.462507310,-0.053936972,-1.145093838,-0.010774028,0.401659191,-0.030084462,0.915231523,265
61,518,1750921989.362100601,-0.555636211,-0.060792760,-1.219351094,-0.011250061,0.433055977,-0.033156243,0.900686750,272
62,523,1750921989.422101021,-0.645869428,-0.065843495,-1.277741892,-0.011860180,0.463607599,-0.034781263,0.885278258,271
63,528,1750921989.482101440,-0.746687508,-0.068771225,-1.339237764,-0.012159427,0.494924412,-0.037857422,0.868025801,334
64,533,1750921989.542101860,-0.838587137,-0.075623406,-1.379289183,-0.008524128,0.523429169,-0.041073569,0.851035961,348
65,538,1750921989.602102280,-0.936003114,-0.078759293,-1.415751812,-0.010643298,0.551365928,-0.043139603,0.833079413,379
66,543,1750921989.662102699,-1.040405230,-0.078780388,-1.452893864,-0.008100240,0.580200804,-0.045653282,0.813152625,418
67,549,1750921989.734103203,-1.170657550,-0.085543140,-1.484542028,-0.008922704,0.613601777,-0.046951476,0.788168005,515
68,562,1750921989.890104294,-1.449918894,-0.089052347,-1.512023073,-0.005292312,0.680200649,-0.053053578,0.731084391,553
69,575,1750921990.046105385,-1.698095256,-0.068764730,-1.478123992,-0.001079868,0.745527327,-0.057125728,0.664021453,542
70,588,1750921990.202106476,-1.935608923,-0.039852070,-1.384314667,-0.004783357,0.802199312,-0.055945256,0.594410222,411
71,593,1750921990.262106895,-2.025368467,-0.030737283,-1.349863239,-0.005175691,0.822848623,-0.056729995,0.565398146,395
72,598,1750921990.322107315,-2.122161106,-0.022024525,-1.304543760,-0.004382728,0.841524983,-0.056193611,0.537269739,366
73,603,1750921990.382107735,-2.216934014,-0.013568478,-1.250291871,-0.003413228,0.858241227,-0.058435731,0.509897649,326
74,608,1750921990.442108154,-2.300050318,-0.008274617,-1.197658542,-0.004350486,0.873958182,-0.059343224,0.482344846,305
75,613,1750921990.502108574,-2.385908297,0.005266419,-1.129047019,-0.005953736,0.888783173,-0.057228156,0.454702059,369
76,618,1750921990.562108994,-2.455922160,0.004667129,-1.059109336,-0.006201057,0.901039889,-0.059362723,0.429609976,483
77,623,1750921990.622109413,-2.528945855,0.006519507,-0.982152989,-0.004393825,0.913264382,-0.059562372,0.402965490,573
78,633,1750921990.742110252,-2.659421465,0.012789395,-0.809331591,-0.005616312,0.935465749,-0.058727460,0.348458569,591
79,647,1750921990.910111427,-2.820821749,0.030096108,-0.542139025,-0.005611398,0.960331496,-0.064265935,0.271296553,627
80,662,1750921991.090112686,-2.952627963,0.046202375,-0.262347375,-0.011004332,0.980578765,-0.068598149,0.183407973,503
81,676,1750921991.258113861,-2.989197418,0.083862062,0.054113935,-0.008665031,0.992771106,-0.064289516,0.100981717,499
82,690,1750921991.426115036,-2.993579835,0.108990120,0.358939964,-0.001163841,0.997613334,-0.068853056,0.005053495,425
83,699,1750921991.534115791,-2.964984314,0.120308153,0.558747581,-0.002065639,0.995886268,-0.067511438,-0.060402656,375
84,707,1750921991.630116463,-2.910142343,0.135795934,0.712060478,0.000115142,0.991215600,-0.062757852,-0.116417670,411
85,716,1750921991.738117218,-2.831110086,0.138017902,0.883076117,-0.000289813,0.981572514,-0.065753282,-0.179420796,443
86,726,1750921991.858118057,-2.721624787,0.149239737,1.061894676,0.000599662,0.966209483,-0.065444565,-0.249310817,546
87,735,1750921991.966118813,-2.604939891,0.160413042,1.210148949,0.001052549,0.947996835,-0.066030793,-0.311353220,434
88,743,1750921992.062119484,-2.484133164,0.167769150,1.314159987,0.004425596,0.929748310,-0.064328311,-0.362505673,537
89,752,1750921992.170120239,-2.340134302,0.176721897,1.421300132,0.004419757,0.905272719,-0.060790184,-0.420435873,564
90,763,1750921992.302121162,-2.156093927,0.183443950,1.520663410,0.005310754,0.870025924,-0.059681924,-0.489351362,589
91,776,1750921992.458122253,-1.937758459,0.194536180,1.610681961,-0.008391229,-0.821659573,0.052538554,0.567489941,446
92,785,1750921992.566123009,-1.754509153,0.183319952,1.636121882,-0.012818403,-0.785383035,0.049104286,0.616926208,480
93,796,1750921992.698123932,-1.539594757,0.182947684,1.651017358,-0.012996164,-0.735119865,0.041258243,0.676555719,408
94,804,1750921992.794124603,-1.392747533,0.178168710,1.632079997,-0.012208935,-0.696811605,0.037999187,0.716142856,447
95,814,1750921992.914125443,-1.195072554,0.166872920,1.586864689,-0.013484042,-0.646273144,0.032835890,0.762280137,518
96,822,1750921993.010126114,-1.041729899,0.146753187,1.527955074,-0.014375028,-0.603736154,0.028676437,0.796538559,488
97,827,1750921993.070126534,-0.954465769,0.140674117,1.477464750,-0.014630391,-0.576311467,0.027914601,0.816622201,467
98,833,1750921993.142127037,-0.853432756,0.134235934,1.422651105,-0.015170547,-0.542514934,0.023664142,0.839575732,515
99,841,1750921993.238127708,-0.685037363,0.108277054,1.308630228,-0.014201552,-0.496260544,0.022170477,0.867774313,503
100,846,1750921993.298128128,-0.587167917,0.158309186,1.299726403,-0.015994512,-0.461397929,0.021668482,0.886784418,446
101,853,1750921993.382128716,-0.491148154,0.113784715,1.155488197,-0.008887441,-0.418144775,0.016628628,0.908184700,496
102,862,1750921993.490129471,-0.384367856,0.122498652,1.037467410,-0.008356881,-0.360504308,0.016332613,0.932577103,598
103,873,1750921993.622130394,-0.272826549,0.107490583,0.850493143,-0.006164283,-0.289753422,0.013444174,0.956987048,536
104,881,1750921993.718131065,-0.210000265,0.086966976,0.702912971,-0.007030240,-0.237185898,0.009362667,0.971393723,491
105,886,1750921993.778131485,-0.182285258,0.078576119,0.607258681,-0.004693330,-0.203464793,0.008254300,0.979036218,519
106,892,1750921993.850131989,-0.153630164,0.072243873,0.497595924,-0.005307704,-0.161937163,0.007675137,0.986756949,511
107,898,1750921993.922132492,-0.140959233,0.061465285,0.378191839,-0.006155357,-0.121034263,0.005996687,0.992611132,592
108,911,1750921994.078133583,-0.130771886,0.045434672,0.123332844,-0.008073631,-0.031627139,0.002225374,0.999464651,696
109,924,1750921994.234134674,-0.174012741,0.027453407,-0.133636957,-0.010887624,0.058244475,-0.002625644,0.998239524,561
110,936,1750921994.378135681,-0.265108321,-0.000896676,-0.357637422,-0.005240611,0.137158645,-0.008447883,0.990499205,430
111,944,1750921994.474136353,-0.309940250,-0.005137802,-0.495075455,-0.008888412,0.196264434,-0.012890509,0.980425980,382
112,952,1750921994.570137024,-0.390914962,-0.019789658,-0.626617700,-0.007512118,0.252464016,-0.018929630,0.967391936,336
113,961,1750921994.678137779,-0.493330143,-0.019246390,-0.745760746,-0.009209129,0.313456064,-0.021650853,0.949311186,384
114,971,1750921994.798138618,-0.628029775,-0.028357581,-0.857578433,-0.007860547,0.377295309,-0.028424888,0.925623297,437
115,982,1750921994.930139542,-0.793086588,-0.030814343,-0.958930017,-0.010057772,0.444562008,-0.033368770,0.895069823,434
116,992,1750921995.050140381,-0.956773123,-0.032321313,-1.034052860,-0.005433848,0.501332857,-0.037766038,0.864412845,536
117,1003,1750921995.182141304,-1.142947911,-0.036190575,-1.090513973,-0.005990908,0.558678627,-0.040779925,0.828359401,496
118,1012,1750921995.290142059,-1.314050333,-0.043316341,-1.128736630,-0.005893034,0.604370231,-0.044180084,0.795455854,596
119,1027,1750921995.470143318,-1.596206729,-0.043041826,-1.143960583,-0.002064378,0.674873569,-0.050821993,0.736178327,609
120,1041,1750921995.638144493,-1.866129646,-0.011181325,-1.112197049,-0.004664483,0.739014080,-0.052267926,0.671643131,507
121,1051,1750921995.758145332,-2.046684785,0.016830242,-1.086955643,-0.009642813,0.788247071,-0.048780075,0.613346620,362
122,1056,1750921995.818145752,-2.143633502,0.014283347,-1.037157538,-0.010389667,0.808146217,-0.049139901,0.586836448,339
123,1061,1750921995.878146172,-2.241174949,0.010968100,-0.995725980,-0.008741043,0.828910474,-0.049745434,0.557096411,402
124,1066,1750921995.938146591,-2.334305031,0.008961323,-0.942785233,-0.009410487,0.848834086,-0.051467080,0.526063947,345
125,1071,1750921995.998147011,-2.422852001,0.009482896,-0.884688061,-0.008171725,0.868065792,-0.053474083,0.493493188,387
126,1076,1750921996.058147430,-2.507517995,0.010288871,-0.823308056,-0.007889756,0.886491347,-0.054179972,0.459494695,430
127,1081,1750921996.118147850,-2.587558833,0.011404949,-0.750129225,-0.007679533,0.903003587,-0.056705304,0.425805184,471
128,1087,1750921996.190148354,-2.668098971,0.008811522,-0.656947917,-0.008595936,0.921274060,-0.059366531,0.384260110,567
129,1099,1750921996.334149361,-2.817908390,0.017529289,-0.468914488,-0.010085949,0.953042108,-0.064075261,0.295809694,614
130,1111,1750921996.478150368,-2.927544834,0.032754420,-0.273781757,-0.010688754,0.975934859,-0.065737555,0.207642662,601
131,1124,1750921996.634151459,-2.993661120,0.033358218,-0.038849273,-0.010692817,0.990308825,-0.070491572,0.119184873,612
132,1137,1750921996.790152550,-3.020830609,0.063420678,0.212906259,-0.006641774,0.997256796,-0.067889948,0.028735420,448
133,1150,1750921996.946153641,-2.992450555,0.090804699,0.469825319,-0.004517845,0.995828930,-0.069002812,-0.059522633,362
134,1159,1750921997.054154396,-2.967914670,0.090432173,0.684372466,-0.002219870,0.989089811,-0.072047201,-0.128474192,433
135,1168,1750921997.162155151,-2.874965454,0.112894923,0.838515712,-0.000105258,0.981170182,-0.065675154,-0.181636554,470
136,1179,1750921997.294156075,-2.776242123,0.133602404,1.059673297,0.000906984,0.963092057,-0.067599420,-0.260544017,484
137,1186,1750921997.378156662,-2.678221509,0.139070326,1.167492327,0.001899815,0.950491640,-0.070214976,-0.302707597,393
138,1192,1750921997.450157166,-2.590824201,0.149720533,1.264399288,0.004767493,0.937428984,-0.070676314,-0.340894454,450
139,1200,1750921997.546157837,-2.461349507,0.172138041,1.380990929,0.004651739,0.917535444,-0.063579644,-0.392510764,544
140,1209,1750921997.654158592,-2.313110606,0.183220986,1.485335250,0.005715079,0.891050750,-0.060379099,-0.449833595,624
141,1221,1750921997.798159599,-2.076134724,0.190952375,1.606322433,-0.006519383,-0.848247863,0.061964527,0.525921532,594
142,1233,1750921997.942160606,-1.834080479,0.201183415,1.682324407,-0.010071183,-0.799497829,0.055387912,0.598025060,364
143,1239,1750921998.014161110,-1.706549296,0.200927781,1.702772412,-0.012424904,-0.773423612,0.050877699,0.631722247,404
144,1250,1750921998.146162033,-1.476336709,0.199634063,1.716439346,-0.011927539,-0.721370232,0.049140832,0.690701021,487
145,1262,1750921998.290163040,-1.223202518,0.205876336,1.696364975,-0.011685797,-0.657821813,0.040114129,0.752013804,496
146,1272,1750921998.410163879,-1.008403832,0.187315796,1.647158084,-0.013792624,-0.601563711,0.031150191,0.798098071,469
147,1277,1750921998.470164299,-0.918629934,0.188699870,1.595394062,-0.016069154,-0.574181364,0.031496282,0.817964258,527
148,1284,1750921998.554164886,-0.773211322,0.171544874,1.520456531,-0.015547695,-0.532694102,0.026807864,0.845740268,445
149,1291,1750921998.638165474,-0.645585457,0.164162052,1.432949711,-0.017229971,-0.489465647,0.024298975,0.871513665,407
150,1296,1750921998.698165894,-0.570787889,0.166755661,1.376499701,-0.017630668,-0.458053133,0.022643544,0.888461455,406
151,1301,1750921998.758166313,-0.494175192,0.151730534,1.305145217,-0.014860180,-0.427806914,0.022347469,0.903471643,493
152,1312,1750921998.890167236,-0.351063291,0.143821138,1.135010057,-0.012509184,-0.357391999,0.020208090,0.933652030,499
153,1322,1750921999.010168076,-0.228882182,0.124895938,0.963807473,-0.010456442,-0.291521030,0.016213069,0.956369849,549
154,1332,1750921999.130168915,-0.145531357,0.102220215,0.744866042,-0.009499162,-0.229779848,0.011036244,0.973133695,540
155,1339,1750921999.214169502,-0.094566197,0.090182418,0.609930413,-0.006600283,-0.182808146,0.009200572,0.983083398,517
156,1344,1750921999.274169922,-0.065946512,0.080696061,0.502146179,-0.006202930,-0.148650197,0.005713431,0.988853882,557
157,1357,1750921999.430171013,-0.022007632,0.067697831,0.213050814,-0.010031968,-0.056494663,0.001258112,0.998351706,699
158,1371,1750921999.598172188,-0.057260361,0.047796888,-0.088555077,-0.015996334,0.038233435,-0.004577437,0.999130306,572
159,1383,1750921999.742173195,-0.127332462,0.027975847,-0.341678201,-0.018045305,0.121766358,-0.011138053,0.992332235,521
160,1392,1750921999.850173950,-0.193493914,-0.008865968,-0.535075373,-0.008389496,0.189821917,-0.013950934,0.981683568,353
161,1403,1750921999.982174873,-0.316805633,-0.021902621,-0.743870945,-0.010387200,0.260754539,-0.022466718,0.965087780,281
162,1412,1750922000.090175629,-0.422701589,-0.026028953,-0.896088114,-0.011187786,0.321715538,-0.028468819,0.946342154,224
163,1417,1750922000.150176048,-0.496704298,-0.029477046,-0.974554038,-0.010310617,0.355830152,-0.031125639,0.933975261,289
164,1422,1750922000.210176468,-0.579568319,-0.034336973,-1.046257490,-0.010402728,0.387686804,-0.032677210,0.921153041,302
165,1427,1750922000.270176888,-0.663407623,-0.038265552,-1.112742147,-0.009064026,0.419777252,-0.033880923,0.906949274,373
