source_id,target_id,type,tx,ty,tz,qx,qy,qz,qw,inlier_count,reprojection_error_median
0,1,sequential,-0.014278663,-0.007240886,-0.098107845,-0.000309700,0.032780215,-0.002965670,0.999458136,0,nan
1,2,sequential,-0.025153690,-0.000293552,-0.178877429,-0.004230224,0.065416887,-0.006118097,0.997830299,0,nan
2,3,sequential,-0.039754744,-0.020744817,-0.153853675,0.004085014,0.056204138,-0.002687619,0.998407324,0,nan
3,4,sequential,-0.014748965,-0.000201445,-0.117401858,-0.004963722,0.045589056,-0.002716602,0.998944252,0,nan
4,5,sequential,-0.025233999,-0.011010173,-0.156315594,0.001192731,0.056622665,-0.004481075,0.998384881,0,nan
5,6,sequential,-0.002209655,-0.004361440,-0.101545729,0.000499067,0.037837642,-0.001782381,0.999282186,0,nan
6,7,sequential,-0.033721942,-0.010808567,-0.150458293,0.001637280,0.052118932,-0.004168198,0.998630844,0,nan
7,8,sequential,-0.009332357,-0.000202890,-0.099044964,-0.001384442,0.034796845,-0.002934726,0.999389139,0,nan
8,9,sequential,-0.047530309,-0.013157588,-0.229416534,0.002873959,0.076227504,-0.003397921,0.997080519,0,nan
9,10,sequential,-0.033166246,-0.008739213,-0.192360106,-0.002814081,0.060234918,-0.004099040,0.998171846,0,nan
10,11,sequential,-0.024629798,-0.005188304,-0.152204745,0.002860277,0.046659309,-0.003556730,0.998900434,0,nan
11,12,sequential,-0.032433542,-0.010270697,-0.199243636,-0.001573271,0.059195658,-0.004324542,0.998235792,0,nan
12,13,sequential,-0.054692687,-0.004104187,-0.250819992,-0.000075277,0.082805871,-0.004116628,0.996557191,0,nan
13,14,sequential,-0.059341430,-0.011725200,-0.268883635,0.002581309,0.092211569,-0.004801589,0.995724514,0,nan
14,15,sequential,-0.051022405,-0.002402629,-0.244307602,-0.005014027,0.087956704,-0.005093797,0.996098655,0,nan
15,16,sequential,-0.006936669,0.018175318,-0.098857526,-0.010434125,0.050501200,-0.001044278,0.998668948,0,nan
16,17,sequential,-0.016188501,-0.002376185,-0.094858188,-0.001649606,0.034041127,-0.001543830,0.999417879,0,nan
17,18,sequential,-0.021982708,-0.016008119,-0.107366017,0.003661325,0.033677213,-0.001773178,0.999424482,0,nan
18,19,sequential,-0.005061325,-0.001964185,-0.094288391,-0.002031926,0.036775551,-0.002494436,0.999318372,0,nan
19,20,sequential,-0.014478656,-0.005363402,-0.098474916,0.000903546,0.035337614,-0.002777872,0.999371162,0,nan
20,21,sequential,-0.012871295,-0.002326181,-0.097074639,-0.000900700,0.035636275,-0.001654894,0.999363050,0,nan
21,22,sequential,-0.012612056,-0.009041911,-0.101515990,-0.001573579,0.034801982,-0.003441665,0.999387063,0,nan
22,23,sequential,-0.037453416,-0.014793654,-0.160364159,0.000796584,0.061802343,-0.004224955,0.998079148,0,nan
23,24,sequential,-0.028156020,-0.021810969,-0.207731382,0.002353594,0.079721349,-0.006991410,0.996789891,0,nan
24,25,sequential,-0.036601618,-0.014883987,-0.237779693,0.000502781,0.090410238,-0.006605008,0.995882578,0,nan
25,26,sequential,-0.048152862,-0.010384673,-0.238424055,-0.003052686,0.088611065,-0.004243629,0.996052585,0,nan
26,27,sequential,-0.045342544,-0.008465763,-0.248476735,-0.002064442,0.088888540,-0.001750501,0.996037902,0,nan
27,28,sequential,-0.045351268,-0.010760952,-0.222581224,0.001535755,0.073686565,-0.003295638,0.997274822,0,nan
28,29,sequential,-0.039815520,-0.012964715,-0.185668321,-0.000425375,0.062434662,-0.001959584,0.998047039,0,nan
29,30,sequential,-0.046076891,-0.020407507,-0.244366587,0.003270883,0.082335334,-0.004429905,0.996589469,0,nan
30,31,sequential,-0.028654062,-0.018019288,-0.178133117,0.001752846,0.062955013,-0.005777667,0.997998102,0,nan
31,32,sequential,-0.021216311,-0.004828079,-0.135621452,-0.000393753,0.049919713,-0.002838317,0.998749123,0,nan
32,33,sequential,-0.023191528,-0.010703446,-0.131093142,-0.001761567,0.047564571,-0.002016244,0.998864577,0,nan
33,34,sequential,-0.034901346,-0.009916246,-0.220979050,-0.004968328,0.075475818,-0.004897120,0.997123230,0,nan
34,35,sequential,-0.045941481,-0.012045546,-0.258902479,0.003768446,0.092538679,-0.003781471,0.995694779,0,nan
35,36,sequential,-0.051134522,-0.019917827,-0.260948774,-0.003389107,0.089817117,-0.004451167,0.995942562,0,nan
36,37,sequential,-0.045499298,-0.014273352,-0.261578198,-0.003514569,0.089495888,-0.004806210,0.995969394,0,nan
