frame_index,t_start,t_end,left_events,right_events,processing_seconds
0,1750921983.140057,1750921983.1520572,159423,160592,0.2467726210015826
1,1750921983.1520572,1750921983.1640573,160562,166751,0.28104099399934057
2,1750921983.1640573,1750921983.1760573,162821,164524,0.2739143810031237
3,1750921983.1760573,1750921983.1880574,162546,169188,0.28173188099754043
4,1750921983.1880574,1750921983.2000575,161866,166559,0.27931562799494714
5,1750921983.2000575,1750921983.2120576,170341,176185,0.31293915199057665
6,1750921983.2120576,1750921983.2240577,182950,191990,0.32817234500544146
7,1750921983.2240577,1750921983.2360578,172729,188252,0.30021882099390496
8,1750921983.2360578,1750921983.2480578,169055,179164,0.29670849299873225
9,1750921983.2480578,1750921983.260058,173654,183709,0.3033407740003895
10,1750921983.260058,1750921983.272058,181000,188042,0.31350315200688783
11,1750921983.272058,1750921983.284058,178975,190292,0.3171664450055687
12,1750921983.284058,1750921983.2960582,174773,188243,0.31056441699911375
13,1750921983.2960582,1750921983.3080583,179416,189324,0.3133317059982801
14,1750921983.3080583,1750921983.3200583,170609,182932,0.3196731639909558
15,1750921983.3200583,1750921983.3320584,184823,194828,0.3225619089935208
16,1750921983.3320584,1750921983.3440585,177624,187881,0.3086052959988592
17,1750921983.3440585,1750921983.3560586,182589,193211,0.3197238159918925
18,1750921983.3560586,1750921983.3680587,182683,196048,0.32040492100350093
19,1750921983.3680587,1750921983.3800588,208692,225140,0.35576507898804266
20,1750921983.3800588,1750921983.3920588,220912,242148,0.3917910410091281
21,1750921983.3920588,1750921983.404059,186808,203793,0.3306431640085066
22,1750921983.404059,1750921983.416059,169342,181779,0.32240885400096886
23,1750921983.416059,1750921983.428059,183541,197481,0.3287086180062033
24,1750921983.428059,1750921983.4400592,175356,198665,0.3180794229992898
25,1750921983.4400592,1750921983.4520593,189335,209555,0.3332769319968065
26,1750921983.4520593,1750921983.4640594,198779,218466,0.34349491000466514
27,1750921983.4640594,1750921983.4760594,189487,204037,0.3320850169984624
28,1750921983.4760594,1750921983.4880595,184510,200406,0.33930509199853987
29,1750921983.4880595,1750921983.5000596,171625,185417,0.3030091260006884
30,1750921983.5000596,1750921983.5120597,172765,187866,0.30486574399401434
31,1750921983.5120597,1750921983.5240598,181991,198029,0.3247352729958948
