id,frame_index,timestamp,tx,ty,tz,qx,qy,qz,qw,point_count
0,0,1750921983.146057129,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,383
1,5,1750921983.206057549,-0.007251515,-0.010931319,-0.100395751,0.000812043,0.034216450,-0.002548932,0.999410866,382
2,10,1750921983.266057968,-0.027853571,-0.020033193,-0.196372781,0.001128987,0.069373306,-0.003918501,0.997582435,422
3,15,1750921983.326058388,-0.054549787,-0.027692888,-0.298749996,0.001481980,0.106749392,-0.006306804,0.994264852,371
4,20,1750921983.386058807,-0.086798662,-0.033670368,-0.392435476,0.003035174,0.144278116,-0.007139092,0.989506769,386
5,25,1750921983.446059227,-0.124761887,-0.043266736,-0.484040995,0.000862786,0.181300506,-0.008161812,0.983393496,325
6,30,1750921983.506059647,-0.169152274,-0.049604639,-0.575470525,0.002108927,0.218610443,-0.009224924,0.975766328,300
7,35,1750921983.566060066,-0.220376520,-0.054955530,-0.661895890,0.004608875,0.254582596,-0.010853018,0.966979148,316
8,40,1750921983.626060486,-0.275919250,-0.060595786,-0.744538471,0.006704848,0.289181546,-0.011509285,0.957181600,336
9,45,1750921983.686060905,-0.340618972,-0.062389806,-0.823134334,0.004059903,0.322015874,-0.013338833,0.946631591,287
10,50,1750921983.746061325,-0.409851065,-0.067541478,-0.892848497,0.007683433,0.354445560,-0.014778822,0.934928284,264
11,55,1750921983.806061745,-0.484872556,-0.067838938,-0.961139249,0.009928115,0.386768179,-0.015779628,0.921988509,295
12,60,1750921983.866062164,-0.567833599,-0.067330247,-1.028437430,0.009904997,0.417668351,-0.015776194,0.908408582,355
13,70,1750921983.986063004,-0.743978117,-0.069158468,-1.142413326,0.010114899,0.474886177,-0.017235271,0.879820296,339
14,76,1750921984.058063507,-0.858645762,-0.067157308,-1.204733904,0.008906117,0.508109654,-0.018256291,0.861052826,394
15,83,1750921984.142064095,-0.994256861,-0.065730123,-1.266672670,0.008818575,0.545840614,-0.021269573,0.837572601,440
16,89,1750921984.214064598,-1.114461035,-0.064812066,-1.311020275,0.007704020,0.577851751,-0.023018125,0.815780710,383
17,94,1750921984.274065018,-1.214100009,-0.069590007,-1.325677497,0.007144776,0.601993739,-0.023194705,0.798131879,518
18,105,1750921984.406065941,-1.426044106,-0.074319249,-1.346966402,0.006563402,0.653385497,-0.024836412,0.756589364,508
19,119,1750921984.574067116,-1.701736735,-0.078579529,-1.338583119,0.010357587,0.720153303,-0.030183663,0.693080721,511
20,131,1750921984.718068123,-1.939983907,-0.076541620,-1.284604778,0.010426255,0.773928188,-0.031825658,0.632387208,463
21,137,1750921984.790068626,-2.049702732,-0.076186728,-1.240667571,0.009184071,0.798498295,-0.029333159,0.601211853,359
22,142,1750921984.850069046,-2.141123519,-0.077938619,-1.197971790,0.009877214,0.818211713,-0.028448821,0.574127771,356
23,147,1750921984.910069466,-2.223831523,-0.075587240,-1.153505674,0.009789272,0.837281290,-0.027862337,0.545974269,309
24,152,1750921984.970069885,-2.303640156,-0.076662308,-1.101956505,0.011007460,0.855503549,-0.029656847,0.516829744,280
25,157,1750921985.030070305,-2.385918427,-0.074743501,-1.038213391,0.009514454,0.873063842,-0.029388978,0.486626439,336
26,162,1750921985.090070724,-2.458110130,-0.075441025,-0.977377139,0.009107833,0.889818893,-0.031070814,0.455163695,383
27,167,1750921985.150071144,-2.529355039,-0.071504646,-0.911357679,0.007859752,0.905709178,-0.030727066,0.422711435,441
28,172,1750921985.210071564,-2.601047649,-0.071067754,-0.836385502,0.005116033,0.920076952,-0.029708617,0.390576019,434
29,177,1750921985.270071983,-2.667204139,-0.070488509,-0.763531022,0.001551190,0.932968744,-0.029809788,0.358717568,452
30,187,1750921985.390072823,-2.773256781,-0.072997448,-0.610421012,-0.000198929,0.956695477,-0.031534691,0.289377413,510
31,197,1750921985.510073662,-2.860698118,-0.071302935,-0.445213325,-0.003089114,0.974867380,-0.032398338,0.220396000,498
32,210,1750921985.666074753,-2.937715256,-0.068874890,-0.217561872,-0.008423129,0.990912081,-0.034011200,0.129867385,473
33,221,1750921985.798075676,-2.965541519,-0.068255759,-0.017038786,-0.008930715,0.998013847,-0.034623291,0.051863586,442
34,233,1750921985.942076683,-2.954736452,-0.058138698,0.211171143,-0.009022665,0.998796934,-0.035343096,-0.032774101,395
35,242,1750921986.050077438,-2.916502534,-0.060762982,0.395574294,-0.010319462,0.994534264,-0.035922233,-0.097492050,440
36,250,1750921986.146078110,-2.839150271,-0.056104559,0.560505103,-0.009887729,0.987790531,-0.035101526,-0.151459511,486
37,261,1750921986.278079033,-2.722421129,-0.048866058,0.768611597,-0.009470874,0.974064201,-0.034221037,-0.223468466,538
38,268,1750921986.362079620,-2.643394256,-0.044156833,0.883692693,-0.011856959,0.961881123,-0.034926575,-0.270969100,496
39,274,1750921986.434080124,-2.561964477,-0.042514450,0.980450210,-0.013796054,0.949641237,-0.033693811,-0.311216832,472
40,280,1750921986.506080627,-2.468900954,-0.040034319,1.072708159,-0.014593110,0.935527251,-0.033080988,-0.351399277,465
41,285,1750921986.566081047,-2.389431878,-0.039653584,1.143082461,-0.013483998,0.923093531,-0.031183400,-0.383071940,506
42,292,1750921986.650081635,-2.278416789,-0.036697201,1.226579814,-0.013239700,0.904365932,-0.028749917,-0.425582440,501
