id,anchor_keyframe_id,x_anchor,y_anchor,z_anchor,x_world,y_world,z_world,observation_count,last_seen_keyframe_id
0,0,0.533092830,0.228395548,-1.920197402,0.533092830,0.228395548,-1.920197402,3,2
1,0,0.697539130,0.281122937,-2.034827160,0.697539130,0.281122937,-2.034827160,3,2
2,0,0.369902271,-0.263574820,-1.970873917,0.369902271,-0.263574820,-1.970873917,3,3
3,0,0.671790092,0.281717821,-2.050532160,0.671790092,0.281717821,-2.050532160,3,2
4,0,0.725074974,0.267947309,-1.927604594,0.725074974,0.267947309,-1.927604594,2,1
5,0,0.108828080,-0.308472756,-2.021003057,0.108828080,-0.308472756,-2.021003057,3,2
6,0,0.666540739,0.244195270,-2.048927070,0.666540739,0.244195270,-2.048927070,3,2
7,0,0.398697347,-0.605967350,-1.697417815,0.398697347,-0.605967350,-1.697417815,2,1
8,0,0.353380292,-0.173702408,-2.041205140,0.353380292,-0.173702408,-2.041205140,5,4
9,0,0.142564636,-0.134963163,-2.010216827,0.142564636,-0.134963163,-2.010216827,6,5
10,0,-0.170552586,-0.033687242,-2.223979545,-0.170552586,-0.033687242,-2.223979545,3,7
11,0,0.269833392,-0.169123690,-2.047097607,0.269833392,-0.169123690,-2.047097607,4,4
12,0,0.103129260,-0.366228304,-2.066787583,0.103129260,-0.366228304,-2.066787583,3,2
13,0,0.464215652,0.140313435,-1.866024619,0.464215652,0.140313435,-1.866024619,4,3
14,0,0.431469257,-0.170600136,-2.138044463,0.431469257,-0.170600136,-2.138044463,4,3
16,0,-0.181876459,-0.077521533,-2.245738773,-0.181876459,-0.077521533,-2.245738773,2,1
17,0,0.108551464,-0.268827863,-2.025780724,0.108551464,-0.268827863,-2.025780724,4,4
18,0,0.520621625,0.182799683,-2.389112382,0.520621625,0.182799683,-2.389112382,4,3
19,0,0.331715189,-0.058610353,-2.087621315,0.331715189,-0.058610353,-2.087621315,5,4
20,0,0.316836851,-0.256114323,-1.978633226,0.316836851,-0.256114323,-1.978633226,4,3
21,0,0.114041308,-0.225290165,-2.031091225,0.114041308,-0.225290165,-2.031091225,5,5
22,0,0.023321608,-0.112925752,-2.109606911,0.023321608,-0.112925752,-2.109606911,4,3
23,0,0.148390041,-0.167110618,-1.993502660,0.148390041,-0.167110618,-1.993502660,6,5
24,0,0.630123600,0.266648220,-2.043063149,0.630123600,0.266648220,-2.043063149,3,2
25,0,0.409907957,-0.140704481,-2.128555504,0.409907957,-0.140704481,-2.128555504,5,4
