source_id,target_id,type,tx,ty,tz,qx,qy,qz,qw,inlier_count,reprojection_error_median
0,1,sequential,-0.008459680,-0.008344125,-0.098304874,-0.000072261,0.034249479,-0.003199625,0.999408190,0,nan
1,2,sequential,-0.015304531,-0.006762931,-0.095146050,-0.000678504,0.035147127,-0.002081345,0.999379751,0,nan
2,3,sequential,-0.013714429,-0.005466232,-0.103168646,-0.000654475,0.037368374,-0.003153878,0.999296367,0,nan
3,4,sequential,-0.013205515,-0.003966770,-0.096593573,0.000311614,0.037587533,-0.001547276,0.999292093,0,nan
4,5,sequential,-0.011880856,-0.007949336,-0.096912592,-0.003394810,0.037156615,-0.002343726,0.999300940,0,nan
5,6,sequential,-0.010678213,-0.004383634,-0.099706817,-0.000082534,0.037636527,-0.001847532,0.999289784,0,nan
6,7,sequential,-0.011382222,-0.003762400,-0.098617392,0.001229222,0.036481343,-0.002204540,0.999331147,0,nan
7,8,sequential,-0.009656447,-0.004649386,-0.097998456,0.000564771,0.035294307,-0.001445404,0.999375757,0,nan
8,9,sequential,-0.011154539,-0.003067280,-0.100171030,-0.002583408,0.034739875,-0.003490842,0.999386953,0,nan
9,10,sequential,-0.013146845,-0.006137639,-0.096382491,0.003238832,0.034760829,-0.001127612,0.999389775,0,nan
10,11,sequential,-0.012929713,-0.003343263,-0.092323642,0.001215098,0.034189847,-0.001385086,0.999413658,0,nan
11,12,sequential,-0.012752882,-0.003219624,-0.097974082,-0.001151101,0.032914453,-0.001384796,0.999456550,0,nan
12,13,sequential,-0.032459981,-0.010624025,-0.197487580,0.000580608,0.062369696,-0.002131050,0.998050671,0,nan
13,14,sequential,-0.016506840,-0.004429838,-0.120441855,-0.000441245,0.036153843,-0.001965618,0.999344206,0,nan
14,15,sequential,-0.017702914,-0.005670642,-0.139471982,0.001645002,0.041910142,-0.003185431,0.999114952,0,nan
15,16,sequential,-0.015089412,-0.005982192,-0.119272121,0.000331913,0.035699829,-0.002531059,0.999359298,0,nan
16,17,sequential,-0.013650287,-0.004974222,-0.101753266,-0.000894929,0.029666579,-0.001710736,0.999557986,0,nan
17,18,sequential,-0.031950341,-0.009804625,-0.212101952,-0.000895008,0.066420249,-0.003641067,0.997784692,0,nan
18,19,sequential,-0.046034703,-0.013310584,-0.270374460,0.004338034,0.092179707,-0.003949021,0.995725107,0,nan
19,20,sequential,-0.041597697,-0.012133856,-0.241667248,0.000012688,0.082072086,-0.003863428,0.996618907,0,nan
20,21,sequential,-0.017787362,-0.006470100,-0.117381294,-0.003410704,0.040969473,-0.001044671,0.999154031,0,nan
21,22,sequential,-0.014990538,-0.007227665,-0.100520895,-0.001120133,0.033640234,-0.000282374,0.999433340,0,nan
22,23,sequential,-0.012924858,-0.002641186,-0.093965174,-0.001298982,0.034162907,-0.001147278,0.999414775,0,nan
23,24,sequential,-0.014109482,-0.006044792,-0.094633736,0.001438258,0.034587880,-0.001405948,0.999399636,0,nan
24,25,sequential,-0.017241101,-0.004049540,-0.103381243,-0.001698038,0.035146179,-0.002715370,0.999377051,0,nan
25,26,sequential,-0.015549953,-0.007432306,-0.092434867,0.001320324,0.035302478,-0.001767949,0.999374237,0,nan
26,27,sequential,-0.013712620,-0.003265094,-0.095843287,-0.000818240,0.035689360,-0.001603151,0.999361311,0,nan
27,28,sequential,-0.013283598,-0.007051135,-0.102449888,-0.002002162,0.034617448,-0.002633281,0.999395162,0,nan
28,29,sequential,-0.010774806,-0.004797909,-0.094628020,-0.001088822,0.034900392,-0.004070925,0.999381911,0,nan
29,30,sequential,-0.028272301,-0.013000674,-0.181140442,0.000757147,0.073351925,-0.004014785,0.997297751,0,nan
30,31,sequential,-0.023697902,-0.009473447,-0.183304155,-0.000299559,0.070883453,-0.004769491,0.997473157,0,nan
31,32,sequential,-0.035476054,-0.011961880,-0.234609416,-0.000313293,0.089975243,-0.007880598,0.995912774,0,nan
32,33,sequential,-0.032378933,-0.012305837,-0.198177822,-0.000413273,0.075753047,-0.002553984,0.997123253,0,nan
33,34,sequential,-0.042471925,-0.005284205,-0.224901269,-0.000292162,0.081138641,-0.002417663,0.996699850,0,nan
34,35,sequential,-0.034015553,-0.015593186,-0.186107654,-0.000175016,0.060609696,-0.002934627,0.998157213,0,nan
35,36,sequential,-0.030366086,-0.008547125,-0.169784871,-0.001124577,0.056463781,-0.002507264,0.998400867,0,nan
