timestamp,success,tx,ty,tz,qx,qy,qz,qw,track_count,pnp_point_count,pnp_inlier_count,reprojection_error_mean,reprojection_error_median,pnp_rotation_step_deg,imu_rotation_step_deg,pnp_imu_rotation_error_deg,imu_rotation_consistent,imu_rejected,message,pose_source,map_point_count,map_inlier_count,local_landmark_count,map_descriptor_match_count,map_message,new_feature_count,tracking_state,reference_keyframe_id,is_keyframe,loop_candidate_count,loop_candidate_id,loop_match_count,loop_accepted,relocalized,graph_cost_before,graph_cost_after,loop_pnp_point_count,loop_inlier_count,loop_inlier_ratio,loop_reprojection_error_median,loop_pnp_message
1750921983.146057129,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0,0,nan,nan,nan,nan,nan,0,0,initialized,initialization,0,0,0,0,,1000,TRACKING,0,1,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.158057213,1,0.003347533,-0.003314747,-0.016349947,0.000732667,0.006277846,-0.000489948,0.999979906,959,480,473,0.780051322,0.686864499,0.726448511,nan,nan,0,0,ok,map,480,473,480,0,ok,41,TRACKING,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.170057297,1,0.000268908,-0.005524319,-0.037088967,0.000863757,0.013140335,-0.001086720,0.999912698,967,479,445,1.038983549,0.915107262,0.846054898,0.789533107,0.075108582,1,0,ok,map,479,445,480,0,ok,33,TRACKING,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.182057381,1,-0.001765134,-0.006354851,-0.057362442,0.000603782,0.019985518,-0.001882749,0.999798315,974,478,408,1.142771610,1.067237154,0.869486052,0.790358344,0.145524094,1,0,ok,map,478,408,480,0,ok,26,TRACKING,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.194057465,1,-0.005754315,-0.008137368,-0.078637675,0.000446488,0.027338897,-0.002348610,0.999623364,991,476,422,1.144032196,1.059583705,0.771852949,0.844756710,0.098595163,1,0,ok,map,476,422,480,0,ok,9,TRACKING,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.206057549,1,-0.007251515,-0.010931319,-0.100395751,0.000812043,0.034216450,-0.002548932,0.999410866,985,468,417,1.055846249,0.969926841,0.690441031,0.800469074,0.116116041,1,0,ok,map,468,417,480,0,ok,15,TRACKING,1,1,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.218057632,1,-0.011160031,-0.011475419,-0.121427835,0.001167561,0.041328161,-0.003027034,0.999140359,962,579,529,0.845641531,0.682523448,0.787131743,0.818385889,0.077070878,1,0,ok,map,579,529,607,0,ok,38,TRACKING,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.230057716,1,-0.014415157,-0.012878603,-0.138314361,0.001915905,0.048106620,-0.004128435,0.998831837,965,565,500,0.973092236,0.875320549,0.701584350,0.792390454,0.107842567,1,0,ok,map,565,500,607,0,ok,35,TRACKING,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.242057800,1,-0.020366709,-0.016480733,-0.158347437,0.001419440,0.055171811,-0.003381498,0.998470141,973,553,457,1.303477490,1.221772005,0.757491023,0.817161918,0.062111456,1,0,ok,map,553,457,607,0,ok,27,TRACKING,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.254057884,1,-0.023977002,-0.014412738,-0.180672385,-0.000644559,0.062799557,-0.003775377,0.998018811,963,530,430,1.301251364,1.193200806,0.930779400,0.908110260,0.093064833,1,0,ok,map,530,430,607,0,ok,37,TRACKING,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
