timestamp,vx_camera,vy_camera,vz_camera,speed
1750921983.146057129,0.185984232,-0.266752753,-1.428935691,1.465470701
1750921983.158057213,0.043287681,-0.216078563,-1.539925640,1.555613945
1750921983.170057297,-0.094690395,-0.164066495,-1.655170989,1.665975716
1750921983.182057381,-0.156284725,-0.151553246,-1.754467635,1.767922505
1750921983.194057465,-0.138770920,-0.139782811,-1.774377773,1.785276753
1750921983.206057549,-0.137919822,-0.140332412,-1.719028770,1.730252864
1750921983.218057632,-0.165448231,-0.160567883,-1.663490332,1.679391333
1750921983.230057716,-0.194847189,-0.108371619,-1.671701813,1.686504310
1750921983.242057800,-0.178171575,-0.161824941,-1.631225421,1.648887139
1750921983.254057884,-0.141310618,-0.152781848,-1.653046791,1.666095638
1750921983.266057968,-0.129904436,-0.145602162,-1.655836464,1.667294080
1750921983.278058052,-0.117249015,-0.168828733,-1.606767254,1.619861563
1750921983.290058136,-0.136768496,-0.105460797,-1.724989554,1.733613730
1750921983.302058220,-0.149262038,-0.152542077,-1.763710380,1.776576073
1750921983.314058304,-0.148757056,-0.168548014,-1.749361905,1.763747195
1750921983.326058388,-0.165318940,-0.156775268,-1.749314306,1.764088823
1750921983.338058472,-0.154810935,-0.117131065,-1.711626690,1.722600371
1750921983.350058556,-0.177351718,-0.059250155,-1.675153771,1.685557584
1750921983.362058640,-0.140288525,-0.085370606,-1.668134399,1.676198492
1750921983.374058723,-0.119949057,-0.142142760,-1.607215179,1.617940967
1750921983.386058807,-0.097279036,-0.197317231,-1.575590390,1.590874721
1750921983.398058891,-0.113452631,-0.219423617,-1.686936102,1.704925698
1750921983.410058975,-0.161999426,-0.157564747,-1.698454930,1.713423360
1750921983.422059059,-0.111718780,-0.148008558,-1.687735092,1.697892034
1750921983.434059143,-0.086613753,-0.103319027,-1.661735907,1.667196146
1750921983.446059227,-0.068868055,-0.104145084,-1.596561735,1.601436349
1750921983.458059311,-0.090726530,-0.108763363,-1.635338459,1.641460522
1750921983.470059395,-0.149870302,-0.093298376,-1.708903435,1.717997859
1750921983.482059479,-0.084644708,-0.149474037,-1.703182528,1.711822987
1750921983.494059563,-0.060432915,-0.137488958,-1.744638159,1.751090420
1750921983.506059647,-0.057438627,-0.123995477,-1.705986982,1.711451331
1750921983.518059731,-0.067122585,-0.075891059,-1.615439946,1.618613949
1750921983.530059814,-0.114802066,-0.069045412,-1.650532871,1.655960610
1750921983.542059898,-0.076338390,-0.126058489,-1.640656417,1.647261901
1750921983.554059982,-0.056843000,-0.164854272,-1.629586953,1.638890386
1750921983.566060066,-0.085104037,-0.179927960,-1.696764120,1.708398445
1750921983.578060150,-0.104795885,-0.117494077,-1.673842721,1.681230648
1750921983.590060234,-0.130102778,-0.058376227,-1.655766706,1.661895876
1750921983.602060318,-0.071899304,-0.087871645,-1.665757359,1.669622267
1750921983.614060402,-0.042709011,-0.100149124,-1.659012728,1.662581469
1750921983.626060486,-0.040679765,-0.132496103,-1.652641942,1.658443683
1750921983.638060570,-0.078406522,-0.141576534,-1.702328049,1.710003592
1750921983.650060654,-0.149389609,-0.129611758,-1.675223270,1.686857868
1750921983.662060738,-0.112966662,-0.107757896,-1.675892713,1.683148721
1750921983.674060822,-0.094115665,-0.064306099,-1.658109608,1.662023016
1750921983.686060905,-0.095561371,-0.027395053,-1.604312007,1.607389026
1750921983.698060989,-0.120150787,-0.042549462,-1.622417598,1.627416827
1750921983.710061073,-0.156081358,-0.087922713,-1.621163277,1.631031013
1750921983.722061157,-0.149319960,-0.122699536,-1.674361919,1.685479001
1750921983.734061241,-0.113586852,-0.110013494,-1.594501412,1.602323218
1750921983.746061325,-0.109736549,-0.118440211,-1.528692152,1.537195462
1750921983.758061409,-0.146012960,-0.119740400,-1.619561300,1.630532536
1750921983.770061493,-0.150109677,-0.052460241,-1.555849969,1.563954641
1750921983.782061577,-0.141013081,-0.060350721,-1.741119811,1.747863008
1750921983.794061661,-0.122717920,-0.036935897,-1.813840842,1.818362601
1750921983.806061745,-0.115774153,-0.056864708,-1.747097482,1.751852409
1750921983.818061829,-0.145173149,-0.090783888,-1.798110566,1.806244326
1750921983.830061913,-0.194061076,-0.097469302,-1.707168177,1.720925085
1750921983.842061996,-0.117808099,-0.058904459,-1.809984082,1.814770195
1750921983.854062080,-0.059802754,-0.064131961,-1.862091734,1.864155278
1750921983.866062164,-0.059764581,-0.076004831,-1.841455569,1.843992178
1750921983.878062248,-0.107708711,-0.088525576,-1.799761121,1.805153189
1750921983.890062332,-0.217663170,-0.107321077,-1.769796254,1.786357705
1750921983.902062416,-0.201116273,-0.037335494,-1.684533710,1.696907633
1750921983.914062500,-0.180954318,-0.020555383,-1.571320601,1.581839252
1750921983.926062584,-0.145817919,-0.043120885,-1.474936569,1.482754248
1750921983.938062668,-0.150316102,-0.097018410,-1.477292575,1.488086306
1750921983.950062752,-0.185189718,-0.155935573,-1.592325497,1.610624607
1750921983.962062836,-0.064168545,-0.094331794,-1.857766869,1.861266727
1750921983.974062920,-0.032282067,-0.033223961,-1.946851889,1.947402948
1750921983.986063004,-0.002681295,-0.040778416,-1.987941547,1.988361552
1750921983.998063087,-0.022527092,-0.036831861,-1.909619005,1.910107013
1750921984.010063171,-0.155696133,-0.135485869,-1.661824322,1.674591826
1750921984.022063255,-0.160457724,-0.108442487,-1.766282586,1.776868208
