id,frame_index,timestamp,tx,ty,tz,qx,qy,qz,qw,point_count
0,0,1750921983.146057129,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,383
1,5,1750921983.206057549,-0.007541733,-0.011093735,-0.101751584,0.000792885,0.034232457,-0.002536462,0.999410364,382
2,10,1750921983.266057968,-0.028333984,-0.020389918,-0.198989931,0.001097093,0.069395816,-0.003895011,0.997580997,422
3,15,1750921983.326058388,-0.053866498,-0.028149520,-0.300281409,0.001440538,0.106764750,-0.006271903,0.994263484,371
4,20,1750921983.386058807,-0.087088116,-0.034155177,-0.394391806,0.002989174,0.144274751,-0.007094853,0.989507718,386
5,25,1750921983.446059227,-0.126910495,-0.043797392,-0.488537806,0.000821170,0.181267480,-0.008110291,0.983400046,325
6,30,1750921983.506059647,-0.169862127,-0.049967530,-0.576304134,0.002071385,0.218530119,-0.009165042,0.975784965,300
7,35,1750921983.566060066,-0.220896998,-0.055221324,-0.663297111,0.004580745,0.254439850,-0.010784133,0.967017622,316
8,40,1750921983.626060486,-0.278277474,-0.061568022,-0.744057752,0.006688473,0.288961279,-0.011434585,0.957249128,336
9,45,1750921983.686060905,-0.341767317,-0.063263353,-0.822297452,0.004059700,0.321592177,-0.013256503,0.946776772,287
10,50,1750921983.746061325,-0.410301143,-0.067569606,-0.891810860,0.007702013,0.353806384,-0.014684329,0.935171691,264
11,55,1750921983.806061745,-0.488235233,-0.068486058,-0.962811067,0.009909625,0.386128131,-0.015654291,0.922259079,295
12,60,1750921983.866062164,-0.571880593,-0.068742712,-1.030440343,0.009841290,0.417026766,-0.015622533,0.908706642,355
13,70,1750921983.986063004,-0.746864558,-0.069860904,-1.143747309,0.010092036,0.474205830,-0.017116177,0.880189762,339
14,76,1750921984.058063507,-0.862966830,-0.068380225,-1.207240496,0.008918501,0.507373713,-0.018162688,0.861488533,394
15,83,1750921984.142064095,-0.998542553,-0.066756047,-1.267396001,0.008864657,0.545047206,-0.021191377,0.838090620,440
16,89,1750921984.214064598,-1.121219767,-0.065626598,-1.313236498,0.007776471,0.577002090,-0.022947778,0.816383191,383
17,94,1750921984.274065018,-1.218396622,-0.071108789,-1.328478785,0.007163374,0.601065079,-0.023039840,0.798835792,518
18,105,1750921984.406065941,-1.432591173,-0.074936695,-1.351846137,0.006529721,0.652423747,-0.024616354,0.757426334,508
19,119,1750921984.574067116,-1.707200877,-0.080323368,-1.343381339,0.010251674,0.719245945,-0.029898257,0.694036215,511
20,131,1750921984.718068123,-1.945613852,-0.077694856,-1.290387149,0.010260426,0.773065110,-0.031499871,0.633460983,463
21,137,1750921984.790068626,-2.056327224,-0.078932185,-1.246394448,0.008955213,0.797643439,-0.028954080,0.602367338,359
22,142,1750921984.850069046,-2.145126440,-0.080115708,-1.206473864,0.009685783,0.817315222,-0.028116972,0.575422845,356
23,147,1750921984.910069466,-2.229715830,-0.078834263,-1.159685185,0.009641360,0.836357180,-0.027582347,0.547405632,309
24,152,1750921984.970069885,-2.310901072,-0.079389080,-1.106992586,0.010912273,0.854566273,-0.029429007,0.518393037,280
25,157,1750921985.030070305,-2.392425112,-0.078095104,-1.046167947,0.009474390,0.872127483,-0.029219254,0.488313551,336
26,162,1750921985.090070724,-2.468584832,-0.077069476,-0.984637475,0.009066303,0.888851202,-0.030836418,0.457067235,383
27,167,1750921985.150071144,-2.540990669,-0.074852186,-0.919697012,0.007809096,0.904747230,-0.030440017,0.424788033,441
28,172,1750921985.210071564,-2.610986448,-0.072656511,-0.848250227,0.005056000,0.919149061,-0.029383683,0.392779887,434
29,177,1750921985.270071983,-2.677771348,-0.073460984,-0.773955885,0.001457667,0.932135561,-0.029503927,0.360902603,452
30,187,1750921985.390072823,-2.788079093,-0.075673444,-0.613392368,-0.000335094,0.956055883,-0.031249937,0.291514113,510
31,197,1750921985.510073662,-2.874385116,-0.073096029,-0.453425987,-0.003266655,0.974408344,-0.032135483,0.222452283,498
32,210,1750921985.666074753,-2.953066160,-0.072650371,-0.227974389,-0.008605346,0.990646174,-0.033813836,0.131919411,473
33,221,1750921985.798075676,-2.981870744,-0.070259386,-0.022615943,-0.009103608,0.997913003,-0.034484167,0.053829412,442
34,233,1750921985.942076683,-2.971697856,-0.059799512,0.210973292,-0.009178335,0.998855252,-0.035268720,-0.030984838,395
35,242,1750921986.050077438,-2.935366751,-0.061607089,0.391648831,-0.010447067,0.994686257,-0.035907748,-0.095920500,440
36,250,1750921986.146078110,-2.861523680,-0.057421159,0.551537310,-0.010012835,0.988041036,-0.035054370,-0.149819373,486
37,261,1750921986.278079033,-2.744627141,-0.050847523,0.759289636,-0.009584212,0.974449378,-0.034103175,-0.221796138,538
38,268,1750921986.362079620,-2.664440336,-0.045795002,0.878881300,-0.011949946,0.962366606,-0.034811175,-0.269250620,496
39,274,1750921986.434080124,-2.586066088,-0.044721720,0.973323481,-0.013873229,0.950205838,-0.033579708,-0.309497660,472
40,280,1750921986.506080627,-2.497613080,-0.042513337,1.064088575,-0.014655552,0.936162372,-0.032966534,-0.349711933,465
41,285,1750921986.566081047,-2.418278628,-0.041701953,1.132984559,-0.013536176,0.923775292,-0.031066635,-0.381432623,506
42,292,1750921986.650081635,-2.306885043,-0.038938443,1.217811251,-0.013284858,0.905108833,-0.028633442,-0.424006649,501
43,305,1750921986.806082726,-2.070965906,-0.034075928,1.353323324,0.013627837,-0.863167270,0.027821851,0.503966756,524
44,314,1750921986.914083481,-1.896978418,-0.033556148,1.423691626,0.013967239,-0.829421530,0.024061077,0.557930019,428
45,320,1750921986.986083984,-1.788048897,-0.033294059,1.455357591,0.013420784,-0.805718201,0.022436851,0.591721768,430
46,327,1750921987.070084572,-1.641258217,-0.034548992,1.483575355,0.015133007,-0.776220395,0.021500867,0.629913171,412
47,334,1750921987.154085159,-1.502274845,-0.037080423,1.496106861,0.014102100,-0.745120543,0.020993940,0.666450119,319
48,339,1750921987.214085579,-1.395397152,-0.035209190,1.499112827,0.014243956,-0.721892965,0.018439361,0.691612353,391
49,344,1750921987.274085999,-1.293149566,-0.035899677,1.495104935,0.013574113,-0.697655530,0.016907780,0.716105182,384
50,350,1750921987.346086502,-1.157103622,-0.044146877,1.479585826,0.013325142,-0.667501230,0.015808199,0.744321603,464
51,355,1750921987.406086922,-1.057688621,-0.039899282,1.456424781,0.014745247,-0.641041430,0.014660410,0.767224566,397
52,360,1750921987.466087341,-0.951927892,-0.035414261,1.427867334,0.013580492,-0.613310828,0.013705152,0.789605957,407
53,365,1750921987.526087761,-0.866866626,-0.033040434,1.397879448,0.012788313,-0.584868735,0.012132439,0.810936389,468
54,372,1750921987.610088348,-0.732948764,-0.023401824,1.331666687,0.015703482,-0.543843269,0.013588652,0.838929823,453
55,379,1750921987.694088936,-0.595224420,-0.028382692,1.253300966,0.015366082,-0.501030481,0.012022610,0.865209684,381
56,384,1750921987.754089355,-0.509472971,-0.024119523,1.191151720,0.017469994,-0.470273845,0.012946929,0.882252621,444
57,389,1750921987.814089775,-0.429002494,-0.019765668,1.127424654,0.018625907,-0.439482427,0.013778355,0.897952354,456
58,397,1750921987.910090446,-0.316172767,-0.019831506,1.012405314,0.018910199,-0.390840167,0.014284544,0.920153422,424
59,403,1750921987.982090950,-0.241929633,-0.017151129,0.921104894,0.018883691,-0.353319000,0.014739045,0.935196156,480
60,410,1750921988.066091537,-0.164975800,-0.013592410,0.812211003,0.016089624,-0.309146533,0.013934976,0.950776189,504
61,418,1750921988.162092209,-0.085539907,-0.013493224,0.666972979,0.015444950,-0.257466828,0.013179320,0.966073802,538
62,424,1750921988.234092712,-0.037041234,-0.015622496,0.550795009,0.012976902,-0.218793900,0.011617786,0.975615629,448
63,429,1750921988.294093132,-0.005262034,-0.010572532,0.471329005,0.012658388,-0.186181010,0.010313331,0.982379780,459
64,434,1750921988.354093552,0.014501265,-0.008717252,0.359998272,0.010902434,-0.152723543,0.008569060,0.988171659,481
65,447,1750921988.510094643,0.055932111,-0.025515354,0.084107593,0.006928986,-0.065895551,0.005711294,0.997786123,457
66,460,1750921988.666095734,0.054928330,-0.038694861,-0.189389764,0.003581090,0.027444390,-0.005164002,0.999603579,376
67,466,1750921988.738096237,0.040171421,-0.041065756,-0.308158131,0.006718690,0.076464152,-0.004790611,0.997038185,245
68,473,1750921988.822096825,0.009645498,-0.045600713,-0.456235999,0.005256411,0.128840680,-0.009009550,0.991610446,287
69,478,1750921988.882097244,-0.020707801,-0.052790161,-0.556769558,0.005299877,0.166912037,-0.011252711,0.985893331,181
70,483,1750921988.942097664,-0.065331825,-0.057298066,-0.662235425,0.004476536,0.204879530,-0.013216129,0.978687730,204
71,488,1750921989.002098083,-0.117292764,-0.062839904,-0.762364803,0.004298126,0.240173558,-0.014123455,0.970617698,136
72,493,1750921989.062098503,-0.180088102,-0.069435416,-0.860829291,0.006174380,0.272582102,-0.014374397,0.962005328,174
73,498,1750921989.122098923,-0.249367613,-0.068717483,-0.955651200,0.006811938,0.305183265,-0.014556468,0.952158013,174
74,503,1750921989.182099342,-0.313923393,-0.072714892,-1.026035069,0.007463156,0.338037609,-0.014425197,0.940992449,164
75,508,1750921989.242099762,-0.388562742,-0.077250120,-1.100427392,0.007471285,0.369103850,-0.014284477,0.929248342,183
