id,anchor_keyframe_id,x_anchor,y_anchor,z_anchor,x_world,y_world,z_world,observation_count,last_seen_keyframe_id
0,0,0.532950240,0.228298359,-1.921989362,0.532950240,0.228298359,-1.921989362,3,2
1,0,0.697396539,0.281025748,-2.036619120,0.697396539,0.281025748,-2.036619120,3,2
2,0,0.370162065,-0.263717170,-1.973036709,0.370162065,-0.263717170,-1.973036709,3,3
3,0,0.671647502,0.281620633,-2.052324121,0.671647502,0.281620633,-2.052324121,3,2
4,0,0.724986571,0.267903846,-1.928516206,0.724986571,0.267903846,-1.928516206,2,1
5,0,0.108685490,-0.308569944,-2.022795017,0.108685490,-0.308569944,-2.022795017,3,2
6,0,0.666398149,0.244098081,-2.050719030,0.666398149,0.244098081,-2.050719030,3,2
7,0,0.398608944,-0.606010813,-1.698329426,0.398608944,-0.606010813,-1.698329426,2,1
8,0,0.353535622,-0.173838799,-2.043633437,0.353535622,-0.173838799,-2.043633437,5,4
9,0,0.142432304,-0.135101016,-2.013380330,0.142432304,-0.135101016,-2.013380330,6,5
10,0,-0.170406489,-0.033641936,-2.226812919,-0.170406489,-0.033641936,-2.226812919,3,7
11,0,0.270071758,-0.169272449,-2.049677173,0.270071758,-0.169272449,-2.049677173,4,4
12,0,0.102986670,-0.366325492,-2.068579543,0.102986670,-0.366325492,-2.068579543,3,2
13,0,0.464366296,0.140184941,-1.868102519,0.464366296,0.140184941,-1.868102519,4,3
14,0,0.431619901,-0.170728630,-2.140122362,0.431619901,-0.170728630,-2.140122362,4,3
16,0,-0.181964862,-0.077564997,-2.246650384,-0.181964862,-0.077564997,-2.246650384,2,1
17,0,0.108488041,-0.268942750,-2.028082167,0.108488041,-0.268942750,-2.028082167,4,4
18,0,0.520772269,0.182671189,-2.391190281,0.520772269,0.182671189,-2.391190281,4,3
19,0,0.331870519,-0.058746745,-2.090049612,0.331870519,-0.058746745,-2.090049612,5,4
20,0,0.316987494,-0.256242817,-1.980711125,0.316987494,-0.256242817,-1.980711125,4,3
21,0,0.113676440,-0.225411107,-2.034300285,0.113676440,-0.225411107,-2.034300285,5,5
22,0,0.023472252,-0.113054246,-2.111684810,0.023472252,-0.113054246,-2.111684810,4,3
23,0,0.148257708,-0.167248471,-1.996666163,0.148257708,-0.167248471,-1.996666163,6,5
24,0,0.629981010,0.266551031,-2.044855110,0.629981010,0.266551031,-2.044855110,3,2
25,0,0.410063287,-0.140840873,-2.130983802,0.410063287,-0.140840873,-2.130983802,5,4
26,0,0.200952953,-0.123178371,-2.056012506,0.200952953,-0.123178371,-2.056012506,6,5
27,0,-0.563627838,-0.145878202,-2.058762976,-0.563627838,-0.145878202,-2.058762976,2,4
