source_id,target_id,type,tx,ty,tz,qx,qy,qz,qw,inlier_count,reprojection_error_median
0,1,sequential,-0.008636486,-0.008431050,-0.100128097,-0.000072261,0.034249479,-0.003199625,0.999408190,0,nan
1,2,sequential,-0.015259366,-0.006880486,-0.096876496,-0.000678504,0.035147127,-0.002081345,0.999379751,0,nan
2,3,sequential,-0.012530696,-0.005472011,-0.102380339,-0.000654475,0.037368374,-0.003153878,0.999296367,0,nan
3,4,sequential,-0.013853627,-0.003922312,-0.097648880,0.000311614,0.037587533,-0.001547276,0.999292093,0,nan
4,5,sequential,-0.012696520,-0.007946422,-0.100294486,-0.003394810,0.037156615,-0.002343726,0.999300940,0,nan
5,6,sequential,-0.010378639,-0.004108551,-0.096168427,-0.000082534,0.037636527,-0.001847532,0.999289784,0,nan
6,7,sequential,-0.010686604,-0.003573401,-0.099424204,0.001229222,0.036481343,-0.002204540,0.999331147,0,nan
7,8,sequential,-0.011871227,-0.005305750,-0.097603878,0.000564771,0.035294307,-0.001445404,0.999375757,0,nan
8,9,sequential,-0.010114704,-0.002923123,-0.099782586,-0.002583408,0.034739875,-0.003490842,0.999386953,0,nan
9,10,sequential,-0.012505088,-0.005259200,-0.096360263,0.003238832,0.034760829,-0.001127612,0.999389775,0,nan
10,11,sequential,-0.013262385,-0.004090587,-0.095601331,0.001215098,0.034189847,-0.001385086,0.999413658,0,nan
11,12,sequential,-0.012993688,-0.004020434,-0.097995786,-0.001151101,0.032914453,-0.001384796,0.999456550,0,nan
12,13,sequential,-0.032055412,-0.009919325,-0.195391210,0.000580608,0.062369696,-0.002131050,0.998050671,0,nan
13,14,sequential,-0.016141037,-0.005090397,-0.121430444,-0.000441245,0.036153843,-0.001965618,0.999344206,0,nan
14,15,sequential,-0.019199591,-0.005568588,-0.137717745,0.001645002,0.041910142,-0.003185431,0.999114952,0,nan
15,16,sequential,-0.014743665,-0.005967651,-0.121257780,0.000331913,0.035699829,-0.002531059,0.999359298,0,nan
16,17,sequential,-0.012790040,-0.005468121,-0.100087619,-0.000894929,0.029666579,-0.001710736,0.999557986,0,nan
17,18,sequential,-0.031385402,-0.008845429,-0.215332315,-0.000895008,0.066420249,-0.003641067,0.997784692,0,nan
18,19,sequential,-0.046171917,-0.014118841,-0.269089678,0.004338034,0.092179707,-0.003949021,0.995725107,0,nan
19,20,sequential,-0.040840633,-0.011524842,-0.240476119,0.000012688,0.082072086,-0.003863428,0.996618907,0,nan
20,21,sequential,-0.017714883,-0.008168485,-0.116918146,-0.003410704,0.040969473,-0.001044671,0.999154031,0,nan
21,22,sequential,-0.013609612,-0.006244850,-0.097371572,-0.001120133,0.033640234,-0.000282374,0.999433340,0,nan
22,23,sequential,-0.015011523,-0.003709073,-0.096561816,-0.001298982,0.034162907,-0.001147278,0.999414775,0,nan
23,24,sequential,-0.015183067,-0.005470057,-0.096498920,0.001438258,0.034587880,-0.001405948,0.999399636,0,nan
