timestamp,vx_camera,vy_camera,vz_camera,speed
1750921983.146057129,0.179162610,-0.257069126,-1.405326538,1.439835565
1750921983.158057213,0.033551010,-0.212697176,-1.546558209,1.561476241
1750921983.170057297,-0.106527418,-0.167039265,-1.692108683,1.703667221
1750921983.182057381,-0.164420156,-0.156170790,-1.792372560,1.806660648
1750921983.194057465,-0.140796570,-0.144545066,-1.779618108,1.791021373
1750921983.206057549,-0.133084488,-0.144449972,-1.726552680,1.737688531
1750921983.218057632,-0.169471833,-0.157495744,-1.661832962,1.677860067
1750921983.230057716,-0.197754848,-0.117469746,-1.631697100,1.647829344
1750921983.242057800,-0.177232805,-0.170079371,-1.641719641,1.659994530
1750921983.254057884,-0.142966773,-0.151697212,-1.675445279,1.688362646
1750921983.266057968,-0.128653567,-0.138278684,-1.696414717,1.706896490
1750921983.278058052,-0.126948830,-0.158604891,-1.679629968,1.691871256
1750921983.290058136,-0.151601768,-0.103042558,-1.692651630,1.702548209
1750921983.302058220,-0.132558109,-0.160548499,-1.729795388,1.742279988
1750921983.314058304,-0.137483409,-0.174858789,-1.720592297,1.734910700
1750921983.326058388,-0.150104232,-0.164680985,-1.717649270,1.732042182
1750921983.338058472,-0.148388966,-0.130807785,-1.691900170,1.703424828
1750921983.350058556,-0.173138209,-0.053043368,-1.677076878,1.686824619
1750921983.362058640,-0.124322614,-0.080771595,-1.694511409,1.700984738
1750921983.374058723,-0.120012607,-0.139082953,-1.649445699,1.659644000
1750921983.386058807,-0.115438316,-0.199368491,-1.634113288,1.650272716
1750921983.398058891,-0.132220547,-0.221083459,-1.650610629,1.670591397
1750921983.410058975,-0.144208860,-0.140758830,-1.661508630,1.673684609
1750921983.422059059,-0.111059080,-0.140874576,-1.715100544,1.724456332
1750921983.434059143,-0.093226099,-0.110650690,-1.710260338,1.716369746
1750921983.446059227,-0.096244703,-0.121708088,-1.671267443,1.678454875
1750921983.458059311,-0.103009167,-0.112441834,-1.650992555,1.658020045
1750921983.470059395,-0.121254733,-0.079385435,-1.633538606,1.639955223
1750921983.482059479,-0.077912226,-0.139461050,-1.650277877,1.657991788
1750921983.494059563,-0.066739285,-0.134025021,-1.662584567,1.669312517
1750921983.506059647,-0.083270440,-0.131068924,-1.644943336,1.652256520
1750921983.518059731,-0.089403914,-0.080046018,-1.647551933,1.651916401
1750921983.530059814,-0.123748884,-0.074154383,-1.682260337,1.688434926
1750921983.542059898,-0.075916869,-0.128456646,-1.688324336,1.694905173
1750921983.554059982,-0.060991425,-0.168931838,-1.665257911,1.674915469
1750921983.566060066,-0.079853223,-0.179991656,-1.661361324,1.672989833
1750921983.578060150,-0.106590990,-0.126091952,-1.672485200,1.680615234
1750921983.590060234,-0.141271636,-0.058258764,-1.643584304,1.650672930
1750921983.602060318,-0.106763361,-0.091304814,-1.645177057,1.651163993
1750921983.614060402,-0.080181361,-0.103892486,-1.638934382,1.644180223
1750921983.626060486,-0.070774096,-0.137123381,-1.658629416,1.665792104
1750921983.638060570,-0.099558774,-0.155309666,-1.707210930,1.717149440
1750921983.650060654,-0.119891709,-0.117053391,-1.634091305,1.642659402
1750921983.662060738,-0.103754519,-0.103810680,-1.641426638,1.647975445
1750921983.674060822,-0.101675590,-0.066526335,-1.626189832,1.630722861
1750921983.686060905,-0.099772820,-0.040203947,-1.619405438,1.622974105
1750921983.698060989,-0.129733270,-0.052908582,-1.666281488,1.672161486
1750921983.710061073,-0.155586905,-0.081396239,-1.643634761,1.652987556
1750921983.722061157,-0.141416683,-0.099901128,-1.657875716,1.666892559
1750921983.734061241,-0.139958332,-0.099559876,-1.635468909,1.644463151
1750921983.746061325,-0.131320091,-0.119108314,-1.586541521,1.596416536
1750921983.758061409,-0.139162447,-0.117433712,-1.593172926,1.603545083
1750921983.770061493,-0.170817867,-0.061692943,-1.612255328,1.622452466
1750921983.782061577,-0.136561813,-0.059919891,-1.761851468,1.768151611
1750921983.794061661,-0.124619822,-0.031860416,-1.798198309,1.802792929
1750921983.806061745,-0.119073837,-0.059849572,-1.793590087,1.798534389
1750921983.818061829,-0.126799576,-0.100673516,-1.767821864,1.775220390
1750921983.830061913,-0.186493946,-0.094128010,-1.670048102,1.683062904
1750921983.842061996,-0.110801558,-0.074220699,-1.843081619,1.847900309
1750921983.854062080,-0.075177043,-0.074726245,-1.884058191,1.887037590
1750921983.866062164,-0.068825361,-0.076455285,-1.853630237,1.856482534
1750921983.878062248,-0.112520049,-0.106889434,-1.809311911,1.815955866
1750921983.890062332,-0.196148702,-0.089604896,-1.717198204,1.730685709
1750921983.902062416,-0.169534088,-0.032495921,-1.695370566,1.704135895
1750921983.914062500,-0.170165971,-0.004994900,-1.638952211,1.647769934
1750921983.926062584,-0.157131094,-0.029049300,-1.638998373,1.646769476
1750921983.938062668,-0.160333052,-0.103572288,-1.574405527,1.585934005
1750921983.950062752,-0.177847912,-0.126726940,-1.582282427,1.597281214
1750921983.962062836,-0.063469561,-0.091390433,-1.778965736,1.782442057
1750921983.974062920,-0.032873580,-0.031970580,-1.839092033,1.839663637
1750921983.986063004,-0.017008448,-0.031328740,-1.931286772,1.931615742
1750921983.998063087,-0.060974024,-0.062204870,-1.867817184,1.869847136
1750921984.010063171,-0.176749104,-0.117889957,-1.745534671,1.758416781
1750921984.022063255,-0.176335499,-0.115712821,-1.730028555,1.742837475
1750921984.034063339,-0.070881403,-0.037599716,-1.874259839,1.875976507
1750921984.046063423,0.006413728,0.006273734,-1.901213327,1.901234496
1750921984.058063507,0.034830895,0.025197546,-1.863741434,1.864237174
1750921984.070063591,-0.023938936,-0.017236216,-1.879070167,1.879301692
1750921984.082063675,-0.149738521,-0.104261405,-1.676462861,1.686362888
1750921984.094063759,-0.160244780,-0.110905803,-1.713587013,1.724632986
1750921984.106063843,-0.165912341,-0.086811921,-1.693544564,1.703865137
1750921984.118063927,-0.055095475,-0.019426113,-1.777385487,1.778345314
1750921984.130064011,0.005240369,0.028179395,-1.817466328,1.817692326
1750921984.142064095,0.007556623,-0.002848862,-1.835682992,1.835700756
1750921984.154064178,-0.043188641,-0.040667784,-1.817489382,1.818457253
1750921984.166064262,-0.142268639,-0.095262881,-1.730898769,1.739346409
1750921984.178064346,-0.135170885,-0.112596946,-1.732051544,1.740962892
1750921984.190064430,-0.008213121,-0.069428005,-1.813601614,1.814948626
1750921984.202064514,0.030683433,-0.040721921,-1.874695819,1.875389069
1750921984.214064598,0.031249664,-0.027425200,-1.867335696,1.867798513
1750921984.226064682,-0.032935905,-0.050894085,-1.838080429,1.839079837
1750921984.238064766,-0.155644972,-0.120324722,-1.714410675,1.725661426
1750921984.250064850,-0.240982307,-0.179941616,-1.663763206,1.690727495
1750921984.262064934,-0.296586348,-0.197040281,-1.614775143,1.653567990
1750921984.274065018,-0.294986956,-0.212927037,-1.588971593,1.630087712
1750921984.286065102,-0.242790148,-0.188136340,-1.636005623,1.664589060
1750921984.298065186,-0.151422412,-0.097750930,-1.724879704,1.734270448
1750921984.310065269,-0.153582444,-0.015143272,-1.672033687,1.679140714
1750921984.322065353,-0.150780542,-0.008232502,-1.661953718,1.668799780
1750921984.334065437,-0.113625705,-0.044404822,-1.560350886,1.565112608
1750921984.346065521,-0.075213808,-0.127071369,-1.554302656,1.561301059
1750921984.358065605,-0.054673391,-0.143473864,-1.562418408,1.569944333
1750921984.370065689,-0.078084952,-0.065883471,-1.583172394,1.586465480
1750921984.382065773,-0.228293779,-0.109310193,-1.619285957,1.638948986
1750921984.394065857,-0.317523333,-0.118888442,-1.551449220,1.588064927
1750921984.406065941,-0.346849816,-0.140808641,-1.581999911,1.625686190
1750921984.418066025,-0.266347143,-0.168147925,-1.626542295,1.656760200
1750921984.430066109,-0.123157811,-0.092877249,-1.638364902,1.645610398
1750921984.442066193,-0.115847635,-0.086400548,-1.680024527,1.686228970
1750921984.454066277,-0.113375410,-0.058858755,-1.704403450,1.709183857
1750921984.466066360,-0.121880782,-0.070567594,-1.613448086,1.619583106
1750921984.478066444,-0.121753503,-0.117391180,-1.594703065,1.603646617
1750921984.490066528,-0.101763217,-0.114458269,-1.469164477,1.477125826
1750921984.502066612,-0.103679478,-0.084009338,-1.441248307,1.447412756
1750921984.514066696,-0.142428697,-0.055181607,-1.541574918,1.549123679
1750921984.526066780,-0.168655500,-0.080537766,-1.568783199,1.579877127
1750921984.538066864,-0.179155721,-0.083752124,-1.606308948,1.618437403
1750921984.550066948,-0.180679715,-0.190349227,-1.706710761,1.726771441
1750921984.562067032,-0.173648409,-0.192985044,-1.750615285,1.769760118
1750921984.574067116,-0.183703472,-0.143395718,-1.747713127,1.763181916
1750921984.586067200,-0.211902246,-0.101501978,-1.709817087,1.725885189
1750921984.598067284,-0.183138206,-0.049080646,-1.590849276,1.602107965
1750921984.610067368,-0.132283821,-0.167408143,-1.668695948,1.682281386
1750921984.622067451,-0.117057329,-0.231248466,-1.729407459,1.748721942
1750921984.634067535,-0.090216827,-0.143957162,-1.714538288,1.722934787
