id,frame_index,timestamp,tx,ty,tz,qx,qy,qz,qw,point_count
0,0,1750921983.146057129,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,511
1,5,1750921983.206057549,-0.014278663,-0.007240886,-0.098107845,-0.000309700,0.032780215,-0.002965670,0.999458136,574
2,14,1750921983.314058304,-0.051100842,-0.007460766,-0.274952431,-0.004543507,0.098101182,-0.008955610,0.995125777,493
3,22,1750921983.410058975,-0.120487123,-0.028578292,-0.417855666,-0.000231484,0.153826330,-0.012271974,0.988021662,419
4,28,1750921983.482059479,-0.170225536,-0.028031416,-0.525217484,-0.004993922,0.198767189,-0.014190081,0.979931277,414
5,36,1750921983.578060150,-0.254655694,-0.038932877,-0.659177366,-0.003904272,0.253893174,-0.019078153,0.967036213,435
6,41,1750921983.638060570,-0.306610082,-0.042988145,-0.746468467,-0.003149516,0.290284816,-0.021062524,0.956703286,350
7,49,1750921983.734061241,-0.418624204,-0.051433077,-0.852643850,-0.001691021,0.339702110,-0.025660842,0.940181439,309
8,54,1750921983.794061661,-0.489074843,-0.049762852,-0.922864622,-0.003095630,0.372240510,-0.027992886,0.927708908,416
9,66,1750921983.938062668,-0.682500809,-0.056857991,-1.055530569,0.000448589,0.441779727,-0.032369219,0.896539294,474
10,76,1750921984.058063507,-0.855533836,-0.058010796,-1.146288634,-0.001936281,0.495067985,-0.034714768,0.868158295,433
11,84,1750921984.154064178,-0.999188767,-0.056934833,-1.202519701,0.000407966,0.534925111,-0.039270779,0.843986235,513
12,94,1750921984.274065018,-1.193544632,-0.056529851,-1.258027198,-0.000909219,0.584005260,-0.041985619,0.810662838,584
13,108,1750921984.442066193,-1.448523559,-0.044908039,-1.285766758,0.000105410,0.649121701,-0.045209594,0.759339910,594
14,122,1750921984.610067368,-1.723486051,-0.036694466,-1.268871183,0.003117083,0.716250121,-0.050328203,0.696019482,571
15,135,1750921984.766068459,-1.965588369,-0.017064661,-1.211456890,0.000393332,0.774943587,-0.049811772,0.630064338,443
16,142,1750921984.850069046,-2.059540555,0.009132697,-1.186199116,-0.004475064,0.806251255,-0.042297711,0.590042195,392
17,147,1750921984.910069466,-2.145014423,0.013658850,-1.142159117,-0.005250650,0.825930486,-0.042006353,0.562180335,344
18,152,1750921984.970069885,-2.237297420,0.005753156,-1.081427664,-0.003239168,0.844224706,-0.046179850,0.533986493,346
19,157,1750921985.030070305,-2.320248205,0.011100400,-1.036590738,-0.004729556,0.863372661,-0.045884088,0.502453909,396
20,162,1750921985.090070724,-2.398764815,0.013879818,-0.975246435,-0.005049496,0.880530665,-0.048198215,0.471505230,458
21,167,1750921985.150071144,-2.472355381,0.020041493,-0.910895606,-0.005210545,0.896807557,-0.048334657,0.439741762,532
22,172,1750921985.210071564,-2.545041116,0.020031921,-0.838348378,-0.007303689,0.911619880,-0.048588615,0.408086996,526
23,181,1750921985.318072319,-2.639887213,0.020544229,-0.702914891,-0.007813247,0.935019963,-0.051396999,0.350763410,559
24,192,1750921985.450073242,-2.755557215,0.019105119,-0.526735475,-0.009402281,0.959806186,-0.056507880,0.274755420,633
25,205,1750921985.606074333,-2.850345116,0.030680176,-0.305417455,-0.010456063,0.980604450,-0.059422609,0.186479323,576
26,218,1750921985.762075424,-2.893062857,0.049281929,-0.066457754,-0.009879871,0.993394755,-0.057912438,0.098566720,575
27,231,1750921985.918076515,-2.897484548,0.070388039,0.185342334,-0.006635398,0.998322541,-0.056682926,0.009753008,437
28,242,1750921986.050077438,-2.856517054,0.085510137,0.408519221,-0.005715677,0.996211681,-0.058582716,-0.064013145,491
29,251,1750921986.158078194,-2.793229521,0.094597419,0.587790508,-0.003971854,0.990283199,-0.058275960,-0.126203499,524
