id,anchor_keyframe_id,x_anchor,y_anchor,z_anchor,x_world,y_world,z_world,observation_count,last_seen_keyframe_id
0,0,0.535180390,0.229183299,-1.930909784,0.535180390,0.229183299,-1.930909784,2,1
1,0,0.691969166,0.277787236,-2.018011174,0.691969166,0.277787236,-2.018011174,2,1
2,0,0.371663128,-0.265993906,-1.980590109,0.371663128,-0.265993906,-1.980590109,3,2
3,0,0.673880866,0.281799164,-2.056181552,0.673880866,0.281799164,-2.056181552,2,1
4,0,0.724708626,0.268257004,-1.926516932,0.724708626,0.268257004,-1.926516932,2,1
5,0,0.109957882,-0.310019980,-2.032144203,0.109957882,-0.310019980,-2.032144203,3,2
6,0,0.668107187,0.243662633,-2.052901392,0.668107187,0.243662633,-2.052901392,2,1
7,0,0.397335867,-0.605581960,-1.696832284,0.397335867,-0.605581960,-1.696832284,2,1
8,0,0.356606925,-0.175679420,-2.058216060,0.356606925,-0.175679420,-2.058216060,3,2
9,0,0.143790120,-0.135004307,-2.015746892,0.143790120,-0.135004307,-2.015746892,3,2
10,0,0.373992658,-0.586416919,-1.733090916,0.373992658,-0.586416919,-1.733090916,2,1
11,0,-0.170109502,-0.033392835,-2.261327275,-0.170109502,-0.033392835,-2.261327275,4,5
12,0,0.271362380,-0.171417301,-2.047023206,0.271362380,-0.171417301,-2.047023206,3,2
13,0,0.101491335,-0.359377234,-2.032594954,0.101491335,-0.359377234,-2.032594954,2,1
14,0,-0.269680648,-0.404154295,-2.085778156,-0.269680648,-0.404154295,-2.085778156,2,3
15,0,0.478565456,0.145989427,-1.919890487,0.478565456,0.145989427,-1.919890487,3,2
16,0,0.441158155,-0.173748218,-2.172848985,0.441158155,-0.173748218,-2.172848985,3,2
17,0,0.328989012,-0.596550710,-1.776015133,0.328989012,-0.596550710,-1.776015133,2,1
18,0,-0.177939080,-0.081152361,-2.255291504,-0.177939080,-0.081152361,-2.255291504,4,3
19,0,0.106105474,-0.264132438,-1.989381834,0.106105474,-0.264132438,-1.989381834,3,2
20,0,0.510480631,0.175537942,-2.336601226,0.510480631,0.175537942,-2.336601226,3,2
21,0,0.342892545,-0.060221229,-2.139927256,0.342892545,-0.060221229,-2.139927256,4,3
22,0,0.324579418,-0.262930984,-2.014681760,0.324579418,-0.262930984,-2.014681760,3,2
