timestamp,success,tx,ty,tz,qx,qy,qz,qw,track_count,pnp_point_count,pnp_inlier_count,reprojection_error_mean,reprojection_error_median,pnp_rotation_step_deg,imu_rotation_step_deg,pnp_imu_rotation_error_deg,imu_rotation_consistent,imu_rejected,message,pose_source,map_point_count,map_inlier_count,local_landmark_count,map_descriptor_match_count,map_message,new_feature_count
1750921983.146057129,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0,0,nan,nan,nan,nan,nan,0,0,initialized,initialization,0,0,0,0,,1000
1750921983.158057213,1,0.000703023,-0.003136767,-0.017058772,0.000737144,0.005703325,-0.000441082,0.999983367,959,610,586,0.838995771,0.709698417,0.660928277,nan,nan,0,0,ok,map,610,586,610,0,ok,41
1750921983.170057297,1,0.001016569,-0.004254540,-0.037951961,0.000545569,0.013310744,-0.001475246,0.999910171,967,609,547,1.076164450,0.929722619,0.880080097,0.789533107,0.105677621,1,0,ok,map,609,547,610,0,ok,33
1750921983.182057381,1,-0.002026312,-0.006900291,-0.060237194,0.000824127,0.020292925,-0.002183166,0.999791354,974,608,523,1.240628308,1.122222772,0.804951018,0.790358344,0.064239414,1,0,ok,map,608,523,610,0,ok,26
1750921983.194057465,1,-0.005310780,-0.006545966,-0.080974320,-0.000109820,0.027447802,-0.002691441,0.999619609,991,606,482,1.131590718,1.033202966,0.829128292,0.844756710,0.092230753,1,0,ok,map,606,482,610,0,ok,9
1750921983.206057549,1,-0.014278663,-0.007240886,-0.098107845,-0.000309700,0.032780215,-0.002965670,0.999458136,985,596,485,1.070455633,0.976720280,0.612565757,0.800469074,0.196144528,1,0,ok,map,596,485,610,0,ok,15
1750921983.218057632,1,-0.017812716,-0.007584201,-0.118421390,-0.000024373,0.039891265,-0.003859484,0.999196573,962,716,637,0.811876350,0.686992998,0.822476788,0.818385889,0.047539268,1,0,ok,map,716,637,752,0,ok,38
1750921983.230057716,1,-0.022340752,-0.009948191,-0.139567198,0.000883273,0.046711226,-0.004506988,0.998897877,965,699,593,1.008931054,0.896449033,0.792625378,0.792390454,0.055834049,1,0,ok,map,699,593,752,0,ok,35
1750921983.242057800,1,-0.020908983,-0.015512644,-0.156682181,0.000936684,0.055360190,-0.004577034,0.998455519,973,687,508,1.337909999,1.233630052,0.992448206,0.817161918,0.213362906,1,0,ok,map,687,508,752,0,ok,27
1750921983.254057884,1,-0.032268979,-0.012852788,-0.177693974,-0.001315279,0.060972527,-0.004607785,0.998127942,963,663,486,1.260871249,1.177754304,0.693993872,0.908110260,0.236499860,1,0,ok,map,663,486,752,0,ok,37
1750921983.266057968,1,-0.038563389,-0.009862608,-0.194422283,-0.002133334,0.067105980,-0.005432171,0.997728785,959,638,466,1.197776987,1.140455678,0.716793096,0.760516657,0.191169899,1,0,ok,map,638,466,752,0,ok,41
1750921983.278058052,1,-0.037823781,-0.013811099,-0.217417286,-0.001388865,0.076106585,-0.006593838,0.997076918,970,632,466,1.194624491,1.090439151,1.046115486,0.885345059,0.183235106,1,0,ok,map,632,466,752,0,ok,30
1750921983.290058136,1,-0.050434777,-0.010472999,-0.233678270,-0.002563294,0.081321342,-0.007240196,0.996658341,957,615,435,1.170114156,1.048555785,0.618858413,0.805014119,0.252280398,1,0,ok,map,615,435,752,0,ok,43
1750921983.302058220,1,-0.050344117,-0.013209451,-0.253163032,-0.002193906,0.090332430,-0.007996533,0.995877148,968,601,426,1.306929878,1.240742604,1.040949533,0.924849787,0.133069258,1,0,ok,map,601,426,752,0,ok,32
1750921983.314058304,1,-0.051100842,-0.007460766,-0.274952431,-0.004543507,0.098101182,-0.008955610,0.995125777,975,592,403,1.359588559,1.267208117,0.940481224,0.748599158,0.282531104,1,0,ok,map,592,403,752,0,ok,25
1750921983.326058388,1,-0.056022372,-0.012694255,-0.294571297,-0.003614529,0.106579217,-0.009022155,0.994256711,963,726,586,1.134393937,1.057620737,0.982419469,0.960422758,0.165217712,1,0,ok,map,726,586,901,0,ok,37
1750921983.338058472,1,-0.065333961,-0.011907139,-0.312845649,-0.004253565,0.112570171,-0.009555698,0.993588724,974,711,561,1.204595936,1.086170081,0.697324109,0.779642434,0.147558725,1,0,ok,map,711,561,901,0,ok,26
1750921983.350058556,1,-0.073485395,-0.015734834,-0.331588392,-0.004149286,0.120565272,-0.008992213,0.992656002,970,695,526,1.255979687,1.164958791,0.924721598,0.956854702,0.129343984,1,0,ok,map,695,526,901,0,ok,30
1750921983.362058640,1,-0.091913327,-0.015638357,-0.347885282,-0.004630884,0.124482188,-0.010284973,0.992157729,955,674,494,1.345026562,1.252237759,0.479284522,0.843371766,0.371696855,1,0,ok,map,674,494,901,0,ok,45
1750921983.374058723,1,-0.084493720,-0.017765353,-0.368779185,-0.004002372,0.135457042,-0.010797811,0.990716295,955,647,475,1.275674138,1.165093987,1.271834499,0.839408539,0.433043747,1,0,ok,map,647,475,901,0,ok,45
1750921983.386058807,1,-0.099131155,-0.023791901,-0.387963870,-0.000997301,0.141854270,-0.010310865,0.989833348,957,627,465,1.291749336,1.183285117,0.818121897,0.955832874,0.277492971,1,0,ok,map,627,465,901,0,ok,43
1750921983.398058891,1,-0.106954699,-0.022778173,-0.402721327,-0.000820534,0.148518821,-0.011621746,0.988840948,954,606,434,1.336674476,1.233317728,0.786860702,0.849511546,0.180424192,1,0,ok,map,606,434,901,0,ok,46
1750921983.410058975,1,-0.120487123,-0.028578292,-0.417855666,-0.000231484,0.153826330,-0.012271974,0.988021662,965,589,390,1.413395651,1.326131993,0.623558413,0.878236719,0.311760981,1,0,ok,map,589,390,901,0,ok,35
1750921983.422059059,1,-0.129749286,-0.032134819,-0.437223045,-0.001902017,0.160991206,-0.012251080,0.986877969,953,691,531,1.193022778,1.067290287,0.853186790,0.866609826,0.073634262,1,0,ok,map,691,531,1031,0,ok,47
1750921983.434059143,1,-0.122917993,-0.024962530,-0.465213863,-0.006480849,0.173177022,-0.013145095,0.984781663,967,671,461,1.343972940,1.261187928,1.514413702,0.938208074,0.599625908,1,0,ok,map,671,461,1031,0,ok,33
1750921983.446059227,1,-0.145178185,-0.031551230,-0.472030860,-0.004260404,0.176141942,-0.012533760,0.984275759,954,646,468,1.390830752,1.307067232,0.434101093,0.850237029,0.544990323,1,0,ok,map,646,468,1031,0,ok,46
1750921983.458059311,1,-0.158498365,-0.038177346,-0.488081781,-0.001689621,0.182547097,-0.011816642,0.983124646,962,628,421,1.341134697,1.243793804,0.806015042,0.917027413,0.327918687,1,0,ok,map,628,421,1031,0,ok,38
1750921983.470059395,1,-0.155157172,-0.028697375,-0.512288949,-0.004471650,0.193168873,-0.013263203,0.981065685,953,602,410,1.336076691,1.262581303,1.290847384,0.827786416,0.601916332,1,0,ok,map,602,410,1031,0,ok,47
1750921983.482059479,1,-0.170225536,-0.028031416,-0.525217484,-0.004993922,0.198767189,-0.014190081,0.979931277,962,586,403,1.344281642,1.248619512,0.665815347,0.904669623,0.264639780,1,0,ok,map,586,403,1031,0,ok,38
1750921983.494059563,1,-0.177119446,-0.026077543,-0.544428945,-0.006281159,0.206243558,-0.014904289,0.978367009,944,677,496,1.123201290,0.977958933,0.891389765,0.802953851,0.144069479,1,0,ok,map,677,496,1143,0,ok,56
