timestamp,vx_camera,vy_camera,vz_camera,speed
1750921983.146057129,0.158536914,-0.270322325,-1.501078072,1.533441714
1750921983.158057213,0.042129051,-0.207728838,-1.604549509,1.618488571
1750921983.170057297,-0.065299518,-0.142588176,-1.711576102,1.718746103
1750921983.182057381,-0.232423470,-0.091491304,-1.720033861,1.738075894
1750921983.194057465,-0.324062623,-0.059958345,-1.677065975,1.709140682
1750921983.206057549,-0.334362031,-0.060735097,-1.659739291,1.694172728
1750921983.218057632,-0.196644294,-0.173948589,-1.628201187,1.649232001
1750921983.230057716,-0.169232101,-0.164763627,-1.668118605,1.684757026
1750921983.242057800,-0.250202711,-0.068297526,-1.621906692,1.642512486
1750921983.254057884,-0.205789272,-0.015820860,-1.649356139,1.662219960
1750921983.266057968,-0.318221017,0.078369593,-1.671568456,1.703392941
1750921983.278058052,-0.154845247,-0.010226866,-1.627334133,1.634716495
1750921983.290058136,-0.043995714,0.050958955,-1.668944459,1.670301783
1750921983.302058220,-0.011308132,0.048389446,-1.658678370,1.659422595
1750921983.314058304,0.035322476,-0.006634331,-1.690295561,1.690677608
1750921983.326058388,-0.147441548,-0.073000833,-1.693270576,1.701244655
1750921983.338058472,-0.460632404,-0.160323146,-1.671131073,1.740851741
1750921983.350058556,-0.307670455,-0.111408958,-1.651637872,1.683740100
1750921983.362058640,-0.244288785,-0.209205287,-1.676695213,1.707264098
1750921983.374058723,-0.183269989,-0.181340597,-1.630557923,1.650815387
1750921983.386058807,-0.224344285,-0.263636115,-1.576762891,1.614315822
1750921983.398058891,-0.476157257,-0.293445789,-1.601825811,1.696667939
1750921983.410058975,-0.077358439,-0.104963965,-1.678391699,1.683448976
1750921983.422059059,-0.127774730,-0.119609896,-1.678326367,1.687427718
1750921983.434059143,-0.213851653,-0.147781464,-1.634105955,1.654652278
1750921983.446059227,-0.173946953,-0.051040734,-1.602074334,1.612298010
1750921983.458059311,-0.333310463,-0.036873041,-1.559375974,1.595026305
1750921983.470059395,-0.013259109,0.181469397,-1.641130845,1.651186663
1750921983.482059479,-0.091098468,0.100871898,-1.651906702,1.657489011
1750921983.494059563,-0.381967926,-0.211288817,-1.628100815,1.685602185
1750921983.506059647,-0.282942619,-0.175226193,-1.663271451,1.696240745
1750921983.518059731,-0.382883551,-0.229565683,-1.591650731,1.653073582
1750921983.530059814,-0.074364788,-0.065519787,-1.633889732,1.636892978
1750921983.542059898,-0.039505951,-0.084746972,-1.586211093,1.588964569
1750921983.554059982,-0.073916167,-0.124720694,-1.599647483,1.606203886
1750921983.566060066,-0.099936567,-0.023403955,-1.629863989,1.633092675
1750921983.578060150,-0.327370216,-0.044512483,-1.530053449,1.565316638
1750921983.590060234,-0.069129158,0.149794527,-1.670441002,1.678567956
1750921983.602060318,-0.101222391,0.001810254,-1.633221826,1.636356558
1750921983.614060402,0.078574729,-0.072774818,-1.741511214,1.744801270
1750921983.626060486,0.054819705,-0.207157306,-1.786221113,1.799028964
1750921983.638060570,-0.108145840,-0.320217122,-1.712763628,1.745793164
1750921983.650060654,-0.060172290,-0.128074640,-1.751203810,1.756911666
1750921983.662060738,-0.183609576,-0.210541710,-1.644016131,1.667581880
1750921983.674060822,-0.005774013,0.006030266,-1.685381556,1.685402235
1750921983.686060905,-0.079322375,-0.014258610,-1.637718239,1.639700088
1750921983.698060989,-0.129752886,-0.089934241,-1.607241403,1.614976442
1750921983.710061073,-0.305792432,-0.089001811,-1.538670497,1.571285217
1750921983.722061157,-0.367334165,-0.161014541,-1.497542287,1.550320280
1750921983.734061241,-0.338389072,-0.027112792,-1.545070533,1.581924530
1750921983.746061325,-0.300727706,-0.004286699,-1.565966229,1.594586391
1750921983.758061409,-0.158550909,-0.016060966,-1.560123030,1.568241121
1750921983.770061493,-0.164818060,-0.031499582,-1.586410166,1.595259989
1750921983.782061577,-0.110676160,-0.012469580,-1.647047363,1.650808807
1750921983.794061661,-0.149262440,-0.011089852,-1.630610648,1.637465525
1750921983.806061745,-0.164032073,-0.088927014,-1.712993254,1.723125190
1750921983.818061829,-0.223852283,-0.103966304,-1.643914903,1.662340231
1750921983.830061913,-0.175157758,-0.117703920,-1.695474922,1.708557773
1750921983.842061996,-0.224790413,-0.086051811,-1.601303727,1.619292831
1750921983.854062080,-0.231878271,0.000139603,-1.501202526,1.519005127
1750921983.866062164,-0.246308324,-0.019996880,-1.549390939,1.568974170
1750921983.878062248,-0.235620651,-0.086656611,-1.593191721,1.612850371
1750921983.890062332,-0.129621682,-0.105754416,-1.747108274,1.755099171
1750921983.902062416,-0.152231246,-0.136115160,-1.629784875,1.642528668
1750921983.914062500,-0.160687447,-0.131094320,-1.607453777,1.620775685
1750921983.926062584,-0.190536563,-0.099974728,-1.620262065,1.634487164
1750921983.938062668,-0.200685784,-0.121485839,-1.650406554,1.666995917
1750921983.950062752,-0.180775426,-0.054953228,-1.647689440,1.658487293
1750921983.962062836,-0.233166387,-0.139407082,-1.575395623,1.598647012
1750921983.974062920,-0.292707403,-0.166995482,-1.525604184,1.562380633
1750921983.986063004,-0.249861768,-0.137367604,-1.614808040,1.639788330
1750921983.998063087,-0.205011852,-0.116769199,-1.702379070,1.718650459
1750921984.010063171,-0.153307962,-0.042782101,-1.690384740,1.697861658
1750921984.022063255,-0.160249779,-0.053503427,-1.687577333,1.696012931
1750921984.034063339,-0.160140155,-0.029888013,-1.584567487,1.592919422
1750921984.046063423,-0.092720245,0.053771463,-1.656996215,1.660459235
1750921984.058063507,-0.159775347,-0.028047538,-1.659182938,1.667094133
1750921984.070063591,-0.187288154,-0.071377548,-1.578063526,1.590740739
1750921984.082063675,-0.238790579,-0.138502506,-1.609197638,1.632703563
1750921984.094063759,-0.234431393,-0.123636773,-1.582868412,1.604903903
1750921984.106063843,-0.148965639,-0.134383834,-1.720862151,1.732517336
1750921984.118063927,-0.195839902,-0.189245163,-1.726224633,1.747575029
1750921984.130064011,-0.169514281,-0.075146586,-1.526375384,1.537596798
1750921984.142064095,-0.143743094,-0.033661738,-1.465617779,1.473034509
1750921984.154064178,-0.184658791,0.072205983,-1.440043813,1.453629511
1750921984.166064262,-0.198237457,-0.031005831,-1.543338462,1.556326784
