timestamp,success,tx,ty,tz,qx,qy,qz,qw,track_count,pnp_point_count,pnp_inlier_count,reprojection_error_mean,reprojection_error_median,message
1750921983.146057129,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0,0,nan,nan,initialized
1750921983.158057213,1,0.000816946,-0.003874537,-0.017733604,0.000931839,0.005785621,-0.000509465,0.999982699,959,629,603,0.883510174,0.754788773,ok
1750921983.170057297,1,-0.004499165,-0.011313291,-0.039036017,0.002735252,0.012117965,-0.001692574,0.999921401,937,671,621,0.847521089,0.729682694,ok
1750921983.182057381,1,-0.007443802,-0.015580642,-0.060267366,0.003669721,0.019092920,-0.002515636,0.999807814,911,645,624,0.808643941,0.691346360,ok
1750921983.194057465,1,-0.011118047,-0.022212053,-0.082307599,0.005019765,0.026438053,-0.003422527,0.999631991,903,621,590,0.911346508,0.816836267,ok
1750921983.206057549,1,-0.013815024,-0.024033766,-0.102351216,0.005153805,0.033422735,-0.004175536,0.999419293,889,613,570,0.747002843,0.663071756,ok
1750921983.218057632,1,-0.016554439,-0.026817658,-0.122459351,0.006277309,0.040729533,-0.005026698,0.999137845,854,580,556,0.791573368,0.674483754,ok
1750921983.230057716,1,-0.020266542,-0.029893348,-0.142613559,0.007710289,0.047755734,-0.005827030,0.998812288,829,591,570,0.896178202,0.772424830,ok
1750921983.242057800,1,-0.025825829,-0.031470102,-0.160660252,0.006913292,0.054788002,-0.005252703,0.998460260,809,588,498,1.092447410,0.957606907,ok
1750921983.254057884,1,-0.025464031,-0.033096260,-0.182488222,0.005949419,0.063290920,-0.006139139,0.997958504,777,534,456,0.962496058,0.808290875,ok
1750921983.266057968,1,-0.031480315,-0.035122184,-0.200980679,0.006846343,0.069701198,-0.006649627,0.997522257,745,524,502,0.799639174,0.690357397,ok
1750921983.278058052,1,-0.036354343,-0.038222463,-0.221435519,0.007815216,0.077146070,-0.007735269,0.996959163,730,476,444,0.821205188,0.724817684,ok
1750921983.290058136,1,-0.042515914,-0.039450316,-0.241080566,0.008137065,0.084083088,-0.008446922,0.996389719,704,448,432,0.792857661,0.674020178,ok
1750921983.302058220,1,-0.048028430,-0.042980739,-0.261247650,0.009122841,0.091825682,-0.009397190,0.995688963,685,412,395,0.806207030,0.692037028,ok
1750921983.314058304,1,-0.055282347,-0.044800643,-0.282016469,0.009128886,0.098321219,-0.010369220,0.995058833,671,426,405,0.812135944,0.697788508,ok
1750921983.326058388,1,-0.060097402,-0.046563364,-0.302435668,0.009287706,0.106777892,-0.010567431,0.994183358,647,386,380,0.859754552,0.781860327,ok
1750921983.338058472,1,-0.070159081,-0.048033383,-0.320418504,0.009580738,0.112803308,-0.011074627,0.993509424,633,346,336,0.799354442,0.693503696,ok
1750921983.350058556,1,-0.073857817,-0.049634285,-0.340382432,0.009277806,0.121725199,-0.010323413,0.992466788,616,356,346,0.818975627,0.699611382,ok
1750921983.362058640,1,-0.082971629,-0.055131077,-0.359946900,0.010499713,0.128369769,-0.011478252,0.991604361,592,326,309,0.869019760,0.788343121,ok
1750921983.374058723,1,-0.088856767,-0.056272943,-0.378944542,0.011444746,0.136134736,-0.011653167,0.990555680,569,335,327,0.756469587,0.627899069,ok
1750921983.386058807,1,-0.097140940,-0.056138981,-0.396764844,0.012775126,0.143894289,-0.011415348,0.989444753,546,330,322,0.832952472,0.728012997,ok
1750921983.398058891,1,-0.103591136,-0.057436780,-0.413266856,0.014244451,0.151229980,-0.012361970,0.988318658,526,361,345,0.874143265,0.745104584,ok
1750921983.410058975,1,-0.112085645,-0.059162963,-0.432041707,0.013533328,0.158444494,-0.013232865,0.987186448,512,258,240,0.870742441,0.770315242,ok
1750921983.422059059,1,-0.121352589,-0.060992261,-0.450411813,0.011713733,0.165464421,-0.012770943,0.986063495,488,244,239,0.760634943,0.662847495,ok
1750921983.434059143,1,-0.130385843,-0.061041296,-0.467843033,0.010008798,0.172834490,-0.012329188,0.984822854,473,244,219,0.822930334,0.725979856,ok
1750921983.446059227,1,-0.139623414,-0.061044994,-0.485947089,0.010335598,0.180140342,-0.012298406,0.983509726,456,242,233,0.784401871,0.708966190,ok
1750921983.458059311,1,-0.146560248,-0.062178729,-0.506047290,0.011232506,0.188750603,-0.012951301,0.981875402,439,235,231,0.794078586,0.694448231,ok
1750921983.470059395,1,-0.155473149,-0.063478996,-0.524288345,0.012316768,0.196147125,-0.013321461,0.980406620,419,204,203,0.760500424,0.722797115,ok
1750921983.482059479,1,-0.165756708,-0.063598769,-0.541923745,0.012584117,0.203335599,-0.013758083,0.978931555,406,163,159,0.700945032,0.620704205,ok
1750921983.494059563,1,-0.176104221,-0.062217465,-0.558339303,0.011616505,0.209849162,-0.014422133,0.977558381,383,169,168,0.718683827,0.671633928,ok
1750921983.506059647,1,-0.185818565,-0.063595012,-0.578006185,0.011258167,0.217520280,-0.014238956,0.975886998,361,169,167,0.756822481,0.660344692,ok
1750921983.518059731,1,-0.195755165,-0.064607743,-0.594926801,0.011602653,0.224748624,-0.015329629,0.974227097,350,164,160,0.808590779,0.719849022,ok
1750921983.530059814,1,-0.205240392,-0.064570041,-0.611156777,0.012223272,0.231969628,-0.015819887,0.972517565,345,179,176,0.590078998,0.534934938,ok
1750921983.542059898,1,-0.216650398,-0.065489160,-0.628372966,0.013166920,0.238722039,-0.016225706,0.970863094,338,167,166,0.734673226,0.655074380,ok
1750921983.554059982,1,-0.227737548,-0.068642635,-0.645442356,0.014768966,0.245931253,-0.016370422,0.969036483,334,156,155,0.708513338,0.599930364,ok
1750921983.566060066,1,-0.237041123,-0.067891827,-0.662382694,0.014434004,0.253405563,-0.016615610,0.967109715,332,142,141,0.735570780,0.578207267,ok
1750921983.578060150,1,-0.248847269,-0.068417838,-0.677590489,0.014582169,0.259786229,-0.017153899,0.965403656,326,134,134,0.657789897,0.591516935,ok
1750921983.590060234,1,-0.259549784,-0.067111130,-0.694138243,0.013548964,0.266996743,-0.016916557,0.963453681,316,153,150,0.764532410,0.680674965,ok
1750921983.602060318,1,-0.271742108,-0.064828649,-0.712600985,0.012517248,0.273850655,-0.016551440,0.961548328,309,88,88,0.650192487,0.601821894,ok
1750921983.614060402,1,-0.281927344,-0.063450478,-0.726863934,0.012943494,0.280972321,-0.016465413,0.959487317,289,89,88,0.805099664,0.710932236,ok
1750921983.626060486,1,-0.291726082,-0.065006326,-0.744577775,0.014593537,0.288533537,-0.017039012,0.957206926,263,111,106,0.679840255,0.618680391,ok
1750921983.638060570,1,-0.294224901,-0.055816754,-0.770500353,0.011794014,0.299620198,-0.016662772,0.953840128,255,105,97,0.608971817,0.516526091,ok
1750921983.650060654,1,-0.303944808,-0.051690484,-0.789307284,0.010519412,0.307728094,-0.018127133,0.951243486,250,75,72,0.813785814,0.738990900,ok
1750921983.662060738,1,-0.318125256,-0.047260309,-0.802860076,0.007973953,0.313621063,-0.019704251,0.949310269,245,98,89,0.642002013,0.553761842,ok
