timestamp,vx_camera,vy_camera,vz_camera,speed
1750921983.146057129,0.068078329,-0.322875785,-1.477790037,1.514181899
1750921983.158057213,-0.168154324,-0.474597390,-1.627665324,1.703764352
1750921983.170057297,-0.299509073,-0.498550276,-1.777330695,1.870070176
1750921983.182057381,-0.204491580,-0.468576913,-1.808754943,1.879621125
1750921983.194057465,-0.170028477,-0.371352282,-1.761365886,1.808098998
1750921983.206057549,-0.112627215,-0.210617996,-1.682243919,1.699114309
1750921983.218057632,-0.128935741,-0.267309947,-1.690586549,1.716438730
1750921983.230057716,-0.230415855,-0.222225247,-1.617968186,1.649332161
1750921983.242057800,-0.032056241,-0.157849517,-1.673057950,1.680793556
1750921983.254057884,-0.019599828,-0.173854866,-1.694247401,1.703256857
1750921983.266057968,-0.220872613,-0.240665190,-1.666814436,1.698521360
1750921983.278058052,-0.194509234,-0.211982430,-1.718373921,1.742291401
1750921983.290058136,-0.198224032,-0.231601131,-1.713092028,1.740004640
1750921983.302058220,-0.206881231,-0.261740653,-1.769345648,1.800525488
1750921983.314058304,-0.154100751,-0.188177018,-1.777974531,1.794533662
1750921983.326058388,-0.262991885,-0.174835344,-1.692002525,1.721221855
1750921983.338058472,-0.201347842,-0.167904549,-1.666210040,1.686709456
1750921983.350058556,-0.114267473,-0.333957995,-1.720609802,1.756440459
1750921983.362058640,-0.189200764,-0.321108353,-1.705811787,1.746053080
1750921983.374058723,-0.153357064,-0.087357852,-1.634790032,1.644289583
1750921983.386058807,-0.179791657,-0.096045258,-1.543650324,1.557050434
1750921983.398058891,-0.151584948,-0.179696808,-1.583930917,1.601282639
1750921983.410058975,-0.214685640,-0.205410908,-1.696085818,1.721914825
1750921983.422059059,-0.231617212,-0.128532028,-1.656071240,1.677122228
1750921983.434059143,-0.211116175,-0.046195491,-1.650787800,1.664873696
1750921983.446059227,-0.064562194,-0.091490186,-1.725635979,1.729265238
1750921983.458059311,-0.018366181,-0.148380496,-1.725166157,1.731632859
1750921983.470059395,-0.161338742,-0.112176179,-1.684990884,1.696410317
1750921983.482059479,-0.224048432,-0.002045240,-1.644520521,1.659713719
1750921983.494059563,-0.144611713,-0.052534014,-1.713286251,1.720180848
1750921983.506059647,-0.090987454,-0.150348189,-1.724368346,1.733300172
1750921983.518059731,-0.120738466,-0.090696289,-1.594241084,1.601376979
1750921983.530059814,-0.146266921,-0.091326587,-1.634525898,1.643596504
1750921983.542059898,-0.162970341,-0.230424085,-1.693689370,1.717043468
1750921983.554059982,-0.067827660,-0.162291300,-1.645898286,1.655270439
1750921983.566060066,-0.109165116,-0.051461466,-1.597938662,1.602489710
1750921983.578060150,-0.147199296,-0.031133106,-1.615143232,1.622135803
1750921983.590060234,-0.070014665,0.086503463,-1.745844464,1.749387835
1750921983.602060318,-0.077169784,0.095862041,-1.654319334,1.658890341
1750921983.614060402,0.018387670,-0.060527884,-1.569888625,1.571162635
1750921983.626060486,0.570733755,0.263801399,-1.809457242,1.915584430
1750921983.638060570,0.634860214,0.511256188,-1.837397723,2.010089743
1750921983.650060654,-0.026686147,0.303470883,-1.686399350,1.713694691
1750921983.662060738,-0.149371416,0.083450547,-1.706825328,1.715379991
1750921983.674060822,-0.081246348,0.018026605,-1.726369191,1.728373950
1750921983.686060905,-0.128650013,0.082300814,-1.650424095,1.657475171
1750921983.698060989,-0.176512804,-0.023350183,-1.620795281,1.630545720
1750921983.710061073,-0.242127083,-0.040634891,-1.606141427,1.624797527
1750921983.722061157,-0.163621494,-0.046880424,-1.585801793,1.594909745
1750921983.734061241,-0.119558818,-0.049671537,-1.609231893,1.614431435
1750921983.746061325,-0.135545819,-0.092109713,-1.613354796,1.621656735
1750921983.758061409,-0.186613185,-0.158364808,-1.591041912,1.609757205
