timestamp_prev,timestamp_curr,imu_time_prev,imu_time_curr,pnp_rotation_deg,imu_rotation_deg,pnp_imu_error_deg
1750921983.200000048,1750921983.299999952,1750921983.198020697,1750921983.298020601,7.340554741,6.889759417,1.148818346
1750921983.299999952,1750921983.400000095,1750921983.298020601,1750921983.398020744,7.498487509,7.128049206,0.618013148
1750921983.400000095,1750921983.500000000,1750921983.398020744,1750921983.498020649,7.482967810,7.193018101,0.556978685
1750921983.500000000,1750921983.599999905,1750921983.498020649,1750921983.598020554,7.223429651,6.910401160,0.474604365
1750921983.599999905,1750921983.700000048,1750921983.598020554,1750921983.698020697,6.675762744,6.715070312,0.417212017
1750921983.700000048,1750921983.799998999,1750921983.698020697,1750921983.798019648,6.748212799,6.540856812,0.556883835
1750921983.799998999,1750921983.899998903,1750921983.798019648,1750921983.898019552,6.211673087,6.242452372,0.343052152
1750921983.899998903,1750921983.999999046,1750921983.898019552,1750921983.998019695,5.644003228,5.913339313,0.803859262
1750921983.999999046,1750921984.099998951,1750921983.998019695,1750921984.098019600,5.913494895,5.738848189,0.677523797
1750921984.099998951,1750921984.199999094,1750921984.098019600,1750921984.198019743,5.791931671,5.717271386,0.839109287
1750921984.199999094,1750921984.299998999,1750921984.198019743,1750921984.298019648,5.307381757,5.682517098,0.658019041
1750921984.299998999,1750921984.399998903,1750921984.298019648,1750921984.398019552,5.741196484,5.779061365,0.636996266
1750921984.399998903,1750921984.499999046,1750921984.398019552,1750921984.498019695,6.275400941,6.152109167,0.560027953
1750921984.499999046,1750921984.599998951,1750921984.498019695,1750921984.598019600,6.239127689,6.529653462,0.832963762
1750921984.599998951,1750921984.699999094,1750921984.598019600,1750921984.698019743,7.195041757,6.561800609,0.937250614
1750921984.699999094,1750921984.799998999,1750921984.698019743,1750921984.798019648,7.777714070,6.538475409,1.327343349
1750921984.799998999,1750921984.899997950,1750921984.798019648,1750921984.898018599,6.517665804,6.452788424,0.266839402
1750921984.899997950,1750921984.999998093,1750921984.898018599,1750921984.998018742,6.903609859,6.648902039,0.447757577
1750921984.999998093,1750921985.099997997,1750921984.998018742,1750921985.098018646,6.979669433,6.761164285,0.378961740
1750921985.099997997,1750921985.199997902,1750921985.098018646,1750921985.198018551,6.504588101,6.748423396,0.323682143
1750921985.199997902,1750921985.299998045,1750921985.198018551,1750921985.298018694,7.001434062,6.788107001,0.456840520
1750921985.299998045,1750921985.399997950,1750921985.298018694,1750921985.398018599,6.965960501,7.000876978,0.588771540
1750921985.399997950,1750921985.499998093,1750921985.398018599,1750921985.498018742,6.379996907,6.780439964,0.729123145
1750921985.499998093,1750921985.599997997,1750921985.498018742,1750921985.598018646,6.804839903,6.706740687,0.698190158
1750921985.599997997,1750921985.699997902,1750921985.598018646,1750921985.698018551,6.881657827,6.593192628,0.846780664
1750921985.699997902,1750921985.799998045,1750921985.698018551,1750921985.798018694,6.585580382,6.603647351,0.553727016
1750921985.799998045,1750921985.899996996,1750921985.798018694,1750921985.898017645,6.479570039,6.501181728,1.056888796
1750921985.899996996,1750921985.999996901,1750921985.898017645,1750921985.998017550,6.488569615,6.351645533,1.682306284
1750921985.999996901,1750921986.099997044,1750921985.998017550,1750921986.098017693,6.498265263,6.632864566,0.993978750
1750921986.099997044,1750921986.199996948,1750921986.098017693,1750921986.198017597,7.500185154,6.749844135,0.791496789
1750921986.199996948,1750921986.299997091,1750921986.198017597,1750921986.298017740,8.137820350,6.679941347,1.461296768
1750921986.299997091,1750921986.399996996,1750921986.298017740,1750921986.398017645,7.454411213,6.802333083,0.807286458
1750921986.399996996,1750921986.499996901,1750921986.398017645,1750921986.498017550,7.169484950,6.961278357,0.253927838
