timestamp,vx_camera,vy_camera,vz_camera,speed
1750921983.143057108,0.170410880,-1.286005465,-1.855574105,2.264068281
1750921983.149057150,0.087377531,-1.132754558,-1.801659390,2.129963445
1750921983.155057192,0.004260856,-0.981064847,-1.749026885,2.005393087
1750921983.161057234,-0.058294488,-0.866003015,-1.714608541,1.921780923
1750921983.167057276,-0.125922730,-0.744265542,-1.727639316,1.885344886
1750921983.173057318,-0.149632333,-0.736302272,-1.771805457,1.924532527
1750921983.179057360,-0.135096496,-0.756390525,-1.767274183,1.927079585
1750921983.185057402,-0.139145724,-0.717286043,-1.774469997,1.919011352
1750921983.191057444,-0.134673269,-0.586640664,-1.750851087,1.851422072
1750921983.197057486,-0.103074016,-0.438657874,-1.712019484,1.770326437
1750921983.203057528,-0.070774284,-0.354359175,-1.691564099,1.729730767
1750921983.209057570,-0.092274670,-0.323523531,-1.690435707,1.723587819
1750921983.215057611,-0.142218055,-0.282687014,-1.681056246,1.710581195
1750921983.221057653,-0.178871207,-0.283220662,-1.703442948,1.736066453
1750921983.227057695,-0.225397621,-0.339619261,-1.707707198,1.755679129
1750921983.233057737,-0.180937863,-0.445399406,-1.731181912,1.796694174
1750921983.239057779,-0.129364817,-0.480275301,-1.756755599,1.825812108
1750921983.245057821,-0.093410573,-0.377885877,-1.717864825,1.761415008
1750921983.251057863,-0.032132071,-0.267253690,-1.685489763,1.706848777
1750921983.257057905,-0.011245011,-0.213503560,-1.644171685,1.658014099
1750921983.263057947,0.004971649,-0.247010773,-1.646396059,1.664830028
1750921983.269057989,0.024834436,-0.299330939,-1.666327868,1.693181716
1750921983.275058031,-0.013814777,-0.349957343,-1.703846507,1.739469434
1750921983.281058073,-0.038587831,-0.350764060,-1.737580378,1.773051048
1750921983.287058115,-0.060597122,-0.304742865,-1.728584368,1.756287033
1750921983.293058157,-0.054134791,-0.226197285,-1.696646584,1.712514355
1750921983.299058199,-0.052480983,-0.186484556,-1.652357485,1.663675450
1750921983.305058241,-0.070658813,-0.175930793,-1.649223190,1.660084770
1750921983.311058283,0.015231514,-0.160729328,-1.699445614,1.707097335
1750921983.317058325,0.074321415,-0.190869939,-1.721636668,1.733778481
1750921983.323058367,0.105809406,-0.204739287,-1.712362987,1.727802305
1750921983.329058409,0.019477590,-0.237052005,-1.655147585,1.672150280
1750921983.335058451,-0.087464357,-0.310429935,-1.643464321,1.674810954
1750921983.341058493,-0.010595964,-0.263534893,-1.671657424,1.692336094
1750921983.347058535,0.096320590,-0.266883761,-1.716464193,1.739756858
1750921983.353058577,0.280061250,-0.218009786,-1.707749118,1.744238980
1750921983.359058619,0.301765191,-0.141291426,-1.620516022,1.654417624
1750921983.365058661,0.231399929,-0.155689465,-1.577338958,1.601806269
1750921983.371058702,0.125490302,-0.091357748,-1.544943840,1.552721972
1750921983.377058744,-0.004464725,-0.059576134,-1.521239704,1.522412390
1750921983.383058786,-0.015906386,-0.038871979,-1.537334623,1.537908250
1750921983.389058828,-0.073540422,-0.090886740,-1.581154456,1.585470910
1750921983.395058870,-0.052567131,-0.155350816,-1.600642406,1.609022465
1750921983.401058912,-0.103678869,-0.231119965,-1.649272649,1.668612003
1750921983.407058954,-0.117291531,-0.241159564,-1.660281317,1.681799420
1750921983.413058996,-0.099258029,-0.196212847,-1.686914402,1.701185421
1750921983.419059038,-0.106176400,-0.177722502,-1.727915927,1.740273589
1750921983.425059080,-0.101453418,-0.110043164,-1.709191778,1.715732738
1750921983.431059122,-0.166294019,-0.069845032,-1.692621222,1.702204051
1750921983.437059164,-0.182083986,-0.028584541,-1.663751341,1.673929562
1750921983.443059206,-0.099964784,-0.031561692,-1.645047851,1.648384522
1750921983.449059248,0.034227731,-0.019595515,-1.639298416,1.639772795
1750921983.455059290,0.125367778,-0.015363041,-1.651333421,1.656156747
1750921983.461059332,0.078195254,-0.011331670,-1.663085607,1.664961454
1750921983.467059374,-0.070922270,-0.062016267,-1.670284402,1.672939320
1750921983.473059416,-0.152565737,-0.156491366,-1.684908125,1.699023614
1750921983.479059458,-0.175380501,-0.207983459,-1.684796111,1.706620454
1750921983.485059500,-0.152837769,-0.266562909,-1.700765405,1.728299202
1750921983.491059542,-0.096783394,-0.267462678,-1.700683695,1.724305176
1750921983.497059584,-0.099923298,-0.254147760,-1.666902343,1.689123787
1750921983.503059626,-0.097388348,-0.250199414,-1.635054742,1.656951492
1750921983.509059668,-0.093277116,-0.196019872,-1.566156416,1.581129448
1750921983.515059710,-0.089611729,-0.187717017,-1.515783693,1.529989590
1750921983.521059752,-0.111385273,-0.198795000,-1.501291684,1.518487027
1750921983.527059793,-0.158295416,-0.164859316,-1.497370768,1.514712927
1750921983.533059835,-0.164831257,-0.147441006,-1.505321375,1.521479752
1750921983.539059877,-0.161032005,-0.138957385,-1.553282795,1.567778015
1750921983.545059919,-0.133514244,-0.144299710,-1.617284819,1.629189567
1750921983.551059961,-0.120410616,-0.193160652,-1.700812176,1.715975469
1750921983.557060003,-0.061586908,-0.125978449,-1.688009222,1.693823678
1750921983.563060045,-0.035365847,-0.060722098,-1.655036301,1.656527414
1750921983.569060087,-0.059973802,-0.030708245,-1.622181394,1.623580096
1750921983.575060129,-0.060596838,-0.004011905,-1.602390719,1.603541109
1750921983.581060171,0.037134385,-0.027989367,-1.599527962,1.600203758
1750921983.587060213,0.093994870,0.039970952,-1.580036359,1.583334332
1750921983.593060255,0.081832218,0.096405011,-1.587456805,1.592485337
1750921983.599060297,-0.007390961,0.108718296,-1.603408311,1.607106875
1750921983.605060339,-0.079550464,0.087568610,-1.617849001,1.622168896
1750921983.611060381,-0.029216991,0.002047917,-1.588514065,1.588784051
1750921983.617060423,-0.027744408,-0.145796190,-1.583553680,1.590493175
1750921983.623060465,-0.024549564,-0.230110777,-1.598599285,1.615262618
1750921983.629060507,-0.014720577,-0.250434910,-1.638965313,1.658053569
1750921983.635060549,-0.025378950,-0.185281557,-1.658645836,1.669155283
1750921983.641060591,-0.054616479,-0.102443647,-1.630505418,1.634633163
1750921983.647060633,-0.121725910,-0.078466645,-1.583063882,1.589674642
1750921983.653060675,-0.124615063,-0.052629219,-1.576515114,1.582308015
1750921983.659060717,-0.051362537,-0.128276592,-1.673338891,1.679034258
1750921983.665060759,0.003504396,-0.137375110,-1.791994998,1.797256318
1750921983.671060801,0.014546955,-0.166587396,-1.840327589,1.847909253
1750921983.677060843,-0.039756514,-0.131090639,-1.793826893,1.799049821
1750921983.683060884,-0.117420963,-0.079489547,-1.702961320,1.708854449
1750921983.689060926,-0.127868333,-0.095900628,-1.663601930,1.671262584
1750921983.695060968,-0.118741789,-0.069160889,-1.645991392,1.651717441
1750921983.701061010,-0.124365088,-0.085405703,-1.653216827,1.660086349
1750921983.707061052,-0.164325086,-0.134114631,-1.660196479,1.673691076
1750921983.713061094,-0.178230028,-0.167698964,-1.646787046,1.664871304
