id,frame_index,timestamp,tx,ty,tz,qx,qy,qz,qw,point_count
0,0,0.006001000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1
1,5,0.066001000,0.063166011,-0.006363216,-0.088292524,-0.000137302,-0.001077612,0.002833820,0.999995395,0
2,10,0.126001000,0.106841800,-0.007739329,-0.066203336,-0.001572897,0.002084151,-0.004002263,0.999988582,0
3,15,0.186001000,0.163806802,0.053805399,0.091238639,0.000716561,0.001826162,-0.000533429,0.999997934,0
4,20,0.246001000,-0.066478413,0.097404999,0.275061508,0.000433882,0.004366482,0.004948729,0.999978128,2
5,25,0.306001000,0.024464379,0.231149688,-0.080320288,0.001277133,0.003373659,0.010019339,0.999943298,2
6,30,0.366001000,-0.188222279,0.401319648,0.076782387,0.003124335,0.004857876,0.016001452,0.999855286,1
7,36,0.438001000,-0.118340834,0.442376350,-0.047867852,0.001750925,0.006293052,0.012528856,0.999900175,2
8,41,0.498001000,-0.129683998,0.413303393,-0.088513552,0.000704706,0.008432558,0.009097825,0.999922809,2
9,47,0.570001000,-0.383123718,0.459261431,-0.322370669,0.002730028,0.005008490,0.020995297,0.999763302,0
10,52,0.630001000,-0.385830408,0.453213687,-0.309195303,0.002196920,0.005154838,0.020668285,0.999770685,1
11,57,0.690001000,-0.392539954,0.434739513,-0.271977478,0.001806014,0.005682269,0.021027797,0.999761112,0
12,63,0.762001000,-0.401197752,0.440786596,-0.268488506,0.001728247,0.005237045,0.021163872,0.999760810,0
13,68,0.822001000,-0.165556595,0.366667917,-0.534009412,-0.000561587,0.003423936,0.020483840,0.999784163,1
14,73,0.882001000,-0.390319767,0.302372980,-0.781678069,-0.004547051,0.010798339,0.007626620,0.999902273,1
15,78,0.942001000,-0.064901577,0.360045180,-0.724240769,-0.003987731,0.008308481,0.008932396,0.999917636,0
16,83,1.002001000,-0.064621218,0.359277955,-0.726050167,-0.004153444,0.008411061,0.009450840,0.999911338,1
17,88,1.062001000,-0.010771025,0.371529782,-0.697655333,-0.003760822,0.008759049,0.009743156,0.999907099,0
18,94,1.134001000,-0.085033609,0.375430984,-0.223622189,-0.003200427,0.009036833,0.008111488,0.999921145,1
19,99,1.194001000,-0.085653609,0.371072240,-0.189037741,-0.002912762,0.009549988,0.007031000,0.999925437,2
20,104,1.254001000,-0.107512216,0.439554203,-0.183116684,-0.002487304,0.011023131,0.006646705,0.999914059,4
21,110,1.326001000,-0.108616687,0.427082916,-0.184560690,-0.003041828,0.010812573,0.007146098,0.999911380,2
22,115,1.386001000,0.052577006,0.453674740,-0.450856776,-0.002664805,0.008680895,0.012846809,0.999876243,6
23,120,1.446001000,0.033422945,0.445527290,-0.632116966,-0.006384407,0.013120279,0.018198753,0.999727914,0
24,125,1.506001000,-0.050711826,0.552483046,-0.853110000,-0.006515210,0.013937992,0.017455758,0.999729254,2
25,130,1.566001000,-0.003202567,0.530474749,-0.785585979,-0.008113755,0.014382803,0.022006762,0.999621431,3
26,135,1.626001000,-0.033271495,0.652338174,-0.707881960,-0.004817488,0.015678449,0.023469984,0.999589985,0
27,140,1.686001000,0.016262022,0.470461933,-0.078946084,-0.005089176,0.019006240,0.014866369,0.999695881,0
28,145,1.746001000,0.181381734,0.756706388,0.106852819,-0.001309671,0.017196238,0.014694361,0.999743292,0
29,150,1.806001000,0.125487032,0.702363033,0.578185424,-0.004268685,0.020197234,0.008182352,0.999753419,1
30,156,1.878001000,0.420933882,0.840298289,0.549017611,-0.000623725,0.019558804,0.006221208,0.999789158,0
31,161,1.938001000,0.754184847,0.706568730,0.254128106,-0.005848762,0.017797198,-0.001258884,0.999823718,0
32,167,2.010001000,0.829467819,0.766489982,-0.265925760,-0.004144528,0.018219445,-0.002199425,0.999823003,1
33,172,2.070001000,1.088101856,0.594731587,-0.271640271,-0.004615740,0.017817332,0.000801791,0.999830283,1
34,178,2.142001000,1.335962565,0.456756671,-0.056155643,-0.009144678,0.013762270,0.009505208,0.999818296,2
35,183,2.202001000,1.624019249,0.469940210,-0.084553152,-0.010354562,0.013990427,0.006004723,0.999830483,1
36,188,2.262001000,1.684095159,0.545751994,0.106203029,-0.008410370,0.016451684,-0.003252027,0.999824001,2
37,193,2.322001000,1.928276116,0.907152629,0.115751686,-0.006312730,0.018696195,-0.013529259,0.999713739,0
38,198,2.382001000,2.341143601,1.195741675,-0.056468848,-0.003399207,0.015893298,-0.018344604,0.999699617,0
39,203,2.442001000,2.572628290,1.112200887,0.030663717,-0.006116815,0.013246693,-0.025463508,0.999569267,0
40,208,2.502001000,2.840878098,1.267094877,-0.242155694,-0.003627389,0.010197913,-0.024162181,0.999649455,0
41,213,2.562001000,3.076145253,1.401954139,-0.495310998,-0.002533569,0.006963259,-0.029136358,0.999547981,0
42,218,2.622001000,3.359354398,1.217707597,-0.215045279,-0.004605773,0.005418212,-0.032030206,0.999461603,0
43,223,2.682001000,3.399445694,1.227929907,0.161511296,-0.002554346,0.005480380,-0.030808361,0.999507021,0
44,228,2.742001000,3.723641927,1.090076771,0.655757416,-0.005154512,0.002394277,-0.029661876,0.999543832,0
45,233,2.802001000,3.980585081,0.990851677,0.358503753,-0.010229880,-0.002534250,-0.027208251,0.999574228,0
46,239,2.874001000,4.490457020,1.279091772,0.314855670,-0.007878106,-0.003603711,-0.026434183,0.999613016,0
47,244,2.934001000,4.515339114,1.428788495,-0.552293498,-0.009628239,-0.003599740,-0.028984500,0.999527007,0
48,249,2.994001000,4.977418914,1.302300059,-0.314322029,-0.012390363,-0.005326402,-0.031548957,0.999411212,0
49,254,3.054001000,5.028708599,1.316948833,-0.302194863,-0.010811975,-0.001880836,-0.031459927,0.999444764,0
50,259,3.114001000,5.415537121,1.349201700,-0.456885687,-0.008795279,-0.003334570,-0.030802413,0.999481233,0
51,264,3.174001000,5.508718874,1.361920515,-0.955094817,-0.011443777,-0.000807268,-0.028808706,0.999519108,0
52,270,3.246001000,6.152252145,1.310872534,-0.823215667,-0.009736035,-0.006790410,-0.023386424,0.999656028,0
53,275,3.306001000,6.335490577,1.400022646,-1.036428850,-0.008079740,-0.005083261,-0.025535966,0.999628327,0
54,280,3.366001000,6.714686160,1.423997621,-1.134428128,-0.007320766,-0.007025056,-0.024026492,0.999659833,0
55,285,3.426001000,6.902708751,1.452473867,-1.204498294,-0.007348507,-0.008695841,-0.023005418,0.999670512,0
56,296,3.558001000,7.389598116,1.557057269,-1.826260807,-0.006879151,-0.006492043,-0.034667584,0.999354136,0
57,307,3.690001000,7.596536043,1.525092248,-2.060197873,-0.007565056,-0.007152972,-0.035461824,0.999316799,0
58,323,3.882001000,7.949871912,1.317978235,-2.091158464,-0.010901049,-0.009998539,-0.035494853,0.999260382,0
59,328,3.942001000,7.977218063,1.417970457,-2.447793279,-0.011227257,-0.009616652,-0.036272402,0.999232596,0
60,340,4.086001000,8.265656019,1.343280985,-2.337860861,-0.011721737,-0.011422659,-0.037602226,0.999158744,0
61,347,4.170001000,8.320415044,1.487246929,-2.447316629,-0.007906364,-0.009158742,-0.053862408,0.998475061,0
62,354,4.254001000,8.320302679,1.472184991,-2.507672200,-0.007515390,-0.010403464,-0.047798593,0.998774540,0
63,400,4.806001000,8.500406798,1.433405548,-2.552599309,-0.008146049,-0.010792081,-0.051194679,0.998597155,0
64,554,6.654001000,8.558898907,1.390536500,-2.480105649,-0.009577980,-0.010048384,-0.052819357,0.998507590,0
65,559,6.714001000,8.206491706,1.403199798,-2.504443206,-0.011286558,-0.002959041,-0.047101147,0.998821976,0
66,564,6.774001000,8.461015126,1.459975062,-2.475135201,-0.009925515,-0.002844125,-0.044360717,0.998962222,0
67,569,6.834001000,8.725217726,1.582859781,-2.726635041,-0.009307197,-0.000641864,-0.033749693,0.999386773,0
68,574,6.894001000,8.641244160,1.664378888,-2.682810235,-0.007208536,0.000837169,-0.031010723,0.999492707,0
69,580,6.966001000,8.483054726,1.920641970,-2.454832175,-0.002424681,0.003569001,-0.027768173,0.999605078,0
70,586,7.038001000,8.422121927,1.879220784,-2.328190268,-0.003253106,0.005218510,-0.035675786,0.999344497,0
71,591,7.098001000,8.714291877,1.967435693,-2.858156886,-0.003604188,-0.010497767,-0.031434306,0.999444191,0
72,596,7.158001000,8.784539333,2.238011981,-2.347621643,0.002686998,-0.012321226,-0.025289495,0.999600625,0
73,601,7.218001000,8.901884637,2.170177095,-2.200928193,0.001677256,-0.011005886,-0.032449498,0.999411370,0
74,608,7.302001000,8.820092896,2.056606118,-2.540234213,-0.001539007,-0.012219476,-0.031528458,0.999426972,1
75,613,7.362001000,8.668043228,2.335203343,-2.459213527,0.006678283,-0.004161182,-0.029936203,0.999520840,1
76,618,7.422001000,8.693677115,1.989163907,-2.280903057,-0.001967220,-0.005437098,-0.030887634,0.999506139,0
77,624,7.494001000,8.740853185,1.929556470,-2.313170766,-0.003864833,-0.014768261,-0.020576218,0.999671737,4
78,637,7.650001000,8.710152035,1.926912736,-2.307612668,-0.004280466,-0.014774179,-0.006240640,0.999862218,3
79,642,7.710001000,8.771695077,2.028254867,-2.498941667,-0.005469345,-0.008086378,0.002013029,0.999950321,47
80,647,7.770001000,8.752232195,2.000484040,-2.406572943,-0.002185946,-0.010095198,-0.000013595,0.999946653,24
81,652,7.830001000,8.708253157,1.983999568,-2.499763586,-0.006674416,-0.007035205,-0.004729943,0.999941791,12
82,657,7.890001000,8.644772746,2.018943474,-2.617038875,-0.011087059,-0.000665163,-0.003961208,0.999930469,23
83,662,7.950001000,8.656860979,2.008273029,-2.595652224,-0.013280023,0.001108078,0.000432601,0.999911109,22
84,667,8.010001000,8.650307639,2.008069401,-2.587215339,-0.015714608,0.004363377,0.010547315,0.999811365,60
85,672,8.070001000,8.682780495,2.009286474,-2.561495391,-0.014490319,0.009239546,0.012208512,0.999777782,16
86,677,8.130001000,8.629250804,1.918227864,-2.600079923,-0.023312573,0.020686686,0.018625987,0.999340611,71
87,682,8.190001000,8.643734786,1.923984121,-2.576024369,-0.024792824,0.028579246,0.020708705,0.999069413,51
88,687,8.250001000,8.640829322,1.921437086,-2.582930815,-0.022139191,0.035098243,0.033366636,0.998581312,32
89,692,8.310001000,8.644057347,1.928592841,-2.559434928,-0.021864165,0.044688574,0.039278716,0.997989014,18
90,697,8.370001000,8.627224263,1.908086121,-2.502242756,-0.017174818,0.057086630,0.035719069,0.997582222,96
91,702,8.430001000,8.622080012,1.905616344,-2.485955846,-0.013069824,0.060075896,0.067230828,0.995841394,163
92,707,8.490001000,8.612640007,1.887125480,-2.379162943,0.003168690,0.069745521,0.091082284,0.993392943,143
93,712,8.550001000,8.623967756,1.859763002,-2.330522099,0.006376891,0.078911838,0.113173805,0.990416047,57
94,717,8.610001000,8.617954546,1.871577483,-2.313067317,0.002353706,0.095236620,0.108370515,0.989535385,51
95,722,8.670001000,8.606658534,1.859146922,-2.244226687,0.000906072,0.115490336,0.079825689,0.990095460,137
96,727,8.730001000,8.604993692,1.860535448,-2.232504638,0.005700576,0.126221520,0.071396587,0.989413037,101
97,732,8.790001000,8.604549018,1.848068639,-2.191460818,0.007564716,0.136989828,0.064167468,0.988462998,48
98,737,8.850001000,8.614565278,1.854688480,-2.214964785,0.010414138,0.141981459,0.061989596,0.987871500,61
99,742,8.910001000,8.621723937,1.851863172,-2.193620347,0.011605951,0.147529406,0.058122665,0.987280169,199
100,747,8.970001000,8.635157328,1.833562555,-2.179492133,0.013096164,0.149966129,0.058507485,0.986871585,178
101,752,9.030001000,8.637948437,1.832614862,-2.181845764,0.017933650,0.153398326,0.063813195,0.985938748,145
102,757,9.090001000,8.641951871,1.827720122,-2.160157208,0.022907403,0.157121587,0.069795153,0.984843487,127
103,762,9.150001000,8.641517951,1.820083825,-2.119627887,0.029205373,0.162302823,0.076754778,0.983317621,195
104,767,9.210001000,8.645361080,1.817607882,-2.110943040,0.034317282,0.165647648,0.090042199,0.981466038,140
105,772,9.270001000,8.631786507,1.816778525,-2.043735575,0.042810333,0.173635217,0.102380419,0.978537857,92
106,777,9.330001000,8.627786993,1.799422581,-1.996488479,0.054570138,0.171889796,0.139804698,0.973617299,170
107,782,9.390001000,8.669645478,1.743377363,-2.051811248,0.055515437,0.162468645,0.174937140,0.969494184,122
108,787,9.450001000,8.644499833,1.794962161,-1.991174331,0.075073181,0.178689070,0.174842462,0.965331211,66
109,792,9.510001000,8.666083022,1.764361392,-1.942164299,0.076432448,0.194855783,0.162182736,0.964306002,77
110,797,9.570001000,8.705788389,1.752536064,-1.933534875,0.079342871,0.207081721,0.155187801,0.962672642,69
111,802,9.630001000,8.759054706,1.717345158,-1.950976882,0.077851231,0.214660874,0.156866150,0.960860503,58
112,807,9.690001000,8.832220083,1.719865375,-1.928672264,0.079680180,0.230443247,0.139092536,0.959791772,53
113,812,9.750001000,8.877099441,1.676537591,-1.941761260,0.074518270,0.249232429,0.127288153,0.957145731,48
114,817,9.810001000,8.938325714,1.646766447,-1.969557614,0.073184602,0.261817077,0.127253098,0.953888086,38
115,822,9.870001000,8.926156432,1.654357884,-1.789135353,0.084437108,0.297670948,0.128961270,0.942141907,38
116,827,9.930001000,9.029023658,1.622754719,-1.943002148,0.074250019,0.297131191,0.117024314,0.944724986,16
117,832,9.990001000,9.100914900,1.582741747,-1.995154963,0.068385913,0.306980105,0.109522558,0.942916429,5
118,837,10.050001000,9.081488958,1.576035556,-1.759312344,0.081107003,0.343858232,0.111166603,0.928883823,18
119,842,10.110001000,9.133368339,1.543304103,-1.828236671,0.080616876,0.349817710,0.120102667,0.925582972,15
120,847,10.170001000,9.136871417,1.544552013,-1.689125160,0.093712576,0.373145139,0.124809499,0.914550844,19
121,852,10.230001000,9.146434663,1.519327581,-1.652856459,0.103142292,0.383153527,0.147668389,0.905952035,23
122,857,10.290001000,9.205235953,1.491273669,-1.677503409,0.108224426,0.385889254,0.158071609,0.902435773,32
123,862,10.350001000,9.271106673,1.465690579,-1.696220067,0.111461151,0.389318694,0.164616850,0.899393495,18
124,867,10.410001000,9.333343993,1.441948998,-1.727447502,0.114499572,0.394096707,0.169412680,0.896034027,43
125,872,10.470001000,9.394109056,1.420590137,-1.749585242,0.116812066,0.401646061,0.169987518,0.892266567,36
126,877,10.530001000,9.466536792,1.398167827,-1.778983032,0.114811750,0.410550140,0.166254783,0.889171632,10
