id,anchor_keyframe_id,x_anchor,y_anchor,z_anchor,x_world,y_world,z_world,observation_count,last_seen_keyframe_id
15,0,-2.826966497,-1.809157344,9.348859826,-2.826966497,-1.809157344,9.348859826,2,4
80,4,0.117143384,0.053873021,4.550173033,0.089876940,0.148683454,4.824085912,2,5
95,5,2.114585198,-1.989373619,8.026857397,2.232784013,-1.735387642,7.926899763,2,7
105,6,-2.428553328,1.475697939,7.109459495,-2.592817715,1.755136893,7.218565753,2,8
134,7,-1.545953119,-0.405332011,8.862806310,-1.541613497,-0.031229716,8.832086709,2,10
149,8,-2.431488483,-0.434595767,4.096173474,-2.483392561,-0.070632246,4.047367146,2,13
228,14,0.572308633,-0.957311251,9.752029585,0.406397997,-0.555831278,8.963822908,2,19
243,16,-0.111382821,-1.242834283,8.052171477,-0.017581523,-0.817226064,7.336712030,2,18
264,19,-1.062048834,0.113569714,2.573192063,-1.099968084,0.485089102,2.403322091,2,21
270,20,-3.935384311,-1.282600079,7.693955013,-3.855119463,-0.855612502,7.601948474,2,22
271,20,-2.849384850,-1.254993224,5.890921164,-2.809535472,-0.822865408,5.775265750,2,22
277,20,-4.706928379,-1.549907990,9.186521336,-4.589986744,-1.125463740,9.112457787,2,22
283,20,-2.744275033,-0.831955741,5.489163985,-2.718950011,-0.400536439,5.369248347,2,22
306,21,-0.704825969,1.600201957,5.314366079,-0.721496785,2.050214738,5.134248749,2,22
336,22,-4.957559000,-2.091425358,9.524572916,-4.684080991,-1.711282690,9.169224869,2,25
350,24,-4.355139824,-1.732624224,8.113728390,-4.116447231,-1.220505830,7.400866257,2,25
357,24,-4.237152152,-1.529780442,7.847155853,-4.013062137,-1.017308623,7.128561233,2,25
409,29,-3.609474321,-1.548884180,7.254767565,-3.162477870,-0.840369114,7.985496935,2,33
449,32,2.691578418,-2.418578866,8.738991586,3.827503559,-1.592501841,8.389190145,2,36
464,34,2.241544362,-2.177269833,8.580526809,3.852824562,-1.518566158,8.496853815,2,36
467,34,-3.344449131,-1.724458018,8.291717433,-1.746661822,-1.176035388,8.354735536,2,35
712,74,-3.635097081,-1.576416610,8.070442690,4.897565019,0.743326136,5.442255127,2,75
801,77,0.134205292,0.114485023,3.348901396,8.781259362,2.066348077,1.037338724,2,82
805,77,-1.007112245,-0.793597923,4.098590112,7.581928184,1.212132046,1.759262006,3,84
806,77,0.850605460,-0.813856439,3.136810014,9.464672121,1.107662522,0.853222372,9,107
815,77,0.516927096,-0.737368415,5.297352140,9.071126899,1.215780430,3.002307438,10,106
820,78,-3.206425743,-1.472510591,5.971872113,5.310697637,0.546398995,3.578863496,2,79
822,78,-1.972795448,-1.774297775,7.674261294,6.489684034,0.244293196,5.319487320,2,82
824,78,0.164939688,-0.545742041,2.631838949,8.790512027,1.402208892,0.332433520,6,99
839,79,0.699711219,-0.912294235,3.157587263,9.423767308,1.153336792,0.679352538,2,82
842,79,-1.753370394,-1.023743289,4.738941487,6.945856802,1.049048168,2.222010918,2,82
848,79,0.368783451,-1.143635193,5.078290306,9.062692572,0.941596412,2.596882994,5,91
853,79,0.661101363,-1.687873915,8.245445037,9.305823957,0.433137043,5.774125642,2,83
855,79,0.529519414,-1.402883627,4.996904919,9.225744929,0.682139351,2.520953133,5,106
857,79,0.697670444,-2.157399593,8.826668059,9.334824363,-0.029867703,6.360979494,2,80
860,79,-2.371327041,-1.724277862,7.106319780,6.292407008,0.371836377,4.586643373,3,87
861,79,-0.510982596,-0.423137450,1.538223275,8.237539567,1.619819054,-0.964621806,2,84
863,79,-1.206646546,-0.978586311,5.053502623,7.487232923,1.099881947,2.544846246,2,84
868,79,-3.565495805,-1.583208333,7.357614914,5.093779180,0.510723662,4.817057231,2,83
869,79,-3.002842816,-2.004656043,8.230601192,5.643876320,0.101139943,5.703587498,3,88
870,79,-1.619475669,-1.209821870,5.465967283,7.068692162,0.871461759,2.953101942,3,89
871,79,-1.451796389,-1.227289785,6.328503525,7.222449045,0.864091383,3.818373424,4,91
872,79,-0.492918461,-0.432559085,1.495947340,8.256322905,1.610011337,-1.006494587,2,84
875,79,0.397876550,-1.228790681,7.532819453,9.052368345,0.883334498,5.052348359,3,81
876,79,-1.885148531,-1.181184213,5.045549607,6.809751672,0.894419506,2.528159626,2,83
877,79,-1.026518803,-0.749394026,3.354774251,7.693942387,1.311274127,0.846836313,2,84
885,79,-0.904865135,-0.732752137,3.352698648,7.815547246,1.328392770,0.846543230,3,89
891,79,0.968371007,-0.868246528,2.956620825,9.695470795,1.196295199,0.482280009,3,91
893,79,-1.042601620,-0.677268467,3.240838505,7.679422888,1.382086080,0.731871279,2,84
897,79,-0.692511826,-0.551600448,2.406440204,8.042481478,1.500086334,-0.098092720,2,83
906,79,1.171450283,-0.952389228,3.125320679,9.896121249,1.114833519,0.655150529,18,112
907,79,-1.310370396,-0.824979858,4.054485089,7.399096730,1.242156335,1.542658828,3,87
909,79,0.590437008,-1.369783629,5.704535493,9.275064385,0.723204864,3.229069513,5,106
911,79,-0.918027170,-0.676004804,2.901439438,7.809471280,1.380160848,0.394534910,3,84
912,79,0.478295286,-1.337444660,5.294974984,9.169443318,0.750613751,2.817421206,13,113
916,79,-1.214887629,-1.191564412,5.143079429,7.478380961,0.887861295,2.636609405,2,84
918,79,0.462769570,-1.100503940,5.360788967,9.151921037,0.988192238,2.880372499,6,106
923,79,0.221585876,-0.696406365,3.155869904,8.944886142,1.367224111,0.667545373,6,91
930,79,-0.947717022,-0.668835863,2.872187938,7.780231023,1.386888144,0.364730847,2,84
931,79,0.309218048,-1.715689836,7.743103662,8.962233938,0.398396923,5.266502284,3,97
932,79,-1.599861498,-1.151386968,5.068811863,7.094505051,0.925642175,2.555697918,3,89
936,79,-1.417227511,-1.370049210,5.817153803,7.265856006,0.715907312,3.309245625,2,84
937,79,0.184278187,-0.877023649,3.913935744,8.896018701,1.194732757,1.426845703,9,106
938,79,0.363620635,-1.149879593,5.117400553,9.056921709,0.935757714,2.635970913,5,91
940,79,-0.747248461,-0.687144580,2.885506743,7.980528147,1.369550710,0.381485527,2,84
944,79,-0.895141409,-0.592237737,2.727873613,7.834834759,1.462123546,0.220452788,3,86
945,79,0.480380732,-1.165307637,5.531405097,9.167021958,0.925326070,3.051951469,4,93
946,79,1.800988985,-0.995626584,3.186946376,10.524744797,1.074861283,0.727405831,3,91
948,79,0.517565627,-1.191758939,4.155307635,9.226590323,0.884022400,1.677007023,13,113
951,79,-0.744472465,-0.683209408,2.868057928,7.983570828,1.373306746,0.364041698,2,84
955,79,1.170256880,-1.003414598,3.241125637,9.893253578,1.065069627,0.771473924,11,111
958,79,0.404774588,-0.977165553,3.332298978,9.126297787,1.089161755,0.849979429,8,104
962,79,1.284025873,-1.946382079,7.708374378,9.938377112,0.171352273,5.250053557,2,80
969,80,1.621490741,-1.654858683,9.507200554,10.181331067,0.387233494,7.138569850,2,84
976,80,-0.044307447,-0.582364609,2.231474944,8.662840417,1.427880105,-0.173922958,13,106
977,80,-4.043649180,-1.601001843,8.227336394,4.543189201,0.435398337,5.744367711,2,83
978,80,-1.022890639,-0.646567161,3.225026902,7.664393028,1.368005326,0.799940662,3,84
986,80,0.128750428,-0.749294368,5.705926742,8.765704504,1.276144944,3.304011096,10,111
987,80,0.152774489,-0.595148162,2.328305793,8.857926327,1.415523351,-0.073077928,14,106
990,80,-1.376806862,-0.761223868,2.898930327,7.317124414,1.251918044,0.467269530,2,81
995,80,0.227036321,-0.713656394,3.283481008,8.912880291,1.301193472,0.883910815,3,92
1001,80,0.506062535,-1.181356672,4.942610485,9.158319678,0.840755995,2.550364125,6,106
1011,80,0.866993528,-1.470057066,8.578903038,9.445742460,0.567962104,6.194429749,6,106
1018,81,1.010135669,-1.794392072,6.798780774,9.605874574,0.271590287,4.335846646,2,86
1022,81,-2.549889209,-1.488996925,7.433803015,6.040384496,0.618804274,4.916380472,4,90
1023,81,0.843588425,-1.552858536,7.749825155,9.428337941,0.527409169,5.281150455,3,89
1025,81,0.790792177,-1.467191814,5.464054212,9.408383216,0.582896164,2.993925490,10,112
1028,82,1.968822143,-0.983445159,3.290562966,10.601637950,1.093180844,0.697304465,3,91
1030,82,3.813304270,-1.834145056,7.205618895,12.434444830,0.314959756,4.632867758,2,87
1031,82,-1.881195887,-1.344889808,6.297663208,6.745139491,0.828969940,3.706215424,2,87
1032,82,-1.401149442,-0.835141655,2.960859022,7.233361755,1.260777867,0.359615526,5,86
1033,82,1.242529837,-0.875181199,3.119534188,9.876440815,1.203364619,0.522888032,17,114
1034,82,-2.517914548,-1.841177944,6.833791157,6.103836443,0.349744160,4.252309553,3,84
1035,82,3.549198088,-1.291482735,5.157828119,12.177198241,0.814144367,2.573178353,18,121
1037,82,-1.216374930,-0.697546222,2.564007460,7.419715394,1.388072809,-0.039926217,3,84
1038,82,1.882746396,-1.001472161,3.338649014,10.515362165,1.076905897,0.745656197,2,87
1039,82,2.314157036,-1.004705946,3.532306263,10.946492620,1.074556694,0.939949120,2,86
1041,82,4.643585416,-2.456185519,9.518857087,13.256888329,-0.262170752,6.960501561,2,86
1042,82,1.530777465,-0.957666043,3.164884654,10.163968148,1.119629210,0.570464530,3,87
1043,82,4.525391147,-2.414325906,9.466503081,13.139095143,-0.220549266,6.907064950,2,87
1044,82,1.575452436,-0.957282750,3.176501473,10.208630287,1.119916783,0.582133338,2,86
1045,82,2.104679036,-1.058806181,3.483094697,10.736653147,1.021036418,0.891651898,22,125
1046,82,1.338790040,-1.006010815,3.357787343,9.971363562,1.077094073,0.764119046,4,92
1047,82,1.425469783,-0.922007017,3.221448680,10.058876601,1.157365499,0.626074802,19,115
1059,83,0.601582616,-1.309786120,6.896989324,9.274817773,0.882626811,4.332331109,2,86
1062,83,-3.880677393,-1.688563502,7.193448086,4.793562820,0.508110920,4.648727671,2,85
1066,83,-1.236520930,-0.729829949,3.217630917,7.428089591,1.363123341,0.642972058,2,86
1071,83,-3.375050486,-2.281393506,9.257209421,5.304268113,-0.029276508,6.726373379,4,91
1078,83,-1.349786428,-0.892544809,4.465945650,7.317721843,1.233524826,1.895416890,2,87
1083,83,-1.818629432,-1.532693816,5.777769110,6.852344689,0.628050295,3.224819012,2,86
1084,83,-2.696057014,-1.090331804,5.547719955,5.974016737,1.063413058,2.985058302,2,84
1085,83,-2.176055932,-1.652759211,6.481104293,6.496577087,0.526408224,3.931889082,3,88
1090,83,-2.525729667,-1.769720456,6.885116598,6.147899603,0.419926077,4.339642880,2,88
1091,83,-2.488096480,-1.904774242,7.177422036,6.186297875,0.292714663,4.635347260,3,86
1094,84,-1.279045808,-0.747086101,2.455606428,7.408065510,1.312107249,-0.097924290,2,85
1096,84,-0.166541018,-0.821123798,2.974357693,8.526206269,1.277782093,0.412795193,14,108
