source_id,target_id,type,tx,ty,tz,qx,qy,qz,qw,inlier_count,reprojection_error_median
0,1,sequential,0.063166011,-0.006363216,-0.088292524,-0.000137302,-0.001077612,0.002833820,0.999995395,0,nan
1,2,sequential,0.043714776,-0.001629816,0.021994602,-0.001433996,0.003166748,-0.006834051,0.999970605,0,nan
2,3,sequential,0.055815371,0.061500150,0.157870568,0.002283250,-0.000254299,0.003473197,0.999991329,0,nan
3,4,sequential,-0.231001467,0.043616329,0.182917987,-0.000294030,0.002544128,0.005479800,0.999981706,0,nan
4,5,sequential,0.095361022,0.132514610,-0.354683813,0.000816194,-0.000994622,0.005074785,0.999986295,0,nan
5,6,sequential,-0.210283802,0.174807004,0.155235029,0.001841899,0.001473563,0.005986992,0.999979296,0,nan
6,7,sequential,0.072355784,0.038002747,-0.124206212,-0.001333518,0.001445877,-0.003483968,0.999991997,0,nan
7,8,sequential,-0.011558038,-0.028928427,-0.040688266,-0.000997757,0.002146251,-0.003441302,0.999991278,0,nan
8,9,sequential,-0.248584280,0.050193060,-0.238158555,0.001893800,-0.003432501,0.011917497,0.999921299,0,nan
9,10,sequential,-0.003088657,-0.005854075,0.013178833,-0.000528292,0.000156577,-0.000330159,0.999999794,0,nan
10,11,sequential,-0.007847595,-0.018009657,0.037222939,-0.000381747,0.000536228,0.000356453,0.999999720,0,nan
11,12,sequential,-0.008434582,0.006418974,0.003369306,-0.000087883,-0.000443234,0.000136411,0.999999889,0,nan
12,13,sequential,0.235040273,-0.084995758,-0.262780281,-0.002324138,-0.001765511,-0.000689222,0.999995503,0,nan
13,14,sequential,-0.225501149,-0.054790664,-0.249277557,-0.003789458,0.007461265,-0.012866369,0.999882206,0,nan
14,15,sequential,0.324934065,0.052155124,0.064960149,0.000526246,-0.002499984,0.001300249,0.999995891,0,nan
15,16,sequential,0.000296815,-0.000757945,-0.001810684,-0.000169116,0.000102037,0.000517490,0.999999847,0,nan
16,17,sequential,0.053583809,0.010996347,0.029395117,0.000393400,0.000343068,0.000297078,0.999999820,0,nan
