id,frame_index,timestamp,tx,ty,tz,qx,qy,qz,qw,point_count
0,0,0.006001000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1
1,5,0.066001000,0.007898970,-0.024887470,-0.072263128,0.000002427,-0.000207182,-0.000013719,0.999999978,0
2,10,0.126001000,0.003509773,-0.017129895,-0.065057417,-0.000057923,-0.000133559,-0.000031208,0.999999989,0
3,15,0.186001000,0.013272833,-0.020184465,-0.034745091,-0.000033854,0.000037500,-0.000001505,0.999999999,0
4,20,0.246001000,0.020489094,0.005560441,-0.020747888,-0.000019697,0.000032918,-0.000020102,0.999999999,2
5,25,0.306001000,0.046856766,0.009393355,0.017351691,-0.000039260,0.000160824,0.000013955,0.999999986,2
6,30,0.366001000,0.053883107,0.014133416,-0.013956050,-0.000040019,-0.000091435,-0.000028880,0.999999995,1
7,36,0.438001000,0.064192406,0.015327308,-0.009407917,-0.000039590,0.000056584,0.000017076,0.999999997,2
8,41,0.498001000,0.059902645,0.016614151,-0.002065108,-0.000047379,0.000489243,0.000128042,0.999999871,2
9,47,0.570001000,0.062398622,0.014145396,0.001545847,-0.000057921,0.000392210,0.000092705,0.999999917,0
10,52,0.630001000,0.065429484,0.011949471,0.025293567,-0.000047772,0.000391588,0.000098834,0.999999917,1
11,57,0.690001000,0.074702500,0.014810882,0.016281761,-0.000056192,0.001078693,0.000299873,0.999999372,0
12,63,0.762001000,0.083345044,0.027232552,-0.020938148,-0.000053288,0.000374184,0.000103216,0.999999923,0
13,68,0.822001000,0.086757051,0.032502678,-0.018114801,-0.000045502,0.000473176,0.000143197,0.999999877,1
14,73,0.882001000,0.110241858,0.030397089,-0.022263911,-0.000047114,0.000978900,0.000272854,0.999999483,3
15,79,0.954001000,0.111367733,0.027386538,-0.017730436,-0.000032705,0.000673602,0.000204542,0.999999752,1
16,87,1.050001000,0.111367533,0.028307001,-0.025445355,-0.000039607,0.000961359,0.000289943,0.999999495,1
17,95,1.146001000,0.112198310,0.028305162,-0.021856676,-0.000046120,0.001187307,0.000353390,0.999999232,5
18,103,1.242001000,0.116675285,0.030087118,-0.027323078,-0.000043799,0.001365036,0.000397647,0.999998988,1
19,110,1.326001000,0.116606848,0.028408805,-0.026195953,-0.000051054,0.001173986,0.000349755,0.999999248,2
20,115,1.386001000,0.137681749,0.022165542,0.041434634,-0.000069788,0.000849199,0.000262664,0.999999602,3
21,122,1.470001000,0.145868155,0.035393545,0.040570905,-0.000056308,0.000992757,0.000310190,0.999999458,1
22,130,1.566001000,0.144991632,0.033671570,0.045777213,-0.000061366,0.001011456,0.000319244,0.999999436,1
23,138,1.662001000,0.155481641,0.028659689,0.081325698,-0.000067472,0.000886671,0.000286104,0.999999564,2
24,149,1.794001000,0.161612012,0.039667105,0.098753860,-0.000069765,0.000972160,0.000316503,0.999999475,1
25,154,1.854001000,0.186926695,0.022442949,0.048241665,-0.000067583,0.000890662,0.000288478,0.999999559,0
26,165,1.986001000,0.196908541,0.004793375,0.024889227,-0.000068547,0.001189672,0.000378295,0.999999218,0
27,172,2.070001000,0.196088939,-0.018557188,0.020166529,-0.000072776,0.001278327,0.000402749,0.999999099,0
28,191,2.298001000,0.169454187,0.003388460,0.029021475,-0.000065706,0.001087387,0.000355186,0.999999344,0
29,214,2.574001000,0.260131141,-0.026555108,0.069390548,-0.000062662,0.001069173,0.000347447,0.999999366,0
30,221,2.658001000,0.305738853,-0.098615795,0.132538826,-0.000061328,0.001083888,0.000351185,0.999999349,0
31,230,2.766001000,0.365612902,-0.122502748,0.221441640,-0.000056012,0.001087783,0.000349300,0.999999346,0
32,286,3.438001000,0.351286614,-0.111611634,0.093826565,-0.000053581,0.001173405,0.000370336,0.999999242,0
33,335,4.026001000,0.398435860,-0.093820749,0.049362386,-0.000051763,0.001149964,0.000367019,0.999999270,0
34,556,6.678001000,0.397152811,-0.099040925,0.101338376,-0.000047227,0.001018758,0.000352971,0.999999418,0
35,565,6.786001000,0.426832646,-0.074855171,0.051387705,-0.000051876,0.000912768,0.000338859,0.999999525,0
36,575,6.906001000,0.421484177,-0.075189098,0.060089054,-0.000057941,0.001001155,0.000382320,0.999999424,0
37,625,7.506001000,0.422124237,-0.075359670,0.060862725,-0.000065106,0.001535845,0.000378608,0.999998747,1
38,649,7.794001000,0.425710683,-0.073285004,0.045425300,-0.000307453,0.000745115,0.000153571,0.999999663,47
39,654,7.854001000,0.430276439,-0.071637494,0.046841921,-0.000538105,0.004363700,0.001346191,0.999989428,28
40,659,7.914001000,0.426787090,-0.067456983,0.061030672,-0.000053731,0.007443688,0.003054544,0.999967629,66
41,664,7.974001000,0.414197336,-0.072272737,0.056521123,-0.001652716,0.011398925,0.004392213,0.999924018,64
42,669,8.034001000,0.398442724,-0.088220252,0.081216834,-0.003082308,0.017317833,0.005982453,0.999827386,25
43,674,8.094001000,0.382615634,-0.099401881,0.113355465,-0.002086518,0.026266168,0.007999976,0.999620796,44
44,679,8.154001000,0.374519903,-0.102995456,0.143299536,-0.005029371,0.034888415,0.010473439,0.999323677,46
45,684,8.214001000,0.365196650,-0.127886168,0.169655744,-0.006659541,0.043395040,0.015902176,0.998909226,50
