id,anchor_keyframe_id,x_anchor,y_anchor,z_anchor,x_world,y_world,z_world,observation_count,last_seen_keyframe_id
15,0,-2.611079258,-1.711103381,7.945337540,-2.611079258,-1.711103381,7.945337540,2,4
80,4,0.824196369,-0.274839818,4.477313654,0.844969184,-0.269136136,4.456522320,2,5
95,5,2.211607854,-2.023562859,7.503970658,2.260934639,-2.013518561,7.520769455,2,7
105,6,-2.214750755,1.202742027,6.432144193,-2.161974353,1.217518199,6.417686741,2,8
134,7,-1.266983442,-0.387097861,9.182988610,-1.201738592,-0.371086690,9.173754640,2,10
149,8,-2.553763417,-0.738391626,5.119969975,-2.488660587,-0.721945506,5.120471121,2,13
223,14,3.832799214,-1.474277249,7.969758252,3.959440799,-1.441033473,7.940113211,2,16
224,14,-2.304812387,-1.285572901,6.586041519,-2.180970125,-1.255809048,6.568397826,2,17
228,14,0.385198348,-0.406972152,4.461445672,0.504396037,-0.375942056,4.438457171,2,17
236,15,0.355537114,-1.468575352,8.993892521,0.479621806,-1.440452485,8.975770574,2,17
291,17,-1.653910710,-0.500113974,3.035649146,-1.534145410,-0.472694900,3.017757058,2,18
292,17,-1.091076552,2.095201254,7.196859332,-0.963266460,2.123404728,7.177381750,3,20
314,19,-2.603771215,1.400548733,7.468682613,-2.470600435,1.427904887,7.448437848,2,23
344,20,0.195876360,-0.109274354,6.732873418,0.345050064,-0.086063170,6.773980796,2,21
347,20,-3.839436017,-1.652410057,7.666364972,-3.687859695,-1.631187322,7.714539401,2,22
390,23,2.922330701,-2.433511134,9.674439046,3.096355739,-2.401868777,9.750894196,2,24
505,37,-0.160450290,-0.951569971,3.839359633,0.274188604,-1.026546425,3.900819874,4,49
506,38,1.096326913,-0.906505533,3.139397663,1.526993297,-0.977522945,3.183742208,8,49
508,38,0.919280233,-0.969200365,3.377918387,1.350321535,-1.040125337,3.422565016,11,67
509,38,-0.118531356,-1.055724955,4.312656510,0.313930649,-1.126393196,4.358901786,14,67
512,38,1.724250408,-1.460107629,5.189940062,2.158141939,-1.529670978,5.233686419,4,49
513,38,0.363197537,-1.177071063,5.360502283,0.797257743,-1.246946971,5.406102854,9,65
514,38,1.008361428,-1.102764204,6.969418524,1.444795534,-1.171452568,7.014009825,5,70
515,38,0.713030512,-1.476636060,6.782213044,1.149301001,-1.545530066,6.827474539,2,43
516,38,0.530500523,-1.384926138,6.023727638,0.965612767,-1.454342715,6.069205775,7,51
517,38,0.007433446,-1.039236036,4.303407443,0.439876451,-1.109871338,4.349454868,5,51
518,38,1.022633461,-1.053817030,3.940253422,1.454538627,-1.124364374,3.984797304,13,70
519,38,0.608480761,-1.425205833,6.473969189,1.044276226,-1.494321526,6.519355284,3,44
522,38,1.393051594,-1.355373982,4.875968191,1.826443432,-1.425232063,4.920144173,13,67
523,38,0.951314395,-1.019150084,3.839425152,1.383058732,-1.089781331,3.884054143,14,68
528,38,-2.746254840,-1.940475574,8.036732681,-2.307968265,-2.009658675,8.087433115,3,46
529,38,0.314365280,-1.640300335,7.104564850,0.751166922,-1.709118276,7.150520666,5,44
533,38,2.248943312,-1.122426528,4.056973297,2.681042091,-1.192525969,4.099731599,22,81
534,38,-1.052479580,-0.689427308,2.866554613,-0.622284055,-0.761271609,2.913968500,2,40
536,38,1.110717988,-0.902404478,3.166794482,1.541423919,-0.973400625,3.211115023,6,49
537,38,-1.273308142,-0.944181741,4.149400888,-0.841122384,-1.015304582,4.197298806,2,40
538,38,-2.443585047,-1.625578370,6.584696076,-2.007559417,-1.695561920,6.634753761,6,48
542,38,0.421677391,-1.311486386,5.092600666,0.855379665,-1.381509123,5.138197053,6,55
543,38,-1.169660370,-0.672775309,2.899184988,-0.739421208,-0.744635479,2.946763234,2,40
545,38,-2.242735434,-1.540073458,6.416294378,-1.806987279,-1.610099021,6.466000393,3,41
549,38,-1.327611587,-0.791118307,2.985107304,-0.897207804,-0.862974036,3.032993580,2,39
550,38,-2.584278458,-1.862601451,7.925269385,-2.146182120,-1.931803459,7.975680699,3,46
551,38,0.591143553,-1.546719685,6.398629769,1.026864150,-1.615887010,6.444116492,5,47
552,38,0.828579370,-1.333432163,5.045683108,1.262218010,-1.403358965,5.090686629,11,63
553,38,1.212693378,-1.023036735,3.564239522,1.644028544,-1.093757098,3.608481721,6,49
554,38,-2.115994891,-1.550763101,6.743433022,-1.679756113,-1.620548558,6.792956298,3,42
555,38,-2.852014966,-2.079532959,8.827924472,-2.412506511,-2.148261772,8.878866971,2,41
556,38,1.680084928,-1.099420352,3.921785540,2.111975841,-1.169777416,3.965377660,20,78
557,38,-2.334561501,-1.562317738,6.869908918,-1.898130449,-1.632092422,6.919764867,4,50
559,38,0.291443962,-1.121730353,4.924056429,0.724836865,-1.191896753,4.969730486,12,69
560,38,-1.831281028,-1.186779337,5.470525198,-1.397051347,-1.257260572,5.519402079,2,41
561,38,0.599307185,-1.401033277,6.169549016,1.034641598,-1.470339049,6.214934320,5,52
562,38,0.071058975,-0.833886622,3.873780417,0.502798538,-0.904766739,3.919607353,3,43
563,38,1.126150544,-0.917946564,3.195491079,1.556903999,-0.988920322,3.239798137,6,49
564,38,0.927014096,-1.578924779,6.164905139,1.362395928,-1.648132863,6.209911405,8,69
565,38,1.267106548,-1.863469084,7.234577908,1.704169471,-1.931914807,7.279250839,4,51
567,38,0.943740412,-1.425660621,6.518184552,1.379601516,-1.494646297,6.563071224,6,71
568,38,0.982222801,-1.468014440,5.581991210,1.416701833,-1.537564189,5.626847781,4,66
571,38,1.042316107,-1.161319136,4.044156106,1.474409147,-1.231796504,4.088736598,14,69
573,38,1.160164414,-0.931060490,3.245288625,1.590996069,-1.001993182,3.289552987,5,49
580,38,1.363683246,-1.795364867,7.248970218,1.800746555,-1.863772135,7.293457337,3,47
581,38,0.901586556,-1.419652252,5.544435724,1.335994842,-1.489249844,5.589382790,7,63
582,38,-1.935735658,-0.892399211,3.863404022,-1.503991236,-0.963901146,3.912257714,2,41
584,38,0.903881291,-1.473555553,5.889798759,1.338820793,-1.542939984,5.934775090,9,71
585,39,1.474519722,-0.944893911,3.335090712,1.936384619,-1.008936026,3.369938756,13,78
586,39,-3.630574844,-1.685327655,7.480326243,-3.130329294,-1.758577600,7.560363305,2,43
