source_id,target_id,type,tx,ty,tz,qx,qy,qz,qw,inlier_count,reprojection_error_median
0,1,sequential,0.007898970,-0.024887470,-0.072263128,0.000002427,-0.000207182,-0.000013719,0.999999978,0,nan
1,2,sequential,-0.004386423,0.007757489,0.007207492,-0.000060354,0.000073622,-0.000017477,0.999999995,0,nan
2,3,sequential,0.009771347,-0.003057472,0.030309363,0.000024067,0.000171058,0.000029709,0.999999985,0,nan
3,4,sequential,0.007215134,0.025743980,0.013999488,0.000014158,-0.000004581,-0.000018597,1.000000000,0,nan
4,5,sequential,0.026365009,0.003832472,0.038101465,-0.000019566,0.000127905,0.000034059,0.999999991,0,nan
5,6,sequential,0.007036543,0.004742323,-0.031305107,-0.000000756,-0.000252257,-0.000042845,0.999999967,0,nan
6,7,sequential,0.010310062,0.001194124,0.004546343,0.000000429,0.000148017,0.000045962,0.999999988,0,nan
7,8,sequential,-0.004290548,0.001286408,0.007342426,-0.000007788,0.000432654,0.000110983,0.999999900,0,nan
8,9,sequential,0.002491810,-0.002469736,0.003613161,-0.000010537,-0.000097030,-0.000035347,0.999999995,0,nan
9,10,sequential,0.003011825,-0.002199237,0.023749835,0.000010146,-0.000000624,0.000006133,1.000000000,0,nan
10,11,sequential,0.009280637,0.002860438,-0.009004267,-0.000008430,0.000687096,0.000201068,0.999999744,0,nan
11,12,sequential,0.008730269,0.012420642,-0.037199773,0.000002904,-0.000704499,-0.000196693,0.999999732,0,nan
12,13,sequential,0.003410981,0.005269121,0.002826461,0.000007782,0.000098989,0.000039989,0.999999994,0,nan
13,14,sequential,0.023488119,-0.002111939,-0.004127075,-0.000001601,0.000505719,0.000129679,0.999999864,0,nan
14,15,sequential,0.001115354,-0.003011590,0.004535385,0.000014392,-0.000305299,-0.000068312,0.999999951,0,nan
15,16,sequential,0.000010571,0.000920965,-0.007714852,-0.000006900,0.000287756,0.000085406,0.999999955,0,nan
16,17,sequential,0.000823874,-0.000002603,0.003590269,-0.000006508,0.000225947,0.000063450,0.999999972,0,nan
17,18,sequential,0.004491201,0.001779290,-0.005455589,0.000002331,0.000177727,0.000044267,0.999999983,0,nan
18,19,sequential,-0.000072849,-0.001678355,0.001126785,-0.000007266,-0.000191045,-0.000047910,0.999999981,0,nan
19,20,sequential,0.020911674,-0.006264857,0.067679240,-0.000018745,-0.000324777,-0.000087129,0.999999943,0,nan
20,21,sequential,0.008194808,0.013223820,-0.000847972,0.000013477,0.000143551,0.000047547,0.999999988,0,nan
21,22,sequential,-0.000887927,-0.001722014,0.005204363,-0.000005061,0.000018700,0.000009050,1.000000000,0,nan
22,23,sequential,0.010414872,-0.005022920,0.035569014,-0.000006112,-0.000124781,-0.000033154,0.999999992,0,nan
23,24,sequential,0.006105751,0.011001563,0.017440497,-0.000002296,0.000085488,0.000030402,0.999999996,0,nan
24,25,sequential,0.025401944,-0.017233163,-0.050465294,0.000002183,-0.000081496,-0.000028029,0.999999996,0,nan
25,26,sequential,0.010013246,-0.017652187,-0.023337015,-0.000000957,0.000299004,0.000089837,0.999999951,0,nan
26,27,sequential,-0.000826025,-0.023349292,-0.004727857,-0.000004224,0.000088655,0.000024455,0.999999996,0,nan
27,28,sequential,-0.026639622,0.021965820,0.008790039,0.000007054,-0.000190940,-0.000047567,0.999999981,0,nan
28,29,sequential,0.090567654,-0.030013261,0.040562217,0.000003045,-0.000018214,-0.000007737,1.000000000,0,nan
29,30,sequential,0.045422496,-0.072100235,0.063236571,0.000001336,0.000014714,0.000003740,1.000000000,0,nan
30,31,sequential,0.059664395,-0.023939846,0.089029447,0.000005319,0.000003893,-0.000001879,1.000000000,0,nan
31,32,sequential,-0.014041004,0.010915320,-0.127644711,0.000002438,0.000085620,0.000021044,0.999999996,0,nan
32,33,sequential,0.047266629,0.017760678,-0.044351485,0.000001813,-0.000023441,-0.000003316,1.000000000,0,nan
33,34,sequential,-0.001406419,-0.005224570,0.051972357,0.000004504,-0.000131208,-0.000014050,0.999999991,0,nan
34,35,sequential,0.029798614,0.024169476,-0.049887794,-0.000004671,-0.000105988,-0.000014122,0.999999994,0,nan
35,36,sequential,-0.005364571,-0.000331200,0.008691536,-0.000006075,0.000088387,0.000043460,0.999999995,0,nan
36,37,sequential,0.000638380,-0.000171150,0.000774931,-0.000006957,0.000534693,-0.000003688,0.999999857,0,nan
37,38,sequential,0.003635418,0.002073941,-0.015426063,-0.000242300,-0.000790624,-0.000225461,0.999999633,0,nan
38,39,sequential,0.004564144,0.001645235,0.001424436,-0.000230988,0.003618260,0.001193562,0.999992715,0,nan
39,40,sequential,-0.003601818,0.004174800,0.014162303,0.000481049,0.003078479,0.001712136,0.999993680,0,nan
