timestamp,success,tx,ty,tz,qx,qy,qz,qw,track_count,pnp_point_count,pnp_inlier_count,reprojection_error_mean,reprojection_error_median,pnp_rotation_step_deg,imu_rotation_step_deg,pnp_imu_rotation_error_deg,imu_rotation_consistent,imu_rejected,message,pose_source,map_point_count,map_inlier_count,local_landmark_count,map_descriptor_match_count,map_message,new_feature_count,tracking_state,reference_keyframe_id,is_keyframe,loop_candidate_count,loop_candidate_id,loop_match_count,loop_accepted,relocalized,graph_cost_before,graph_cost_after,loop_pnp_point_count,loop_inlier_count,loop_inlier_ratio,loop_reprojection_error_median,loop_pnp_message
0.006001000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0,0,nan,nan,nan,nan,nan,0,0,initialized,initialization,0,0,0,0,,1000,TRACKING,0,1,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.018001000,1,0.016570068,0.013863001,-0.021931169,0.000019023,-0.000129326,-0.000008269,0.999999991,894,82,32,1.554329641,1.386963003,0.015009102,0.015009102,0.000011892,1,0,ok,vo_fallback,19,4,19,0,too few PnP inliers: 4,106,TRACKING,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.030001000,0,0.016570068,0.013863001,-0.021931169,0.000019023,-0.000129326,-0.000008269,0.999999991,739,89,14,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 14,none,16,0,19,0,fixed-rotation RANSAC failed,261,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.042001000,0,0.016570068,0.013863001,-0.021931169,0.000019023,-0.000129326,-0.000008269,0.999999991,787,120,29,nan,nan,nan,nan,nan,0,0,PnP inlier ratio too low: 0.242,none,12,0,19,0,not enough map correspondences,213,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.054001000,0,0.016570068,0.013863001,-0.021931169,0.000019023,-0.000129326,-0.000008269,0.999999991,788,98,28,nan,nan,nan,nan,nan,0,0,PnP inlier ratio too low: 0.286,none,9,0,19,0,not enough map correspondences,212,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.066001000,1,0.007898970,-0.024887470,-0.072263128,0.000002427,-0.000207182,-0.000013719,0.999999978,862,95,31,1.389059705,1.289973952,0.009143395,0.009143395,0.000011768,1,0,ok,vo_fallback,9,0,19,0,not enough map correspondences,138,TRACKING,1,1,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.078001000,0,0.007898970,-0.024887470,-0.072263128,0.000002427,-0.000207182,-0.000013719,0.999999978,765,85,17,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 17,none,23,8,35,0,too few PnP inliers: 8,235,LOST,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.090001000,0,0.007898970,-0.024887470,-0.072263128,0.000002427,-0.000207182,-0.000013719,0.999999978,920,133,43,1.374305504,1.361497317,0.013068709,0.013068709,0.000011706,1,0,translation step too large: 0.168,none,23,4,35,0,too few PnP inliers: 4,80,LOST,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.102001000,1,0.006800486,-0.021674237,-0.067375063,-0.000007086,0.000029578,0.000018427,0.999999999,836,72,52,1.121892964,0.891304818,0.027401345,0.027401345,0.000011953,1,0,ok,vo_fallback,19,3,35,0,too few PnP inliers: 3,164,TRACKING,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.114001000,0,0.006800486,-0.021674237,-0.067375063,-0.000007086,0.000029578,0.000018427,0.999999999,703,77,6,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 6,none,14,0,35,0,not enough map correspondences,297,LOST,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.126001000,1,0.003509773,-0.017129895,-0.065057417,-0.000057923,-0.000133559,-0.000031208,0.999999989,814,49,22,1.145828373,0.952086411,0.020390121,0.020390121,0.000011830,1,0,ok,vo_fallback,12,0,35,0,not enough map correspondences,186,TRACKING,2,1,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.138001000,1,0.002923195,-0.016969561,-0.062816571,-0.000025359,-0.000332210,-0.000083712,0.999999941,969,46,36,0.915720306,0.692722229,0.023839277,0.023839277,0.000011830,1,0,ok,vo_fallback,33,18,56,0,too few PnP inliers: 18,31,TRACKING,2,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.150001000,0,0.002923195,-0.016969561,-0.062816571,-0.000025359,-0.000332210,-0.000083712,0.999999941,662,46,11,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 11,none,26,0,56,0,fixed-rotation RANSAC failed,338,LOST,2,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.162001000,0,0.002923195,-0.016969561,-0.062816571,-0.000025359,-0.000332210,-0.000083712,0.999999941,885,99,20,nan,nan,nan,nan,nan,0,0,PnP inlier ratio too low: 0.202,none,24,0,56,0,fixed-rotation RANSAC failed,115,LOST,2,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.174001000,1,0.007910936,-0.012327597,-0.072416649,0.000014907,-0.000042101,-0.000044050,0.999999998,786,74,43,1.033242460,0.773124746,0.033869090,0.033869090,0.000011706,1,0,ok,vo_fallback,20,0,56,0,fixed-rotation RANSAC failed,214,TRACKING,2,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.186001000,1,0.013272833,-0.020184465,-0.034745091,-0.000033854,0.000037500,-0.000001505,0.999999999,755,80,31,1.110188060,0.942939729,0.011755565,0.011755565,0.000011830,1,0,ok,vo_fallback,16,0,56,0,fixed-rotation RANSAC failed,245,TRACKING,3,1,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.198001000,0,0.013272833,-0.020184465,-0.034745091,-0.000033854,0.000037500,-0.000001505,0.999999999,827,85,19,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 19,none,24,0,66,1,fixed-rotation RANSAC failed,173,LOST,3,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.210001000,1,0.009458404,-0.011669401,-0.038305419,-0.000006854,-0.000125267,-0.000032990,0.999999992,914,70,35,1.131196921,0.945873831,0.019247708,0.019247708,0.000011830,1,0,ok,vo_fallback,25,0,66,3,fixed-rotation RANSAC failed,86,TRACKING,3,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.222001000,0,0.009458404,-0.011669401,-0.038305419,-0.000006854,-0.000125267,-0.000032990,0.999999992,717,25,6,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 6,none,23,0,66,0,fixed-rotation RANSAC failed,283,LOST,3,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.234001000,0,0.009458404,-0.011669401,-0.038305419,-0.000006854,-0.000125267,-0.000032990,0.999999992,906,160,27,nan,nan,nan,nan,nan,0,0,PnP inlier ratio too low: 0.169,none,21,0,66,0,fixed-rotation RANSAC failed,94,LOST,3,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.246001000,1,0.020489094,0.005560441,-0.020747888,-0.000019697,0.000032918,-0.000020102,0.999999999,734,84,33,1.340553732,1.040315062,0.018246160,0.018246160,0.000011953,1,0,ok,vo_fallback,19,0,66,0,fixed-rotation RANSAC failed,266,TRACKING,4,1,0,-1,0,0,0,nan,nan,0,0,nan,nan,
