id,frame_index,timestamp,tx,ty,tz,qx,qy,qz,qw,point_count
0,0,0.006005000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0
1,236,2.838005000,0.003801675,-0.005331220,0.014269411,0.000009854,-0.000196198,-0.000044648,0.999999980,3
2,243,2.922005000,0.003852538,-0.004866146,0.009969352,0.000013535,-0.000321021,-0.000081664,0.999999945,4
3,251,3.018005000,-0.003428328,-0.004472664,0.020244963,-0.000004307,0.000101635,0.000755658,0.999999709,3
4,257,3.090005000,-0.002218871,-0.008171003,0.019663104,0.000022275,0.000292050,0.000798976,0.999999638,3
5,262,3.150005000,-0.003996374,-0.005495266,0.020514287,-0.000053230,0.000116169,0.001183629,0.999999291,2
6,271,3.258005000,-0.008260072,-0.000968985,0.001327580,-0.000068930,0.000357939,0.001284237,0.999999109,2
7,281,3.378005000,-0.007935140,-0.003576044,0.006053886,-0.000046591,-0.000456344,0.001193877,0.999999182,2
8,289,3.474005000,-0.009050467,-0.003546586,0.024138381,0.000312246,0.000326130,0.001412820,0.999998900,2
9,297,3.570005000,-0.011284947,-0.015693029,-0.000330251,-0.001615484,0.000398502,-0.000837291,0.999998265,0
10,307,3.690005000,-0.003273140,-0.009703959,0.022267210,-0.000349598,0.000237824,0.000536774,0.999999767,4
11,315,3.786005000,-0.003140639,-0.013533017,0.024878256,-0.000366771,0.000642071,0.000612891,0.999999539,11
12,323,3.882005000,-0.004631193,-0.009918928,0.022734123,-0.000377518,0.001049251,0.000649254,0.999999168,14
13,331,3.978005000,-0.003409754,-0.009614869,0.030197926,-0.000369379,0.001008494,0.000636670,0.999999221,7
14,338,4.062005000,-0.046122563,-0.067998154,0.045191706,-0.005861945,0.005561466,-0.004497006,0.999957241,2
15,343,4.122005000,-0.044524502,-0.066087955,0.047126750,-0.005817616,0.005572296,-0.004518083,0.999957345,5
16,348,4.182005000,-0.005985354,-0.005570417,-0.000865900,-0.000309301,-0.000586309,0.001410218,0.999998786,11
