id,anchor_keyframe_id,x_anchor,y_anchor,z_anchor,x_world,y_world,z_world,observation_count,last_seen_keyframe_id
17,1,-0.360133145,1.154952410,3.769624585,-0.357707502,1.149579120,3.783775173,2,5
31,1,0.282506869,-0.713958252,2.586647574,0.285229779,-0.719365629,2.601013557,2,4
35,1,-1.799785331,-1.272555995,4.432742496,-1.797836531,-1.277813773,4.446280237,2,2
49,2,-1.606154366,-2.252666169,8.088620518,-1.607862629,-2.257488475,8.097495888,2,3
98,2,1.827588474,-2.035488370,6.616340085,1.826860196,-2.040831756,6.627426249,2,7
99,2,-1.579194324,-2.251420895,7.913785160,-1.580790138,-2.256242882,7.922677909,2,3
130,3,1.990753808,-2.202979783,7.917956404,1.992261999,-2.204371847,7.937815169,2,4
184,4,-1.224002616,-2.207287835,7.354175017,-1.218396777,-2.217736123,7.374452390,2,7
191,5,2.468896488,-0.849293224,7.457847127,2.468635439,-0.848145620,7.477877422,2,10
214,6,2.016794481,-0.549144806,5.180356624,2.013645309,-0.544213073,5.180313894,2,8
230,6,-0.740177872,-0.335321155,3.652195472,-0.744960159,-0.337683272,3.654098007,2,8
384,10,-1.186535194,-0.645329419,6.323457312,-1.186109247,-0.651883506,6.346738126,2,11
389,10,2.068360868,-2.535212162,8.532076347,2.071863464,-2.536726129,8.555127880,3,13
392,10,-1.196288185,-2.119589616,7.289160643,-1.193820324,-2.125477499,7.313476174,2,12
417,11,-1.149906387,-0.892058021,3.224440665,-1.147812141,-0.904631319,3.251446214,2,12
431,11,-1.191564255,-0.857851893,3.107854171,-1.189661549,-0.870561882,3.134888295,2,16
434,11,-1.132159215,-0.955506643,3.197798435,-1.130021393,-0.968077694,3.224827707,2,12
439,11,1.900367420,-2.085839091,6.694299038,1.908374962,-2.092125623,6.718257189,2,12
444,11,1.961340329,-2.012962711,6.670513975,1.969227878,-2.019192073,6.694340427,2,12
445,11,1.943248321,-2.326186420,8.048517661,1.953288921,-2.331425723,8.072595362,2,12
446,11,-1.103038227,-0.894638157,3.133945191,-1.101057059,-0.907220478,3.160892523,2,12
448,11,1.826574591,-2.022390759,7.042881946,1.834951919,-2.028511800,7.066888017,2,12
451,11,-0.600249751,0.032861048,9.217870036,-0.591596842,0.025361455,9.243485208,2,13
467,12,-0.801726169,-0.414546426,5.058714146,-0.795203069,-0.421678900,5.083430936,3,32
471,12,0.184072803,-0.851367087,7.154383824,0.195557198,-0.855634622,7.177355440,2,13
476,12,1.249846237,-0.462073641,4.983167765,1.256266345,-0.466600847,5.003614333,2,16
492,12,-1.976019732,-1.892384124,6.546070337,-1.964452414,-1.899913797,6.574362066,2,13
494,12,-0.400516409,-0.309731456,4.168154328,-0.395999120,-0.317017009,4.191952202,2,13
497,12,-0.444796634,-0.252779586,4.351934287,-0.439967636,-0.259983655,4.375781724,2,13
544,13,1.845291004,-2.060471317,6.837546350,1.858289234,-2.062675578,6.865525250,2,15
553,14,-1.493662049,-1.491117356,6.926173887,-1.475543908,-1.464570115,7.004551114,2,17
558,14,-0.403807479,-0.753447333,6.229463877,-0.387000462,-0.744986383,6.287182795,2,17
582,15,0.445845700,-0.247808406,4.430938717,0.448664060,-0.266597246,4.475440918,2,20
585,15,-0.354619416,-0.234667908,2.352937511,-0.374867509,-0.270245813,2.406434266,2,17
593,15,-1.506238473,-0.957964496,5.091494171,-1.502193931,-0.951258979,5.165860509,3,21
597,15,-2.234069100,-1.511996741,5.233495044,-2.233329898,-1.496962405,5.322389635,2,17
622,16,0.603571941,-0.378253275,4.207117393,0.593713465,-0.379523994,4.207189641,3,33
631,16,-1.262358683,-0.953380675,3.434372717,-1.269679748,-0.960389147,3.432615975,2,17
632,16,-1.478761925,-0.237855542,4.389802687,-1.489220997,-0.244887977,4.387347729,2,20
635,16,-0.471458176,-0.289746292,2.722755277,-0.479819350,-0.294965592,2.721514272,2,17
636,16,-1.914155324,-2.561514005,8.949850817,-1.923410654,-2.566951600,8.948322940,2,17
637,16,-1.192921262,-0.771222306,2.961116602,-1.200200989,-0.778327643,2.959328654,2,17
644,16,-1.120367499,-0.865050558,3.024994808,-1.127457923,-0.871911435,3.023350017,2,17
646,16,-1.129434283,-0.928905134,3.224578902,-1.136578799,-0.935668187,3.222962917,2,17
649,16,-1.806837032,-2.352834458,8.213467367,-1.815817216,-2.358424510,8.211936453,2,17
684,17,-0.666744935,-0.782781369,4.379882776,-0.682978285,-0.788124481,4.375683309,2,18
730,17,-1.386884223,-2.119852276,7.325321487,-1.416124893,-2.125093086,7.317957838,2,18
758,17,-1.437049143,-1.718470672,6.358724845,-1.461966923,-1.724131813,6.350972138,2,18
762,18,1.709439655,-0.118742104,5.105222671,1.712437228,-0.133124003,5.143648587,2,19
811,19,2.790250533,-0.658458279,7.707171644,2.826477796,-0.666665160,7.736519235,2,20
819,19,-0.781201554,-0.405457892,3.680442249,-0.789133637,-0.428106017,3.748503147,3,24
823,19,-0.715706778,-1.150001353,5.906793769,-0.699240651,-1.164158680,5.976825688,2,20
824,19,2.209814078,-0.513960437,6.256953445,2.230106240,-0.527554247,6.292251929,2,22
828,19,1.090392128,-0.440864771,3.722149228,1.082798452,-0.463845386,3.769692333,4,28
831,19,-1.522111919,-1.040854830,3.799212765,-1.528828566,-1.062849926,3.877868726,2,21
862,20,-0.977516333,-0.440814714,4.099967609,-0.981449204,-0.459518585,4.149633266,3,30
863,20,-0.407513539,-0.266220021,2.523820234,-0.430059769,-0.291015548,2.566218140,2,21
866,20,-1.942470578,-1.204910995,4.442127081,-1.942353300,-1.222192404,4.506066834,4,25
868,20,-1.139634242,-0.667488868,8.408452208,-1.092766621,-0.669699918,8.460565319,2,21
872,20,-0.811945163,-0.372073657,8.108574868,-0.768616452,-0.375470312,8.155717314,3,31
873,20,0.609738361,-0.076601664,2.612926010,0.588184921,-0.101172456,2.642597071,2,23
874,20,-1.384420508,-2.322160983,8.385739744,-1.337915424,-2.324419199,8.447069143,2,21
883,20,0.202402663,0.050003699,3.688778808,0.193572269,0.029591231,3.722686069,5,42
884,20,-0.093212157,-0.072465847,3.378992258,-0.105683190,-0.094028554,3.416877408,3,38
898,20,-3.055585529,-1.880137306,6.431478151,-3.031978547,-1.889682404,6.510972583,2,21
900,21,1.944108630,-0.499272673,5.455627262,1.963346919,-0.513022833,5.458293963,2,22
910,21,0.555353296,-0.380474933,8.789467086,0.619637574,-0.379708101,8.809997206,4,34
917,21,-1.209427804,-0.359370219,4.979212136,-1.196285087,-0.374201241,5.023793951,3,26
918,21,2.177095685,-0.535539557,5.096706589,2.191471129,-0.550877184,5.096425620,5,35
920,21,-1.300823264,-1.300271234,5.284263093,-1.283790304,-1.313775961,5.334029537,2,26
923,21,0.116192763,-0.363954490,6.709705916,0.152515979,-0.371857108,6.736286233,4,38
928,21,-0.948835270,-1.069975420,5.335353172,-0.931091046,-1.083370543,5.379400026,2,24
949,21,0.211588124,-0.313993529,3.604173369,0.206097379,-0.335064722,3.629567043,2,26
952,21,-0.081148186,-0.221364856,2.395119391,-0.102870581,-0.247465605,2.424182732,2,26
956,21,-1.080323369,-0.294774909,4.472390957,-1.074001426,-0.311789248,4.515011418,3,26
958,21,0.377390101,-0.250232130,3.191202954,0.366338794,-0.273100434,3.214135350,2,25
962,21,-0.466820741,-0.144963003,6.359509176,-0.435107668,-0.154176234,6.393046870,5,33
963,21,-0.628433903,0.044611898,6.862047229,-0.589893817,0.037571225,6.896908074,8,43
967,21,0.274197929,-0.190717626,3.060195310,0.261406184,-0.214110137,3.084278138,2,23
972,21,-0.219311355,-0.228251498,4.319992786,-0.215103647,-0.246166845,4.350753813,2,26
974,21,1.275654627,-0.316408012,7.399898558,1.321177826,-0.321734982,7.410597455,3,31
976,21,-0.207192042,0.007364936,5.087082335,-0.192599737,-0.007310498,5.116606004,2,25
985,21,-1.038836305,-0.984634210,5.278314928,-1.021831491,-0.998244717,5.323217868,2,24
987,21,1.303636989,0.154650174,4.908303463,1.315720270,0.138768481,4.916879003,2,22
998,22,1.109733578,-0.526740966,5.362810099,1.129943948,-0.539476952,5.370070876,2,26
1001,22,0.195768127,0.015310311,2.372806344,0.176432102,-0.009165516,2.390329306,2,25
1005,22,0.748454025,-0.357209621,3.619413603,0.745578027,-0.376813623,3.630962306,3,27
1018,23,0.934166127,0.164876792,5.141506568,0.952735496,0.155779292,5.139789540,2,26
1021,23,1.556891789,-0.458185767,4.100444512,1.562317755,-0.471504100,4.093496357,4,32
1024,23,1.087211904,0.728456402,4.570025311,1.098671232,0.717062940,4.564203541,2,27
1028,23,-0.401498330,-0.412186382,4.925455163,-0.385586366,-0.421937717,4.942768450,2,26
1031,23,-1.994600201,-1.239874665,4.621970164,-1.982444949,-1.250586540,4.662539255,3,26
1033,23,-1.868159661,-1.187843334,4.239660392,-1.860795111,-1.200092188,4.278473026,3,26
1035,23,-1.610054552,-1.071378898,3.729041361,-1.609090859,-1.085694250,3.764204528,2,24
1038,23,-2.290096154,-1.349273706,4.711691359,-2.276805450,-1.359584450,4.756386218,4,30
1039,23,-1.617665644,-1.109282223,3.992965043,-1.613401179,-1.122548411,4.028351254,2,24
1041,23,-1.783163646,-1.122405105,3.952686911,-1.779391742,-1.135806392,3.990200427,5,30
1048,23,-1.176496047,-1.099232974,3.436825094,-1.179227230,-1.114772846,3.466696763,29,71
1051,23,-1.425987636,-1.011666596,3.629195837,-1.426282348,-1.026406254,3.661826311,2,24
1058,23,-1.543748748,-1.135219421,3.962898856,-1.539869043,-1.148615791,3.997465369,11,41
1065,23,-0.845406932,-1.031601552,4.055589672,-0.840411285,-1.044734974,4.080994791,2,26
