source_id,target_id,type,tx,ty,tz,qx,qy,qz,qw,inlier_count,reprojection_error_median
0,1,sequential,0.003797741,-0.005332114,0.014279731,-0.000000186,-0.000201280,-0.000052683,0.999999978,0,nan
1,2,sequential,0.000045204,0.000464100,-0.004289766,-0.000006363,-0.000129915,-0.000045048,0.999999991,0,nan
2,3,sequential,-0.007278258,0.000391678,0.010290594,-0.000027658,0.000417565,0.000829282,0.999999569,0,nan
3,4,sequential,0.001200046,-0.003701044,-0.000571329,0.000016692,0.000185307,0.000035284,0.999999982,0,nan
4,5,sequential,-0.001777665,0.002677727,0.000860340,-0.000085803,-0.000180902,0.000376591,0.999999909,0,nan
5,6,sequential,-0.004252451,0.004537517,-0.019176900,-0.000025487,0.000236637,0.000092564,0.999999967,0,nan
6,7,sequential,0.000310904,-0.002609411,0.004736484,0.000011271,-0.000819440,-0.000098452,0.999999659,0,nan
7,8,sequential,-0.001102681,0.000029538,0.018095820,0.000349810,0.000776927,0.000210774,0.999999615,0,nan
8,9,sequential,-0.002256805,-0.012156248,-0.024452204,-0.001936861,0.000069216,-0.002258794,0.999995571,0,nan
9,10,sequential,0.007979861,0.005928489,0.022633385,0.001255468,-0.000166934,0.001366265,0.999998265,0,nan
10,11,sequential,0.000123200,-0.003831902,0.002618727,-0.000026965,0.000399142,0.000068222,0.999999918,0,nan
11,12,sequential,-0.001487325,0.003616608,-0.002133101,-0.000020521,0.000402075,0.000028460,0.999999919,0,nan
12,13,sequential,0.001202197,0.000295973,0.007476858,-0.000001874,-0.000045837,-0.000020640,0.999999999,0,nan
13,14,sequential,-0.042821200,-0.058340727,0.014874687,-0.005494142,0.004553126,-0.005145527,0.999961303,0,nan
14,15,sequential,0.001555123,0.001900458,0.001985175,0.000034810,0.000005879,-0.000028862,0.999999999,0,nan
15,16,sequential,0.038512695,0.061416489,-0.046843631,0.005493159,-0.006173335,0.005914990,0.999948363,0,nan
16,17,sequential,0.010719139,-0.000500186,-0.000216622,0.000112219,-0.001934346,-0.000744282,0.999997846,0,nan
17,18,sequential,-0.053112713,-0.027277066,0.056940600,-0.001744850,0.007579007,-0.000851274,0.999969394,0,nan
18,19,sequential,0.000088026,-0.003556114,0.002547878,0.000001490,0.000444340,0.000046341,0.999999900,0,nan
19,20,sequential,-0.003583655,0.002499376,-0.021395524,-0.000012001,0.000373355,0.000068471,0.999999928,0,nan
20,21,sequential,-0.001502907,-0.001732612,-0.009511455,-0.000213790,0.000831531,-0.000096872,0.999999627,0,nan
21,22,sequential,0.003210658,0.002426970,-0.006800016,0.000122011,-0.000103597,0.000070086,0.999999985,0,nan
22,23,sequential,0.005185154,0.004531650,-0.009237584,-0.000010825,-0.000380520,-0.000014410,0.999999927,0,nan
23,24,sequential,-0.003234767,0.001900582,-0.014327648,-0.000175843,0.000022387,-0.000005693,0.999999984,0,nan
24,25,sequential,0.012078665,0.001475740,-0.036532560,-0.000217440,-0.000076399,-0.000175310,0.999999958,0,nan
