id,frame_index,timestamp,tx,ty,tz,qx,qy,qz,qw,point_count
0,0,0.006005000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0
1,236,2.838005000,0.001751254,0.000257309,0.016769170,0.000893197,-0.000568442,0.001387228,0.999998477,1
2,243,2.922005000,-0.001003327,0.005073737,0.016362282,0.001464542,-0.000918644,0.002257954,0.999995956,4
3,251,3.018005000,-0.008302085,0.005401288,0.026640447,0.001436434,-0.000502407,0.003087691,0.999994075,1
4,257,3.090005000,-0.001941837,0.003631133,0.003432784,0.000191100,-0.000661250,0.002175154,0.999997397,0
5,262,3.150005000,-0.008475425,0.006631144,0.027305552,0.001628437,-0.000585685,0.003646490,0.999991854,4
6,271,3.258005000,-0.006421249,0.006301116,0.022577032,0.000116694,0.000957714,-0.002343930,0.999996788,4
7,281,3.378005000,-0.008847960,0.007011968,0.014020097,0.000303828,0.000673286,-0.003178451,0.999994676,4
8,289,3.474005000,-0.012562746,0.007274850,0.028737271,0.001814579,-0.000354239,0.003533763,0.999992047,0
9,297,3.570005000,-0.009951964,0.008502486,0.008577605,0.000065614,0.000634966,-0.002941218,0.999995471,0
10,307,3.690005000,-0.007672565,0.004608259,0.029561502,0.001561699,-0.000537360,0.002932318,0.999994337,2
11,315,3.786005000,-0.005756161,0.003435342,0.029983575,0.001468666,-0.000724858,0.003212108,0.999993500,4
12,323,3.882005000,-0.003273162,0.000706726,0.033690523,0.001394167,-0.000648450,0.003133325,0.999993909,2
13,331,3.978005000,-0.003938972,-0.000070183,0.041807383,0.001351732,-0.000870230,0.004001336,0.999990702,5
14,338,4.062005000,-0.008033776,0.002397907,0.020447819,0.000841036,-0.000371010,0.002900577,0.999995371,1
15,343,4.122005000,-0.012123058,0.003013328,0.017719963,0.000738677,-0.000229215,0.003508871,0.999993545,6
16,353,4.242005000,-0.007210972,0.001166599,0.019296562,0.001855884,0.000067096,-0.000970668,0.999997804,0
17,364,4.374005000,-0.016651808,-0.012955941,0.024853246,-0.000543159,0.001467766,0.001154375,0.999998109,0
18,370,4.446005000,-0.018685460,-0.013634614,0.027405226,-0.000442556,0.001971455,0.001657658,0.999996585,5
19,377,4.530005000,-0.016565037,-0.007619877,0.033572768,0.000610732,0.002417538,0.000370573,0.999996823,2
20,389,4.674005000,-0.015446403,-0.015282606,0.049760686,0.000654557,0.002576591,0.001191383,0.999995757,3
21,394,4.734005000,-0.025040853,0.000166712,0.046476833,0.002075415,0.003765187,-0.000509195,0.999990628,1
22,399,4.794005000,-0.024443213,-0.004808313,0.035297890,0.001256037,0.004131520,-0.001082079,0.999990091,2
23,404,4.854005000,-0.028696737,-0.006561441,0.030190316,0.000918874,0.004038471,-0.000472613,0.999991311,2
24,418,5.022005000,-0.020309268,-0.006326363,-0.009215818,0.000115348,0.003771594,-0.001732094,0.999991381,1
25,423,5.082005000,-0.027379881,-0.007591570,-0.003638181,0.000108082,0.005162920,-0.002012930,0.999984640,1
26,429,5.154005000,-0.031002517,-0.004291480,0.002690035,-0.000017711,0.005554453,-0.001150342,0.999983912,3
27,435,5.226005000,-0.031993171,-0.005616314,-0.004206795,-0.000240543,0.006621832,-0.001820873,0.999976389,5
28,441,5.298005000,-0.033808096,-0.005427596,-0.003948987,0.000020631,0.006431709,-0.001657681,0.999977942,7
29,446,5.358005000,-0.031802654,-0.006345579,0.006916857,0.000071562,0.007314568,-0.001258001,0.999972454,19
30,451,5.418005000,-0.024400387,-0.004614571,0.015777475,-0.000117014,0.008936057,-0.001846555,0.999958361,17
31,456,5.478005000,-0.012685418,0.001352756,0.024645707,0.000169222,0.008313147,-0.001885194,0.999963654,18
32,461,5.538005000,0.000506010,-0.005267319,0.046724168,-0.000048271,0.008604562,-0.002484047,0.999959894,51
33,466,5.598005000,0.004146922,-0.007334884,0.050128932,-0.000459667,0.013000060,-0.001211175,0.999914656,66
34,471,5.658005000,0.005193247,-0.010516415,0.053215528,-0.001136399,0.017690168,-0.000552944,0.999842718,83
35,476,5.718005000,0.005448077,-0.012203814,0.056393168,-0.001643256,0.023351344,-0.000059102,0.999725968,52
36,481,5.778005000,0.004545482,-0.015978415,0.060924207,-0.001838838,0.027462750,0.003082357,0.999616384,67
37,486,5.838005000,0.002743730,-0.017835406,0.059624665,-0.002431230,0.031164703,0.004661208,0.999500437,52
38,491,5.898005000,0.001584417,-0.022730502,0.067847294,-0.002227493,0.035814673,0.004635959,0.999345213,59
39,496,5.958005000,-0.001889168,-0.019192879,0.083574728,-0.001231868,0.040964517,0.005156796,0.999146535,41
40,501,6.018005000,0.003966299,-0.007514336,0.080523506,-0.001461387,0.045049042,0.006376372,0.998963358,50
41,506,6.078005000,0.003988135,-0.008686757,0.091047623,-0.002211976,0.049377421,0.008253721,0.998743638,43
42,511,6.138005000,-0.000030815,-0.011992462,0.105659925,-0.004024593,0.053320780,0.011393749,0.998504321,38
43,516,6.198005000,-0.008283412,-0.035005264,0.189294449,-0.001968681,0.053336961,0.011233334,0.998511445,11
44,523,6.282005000,-0.005651375,-0.048244639,0.217717494,-0.001765047,0.053139255,0.010417647,0.998531210,22
45,528,6.342005000,-0.010618527,-0.074355160,0.287440933,0.006336178,0.051307213,0.009725962,0.998615456,26
46,535,6.426005000,-0.008823952,-0.073757585,0.366966076,0.023109156,0.047297538,0.009446981,0.998568808,8
47,540,6.486005000,-0.005678492,-0.092923883,0.405937281,0.030108162,0.046326643,0.005992504,0.998454521,9
48,550,6.606005000,-0.004573280,-0.088947967,0.408474250,0.039547382,0.043635884,0.012096506,0.998191158,13
49,556,6.678005000,-0.005222125,-0.091991170,0.426780688,0.053236727,0.040009859,0.011418153,0.997714733,17
50,562,6.750005000,-0.017894167,-0.101520621,0.502971644,0.080547195,0.033755887,0.009356850,0.996135101,10
51,572,6.870005000,-0.026105021,-0.082359163,0.560513354,0.095640557,0.035060347,0.006748253,0.994775410,21
52,577,6.930005000,-0.023397667,-0.084647595,0.574044134,0.100644636,0.035615226,0.006473370,0.994263702,17
53,582,6.990005000,-0.025779458,-0.086668294,0.605316129,0.118716747,0.038069234,0.002763743,0.992194250,20
54,587,7.050005000,-0.023353240,-0.108616799,0.611597307,0.123458871,0.038105241,0.000850489,0.991617454,35
55,594,7.134005000,-0.024546379,-0.163740232,0.609529313,0.119173394,0.039661363,-0.001865099,0.992079231,37
56,599,7.194005000,-0.030809378,-0.138583976,0.650661150,0.129113396,0.040617485,-0.000726071,0.990797368,53
57,604,7.254005000,-0.029669110,-0.092984575,0.706437626,0.141115600,0.040783587,0.000327116,0.989152657,44
58,610,7.326005000,-0.025889449,-0.048968152,0.754561282,0.153172559,0.040398366,0.000455732,0.987373248,43
59,615,7.386005000,-0.036763356,0.021929794,0.825091131,0.174015776,0.040760201,0.004266922,0.983889683,71
60,620,7.446005000,-0.040823986,0.012133401,0.842781347,0.195678744,0.040559492,0.004484031,0.979818682,144
61,625,7.506005000,-0.045380829,-0.020431817,0.845350501,0.214021391,0.040519462,0.004210229,0.975979145,252
62,630,7.566005000,-0.048851621,-0.047401624,0.845942829,0.226752183,0.039829315,0.005034929,0.973124721,292
