id,anchor_keyframe_id,x_anchor,y_anchor,z_anchor,x_world,y_world,z_world,observation_count,last_seen_keyframe_id
20,1,0.281689814,-0.709734957,2.581998298,0.282480615,-0.713309068,2.597815881,2,2
90,2,0.029503703,-0.583455378,7.472321114,0.017457089,-0.600157995,7.486986569,2,7
97,2,-0.487476025,0.191723330,9.140484829,-0.506073053,0.167783160,9.156454395,2,7
137,2,-3.054338039,-1.893273194,6.669506608,-3.058959801,-1.921519994,6.674659469,2,7
187,3,-2.200762994,-2.488076449,8.888201369,-2.202505782,-2.521766795,8.905429631,2,7
255,5,1.863201533,-2.068218329,7.182229978,1.861434901,-2.071358691,7.204970081,2,6
269,5,0.352477313,-0.831600677,2.982359179,0.346600660,-0.832098918,3.007359088,2,6
276,5,1.890401288,-2.150908068,7.512904038,1.888853710,-2.154925845,7.535405389,2,6
277,5,-1.178544894,-2.288781388,7.620124846,-1.179127310,-2.315520157,7.638545825,2,6
518,10,-2.165339520,-1.463641604,5.197342328,-2.169925516,-1.487945920,5.219961627,2,13
536,10,1.820411292,-2.079587560,6.942533280,1.817508167,-2.085966516,6.967541211,2,15
560,11,0.287147473,-0.718954989,2.594832455,0.282268045,-0.721291553,2.623112651,3,13
567,11,0.309296777,-0.716815290,2.585376069,0.304416739,-0.718981844,2.613694909,2,12
591,11,-3.015350892,-1.855426893,6.620621242,-3.018653616,-1.890787645,6.640728147,3,18
602,11,-1.230472659,-2.412622623,7.913594396,-1.232095613,-2.440310791,7.934664690,2,13
683,13,0.384605462,-0.793799431,2.703977180,0.382331047,-0.798093225,2.744303671,2,15
687,13,1.844839849,-2.047522452,6.806311259,1.845456950,-2.051208265,6.845793164,2,15
735,14,0.261283871,-0.713594278,2.592149020,0.255474954,-0.714033516,2.611588835,2,15
777,15,-2.961191696,-1.960129564,6.507102150,-2.962434571,-1.987469267,6.520548853,3,20
1000,18,2.019826622,-1.994914610,6.666488475,2.034007081,-1.995900523,6.687625017,2,20
1034,18,2.575530547,-2.162199514,7.399743221,2.593148597,-2.160689281,7.418828850,2,21
1061,18,-1.201718872,-2.272007975,7.545828573,-1.183110677,-2.282882983,7.579908327,2,19
1088,19,1.987968535,-2.072876510,6.632882890,2.004983293,-2.087104944,6.654226478,2,20
1354,22,2.224745569,-2.037964316,6.585937588,2.250191038,-2.064156080,6.597499586,2,23
1356,22,2.326445798,-2.044955787,6.827217534,2.353865383,-2.071974814,6.837912413,3,26
1478,24,-0.576858663,-0.312261283,2.998573307,-0.575612646,-0.317318866,2.993555689,2,25
1725,26,-0.039343748,0.022022654,0.878376075,-0.060535396,0.017841527,0.881447906,2,27
1743,26,-0.236760360,-0.156035422,1.489108417,-0.251564433,-0.159748025,1.494344184,3,28
1756,27,-0.179669942,-0.133214044,1.245332326,-0.195637396,-0.137605525,1.243462748,2,28
1781,27,0.362687933,-0.425922711,4.376157029,0.387069659,-0.430858370,4.366978236,2,28
1805,27,0.418180397,0.044834167,1.956419586,0.412222173,0.038587351,1.946480599,2,28
1830,28,0.902527465,-1.373691366,9.273410823,0.983369683,-1.382683692,9.257057822,2,29
1880,28,-0.621623583,-0.336667907,3.366539703,-0.613189053,-0.340243652,3.370301544,2,29
1922,28,1.549852094,-0.349257111,3.766098537,1.563192847,-0.360056287,3.741894939,2,29
2001,29,-1.041723508,-0.848025687,2.998340305,-1.031684475,-0.852233061,3.020069812,2,30
2002,29,-2.210485904,-1.789172614,6.366773275,-2.153411651,-1.790981777,6.405122653,2,30
2005,29,1.874386813,-2.123188158,6.893098812,1.937869704,-2.135354258,6.871592957,2,31
2006,29,-1.055154602,-0.828308731,3.008216482,-1.044919988,-0.832483985,3.030143873,2,30
2008,29,1.830217876,-2.220119106,7.609352827,1.903939420,-2.232289510,7.588404376,8,37
2016,29,2.133889776,-2.161654101,6.933662558,2.197840648,-2.174479251,6.908351318,12,41
2017,29,2.204834059,-2.030397745,6.509766645,2.262906501,-2.043333260,6.483479300,2,30
2018,29,1.799801253,-2.283335643,7.753254147,1.875472102,-2.295452595,7.732727374,2,30
2019,29,-3.053388863,-1.837680446,6.461976844,-2.994951149,-1.837385028,6.512640740,2,30
2020,29,2.487008171,-2.275379158,7.464322434,2.558396683,-2.289177713,7.433774482,2,30
2051,29,-1.213997293,-0.829886374,2.978460884,-1.204184431,-0.833657346,3.002714959,2,30
2055,29,-1.039086155,-0.902627092,2.979928212,-1.029454185,-0.906837951,3.001614298,2,30
2057,29,-1.693132532,-2.047241085,7.236576747,-1.624040862,-2.050491006,7.267232539,2,30
2075,29,-0.938341584,-0.658886624,5.474494738,-0.891615322,-0.663754549,5.494470480,3,35
2077,29,-3.032236030,-1.803783480,6.332981543,-2.975602343,-1.803520531,6.383354028,2,30
2125,29,-2.477616065,-1.404040218,4.760846572,-2.443035397,-1.404919408,4.803323667,2,30
2148,30,0.399407995,-0.815968561,2.784135597,0.421686989,-0.821493722,2.792548436,2,31
2161,30,0.234768603,-0.735295195,2.666209804,0.255265222,-0.740236263,2.677562199,5,35
2164,30,0.192890135,-0.821957413,2.999618500,0.219032484,-0.826676124,3.011689186,2,31
2247,31,-1.973367710,-2.694836653,9.417464481,-1.839368308,-2.689512405,9.472790301,5,38
2256,31,-1.568439814,-2.440104330,8.482102678,-1.449088575,-2.435961572,8.530903595,8,39
2262,31,2.169532568,-2.147604210,6.823351399,2.261867383,-2.156932760,6.810322748,10,40
2282,31,-3.157608718,-1.945039706,6.574395973,-3.067874346,-1.934207975,6.650034749,7,38
2284,31,-2.451813775,-1.427353003,4.864006807,-2.388664014,-1.418551559,4.928306283,6,36
2287,31,-2.614624954,-1.526009866,5.262089331,-2.545205629,-1.516741536,5.329010418,6,37
2299,31,-2.418854623,-1.289221674,4.591044540,-2.359726486,-1.280444456,4.654876188,3,33
2307,31,-2.462573870,-1.324892892,4.521756789,-2.404725881,-1.315925088,4.586313955,3,33
2311,31,-2.451249992,-1.330515134,4.613682580,-2.391896592,-1.321623944,4.678037034,3,33
2318,31,-2.509182809,-1.399476725,4.744065826,-2.447913558,-1.390414995,4.809344283,3,33
2319,31,1.967554976,-2.490882462,8.008594430,2.078328659,-2.499885890,7.998654619,2,32
2331,31,-2.482594529,-1.285244062,4.535159904,-2.424371205,-1.276206072,4.600060261,2,32
2339,31,-2.487484196,-1.403786161,4.756577402,-2.426026353,-1.394810775,4.821492038,2,33
2341,32,-1.105499424,-0.896465670,3.057448378,-1.056654245,-0.896064538,3.122868308,6,38
2342,32,-3.119507196,-1.856283984,6.459303622,-3.016564997,-1.845680964,6.559010926,7,38
2343,32,-2.476647171,-1.442718443,4.848538994,-2.399473014,-1.435401367,4.937364759,5,36
2344,32,-2.470155675,-1.304218711,4.546710829,-2.397488685,-1.296951835,4.635450290,2,33
2348,32,-0.578430509,-1.229540154,4.398980484,-0.508238296,-1.231681609,4.455178247,2,33
2349,32,2.561398717,-0.636692830,6.153873266,2.664231333,-0.654348159,6.155697797,2,33
2358,32,0.903059974,-1.531901312,5.144837980,0.984347900,-1.541360034,5.175473635,3,40
2359,32,-1.350997055,-0.898402646,3.217454616,-1.299368619,-0.896773072,3.287075693,8,39
2360,32,-1.894344443,-2.381683032,8.201814546,-1.764222172,-2.377067293,8.280254159,11,42
2361,32,1.988379332,-1.754942696,6.010298956,2.083278728,-1.769744765,6.022161133,7,39
2362,32,2.110145395,-2.039467225,6.683934612,2.215204382,-2.054834569,6.693641293,4,36
2365,32,1.827916771,-2.104204207,6.812184782,1.934906495,-2.118161537,6.826738133,5,36
2366,32,-1.106187232,-0.871069718,3.056802415,-1.057226915,-0.870665516,3.122230740,8,40
2367,32,1.963510516,-2.040108223,6.792780796,2.070462940,-2.054741115,6.804994769,7,39
2368,32,-2.206449354,-2.397379279,8.149062584,-2.077262771,-2.391215420,8.232882957,6,37
2372,32,0.365338871,-0.845078484,2.945622594,0.412278972,-0.851992193,2.985741456,4,36
2373,32,-0.498224937,-0.346078998,6.286533072,-0.391175106,-0.348528348,6.340948076,2,33
2374,32,-1.847539144,-1.179272132,4.238165531,-1.779661070,-1.175117005,4.316219173,6,39
2375,32,-2.009610383,-2.360650402,8.109778441,-1.880948971,-2.355467149,8.190212272,6,37
2378,32,1.866024830,-2.064630067,6.806693860,1.973110517,-2.078777529,6.820586741,6,37
2381,32,1.971993497,-2.098451690,6.800240205,2.078783131,-2.113125611,6.812315224,6,37
2386,32,0.284080399,-0.774063132,2.809419702,0.329042402,-0.780581293,2.850947153,4,38
2387,32,0.124055716,-0.180775978,1.593384850,0.151063939,-0.186571756,1.637763472,2,34
2388,32,1.903567059,-2.092200153,6.798961108,2.010376710,-2.106534228,6.812212940,6,37
2399,32,-2.151655557,-2.340655317,8.119824099,-2.022699169,-2.334765986,8.202697998,4,36
2400,32,-0.548873628,-1.268757222,4.503725995,-0.477078418,-1.271039419,4.559405089,6,37
2401,32,1.903136521,-2.474076415,8.451206601,2.036482390,-2.488314761,8.464274365,5,37
2404,32,-1.615027581,-1.483882240,5.183494167,-1.532431973,-1.480827790,5.257449147,3,37
2405,32,-2.512943497,-1.463804639,4.840750533,-2.436002283,-1.456307375,4.930204982,2,33
2407,32,-1.052092448,-0.318360258,5.584888086,-0.956890466,-0.318095676,5.648934189,2,34
2408,32,0.372405913,-0.863201959,2.917392525,0.418769058,-0.870152077,2.957396481,6,38
2414,32,0.208544999,-0.756763585,6.214197022,0.312196747,-0.762723501,6.256517707,3,36
2419,32,-2.456849760,-1.411886866,4.965809163,-2.377507572,-1.404662231,5.054272590,6,37
2420,32,2.165991139,-0.418514287,5.536373612,2.259344542,-0.434240852,5.545063444,2,33
2425,32,1.851758697,-2.434833677,8.035637352,1.978156333,-2.448839579,8.049645309,3,37
2430,32,0.324866695,-1.443113742,7.228432138,0.442544278,-1.449588600,7.268696546,2,36
2434,32,0.434544951,-0.148234469,3.498928347,0.494456877,-0.155470885,3.537677302,2,33
2440,32,2.153759919,-0.409555462,5.505682849,2.246631636,-0.425223015,5.514586455,4,35
2451,32,1.422032550,-0.987336554,6.045338402,1.521438530,-0.999332193,6.066834278,2,34
2456,33,-3.102696465,-1.781712219,6.175640029,-2.941225431,-1.776006357,6.306033062,4,38
2459,33,0.362707593,-0.862262270,2.907331984,0.440240405,-0.867896100,2.947867560,4,38
2460,33,0.278569668,-0.492571219,2.385594774,0.343457538,-0.498464670,2.428142753,2,34
2462,33,0.340286008,-0.886957939,2.946895256,0.418795549,-0.892501988,2.988023811,2,34
2463,33,-3.202189736,-1.878874153,6.333617450,-3.036811702,-1.872785543,6.466635901,4,37
2464,33,0.196742519,-0.784388355,2.681859193,0.268657534,-0.789818638,2.726711595,2,34
2469,33,-2.492366213,-1.393014749,4.683046087,-2.368972399,-1.390120864,4.797708074,3,35
2470,33,-0.038148429,-0.868650187,2.949187239,0.040593848,-0.873271117,3.000135693,3,43
2471,33,-1.905533803,-1.179066451,4.154492304,-1.795566284,-1.178070921,4.253873999,3,39
2476,33,-0.010785833,-0.996247873,3.577207746,0.083967495,-1.000377444,3.627353634,4,40
2478,33,0.291230388,-0.553246531,2.508107180,0.359152904,-0.559061833,2.550342246,2,34
2479,33,0.119938797,-0.790425342,2.848445841,0.196196536,-0.795520768,2.895244256,4,38
2480,33,2.062272781,-2.024446944,6.630492657,2.233223569,-2.030908488,6.626689926,9,41
2481,33,0.155515275,-0.803605123,2.910449560,0.233341155,-0.808732057,2.956314648,5,39
2483,33,-1.347744082,-0.866324438,3.066317843,-1.265504429,-0.867653712,3.151269725,9,41
2493,33,-1.455327104,0.480571334,3.109931714,-1.368670578,0.479538125,3.196385094,2,34
2498,33,0.444184713,-0.771248753,5.237319428,0.582486483,-0.775012733,5.274861802,3,35
2501,33,0.363295766,-0.813893725,5.390020978,0.505492422,-0.817325108,5.429655071,2,34
2504,33,-2.080748247,-2.396887330,8.085029016,-1.871466090,-2.391971836,8.188793366,10,42
2505,33,0.209335921,-0.744343865,2.686179225,0.281455474,-0.749801101,2.730664705,6,38
2508,33,0.355872420,-0.904234082,2.927936169,0.433842090,-0.909832842,2.968682369,2,34
2510,33,-2.043094898,-2.373651717,8.172862344,-1.831485996,-2.368749977,8.275596012,5,38
2525,33,0.322010155,-0.893363034,2.895044354,0.399162417,-0.898908607,2.936671660,2,34
2528,34,-1.172048129,-0.865660446,2.981609512,-1.061565468,-0.868113821,3.076394755,3,37
2529,34,-2.143180294,-2.628046060,8.965550757,-1.822278992,-2.615899877,9.094967044,4,38
2532,34,-1.196525702,-0.901726454,3.022479532,-1.084620315,-0.904059589,3.118187612,3,38
2533,34,1.884086971,-1.821842965,5.949600048,2.096631870,-1.821108854,5.936605346,2,36
2538,34,0.398517312,-0.871082268,2.969905791,0.507596212,-0.875361736,3.009154398,2,38
2539,34,-1.182621329,-0.917578690,3.028505409,-1.070528373,-0.919914132,3.123754188,5,38
2544,34,-1.275006836,-0.891595711,3.014870530,-1.163310663,-0.893856087,3.113336325,5,40
2548,34,-0.017429060,-1.149668641,3.930602137,0.125599213,-1.151306246,3.984598985,3,40
2549,34,0.470236886,-0.713281752,5.646596288,0.674129668,-0.711613653,5.681264031,2,35
2553,34,1.658824914,-2.258745905,7.815128155,1.937040389,-2.253549459,7.809930724,4,37
2556,34,-2.266271840,-2.178855771,7.610901352,-1.992736919,-2.169621830,7.744493626,3,37
2557,34,1.525945421,-0.350226305,4.862852854,1.701837916,-0.351534801,4.859836909,2,35
2559,34,0.287573235,-0.836178464,2.866525135,0.393101634,-0.840563814,2.909683196,5,38
2560,34,-1.185355677,-0.852294953,3.026766614,-1.073252959,-0.854631387,3.121963579,5,39
2561,34,-0.825797273,-0.159656061,4.244979867,-0.670086260,-0.159662248,4.325104850,2,35
2564,34,1.801481178,-1.942075346,6.754095657,2.042409580,-1.939433761,6.743792986,3,37
2565,34,-1.726056357,0.616172808,3.552780332,-1.593441952,0.615636327,3.663407463,2,35
2566,34,-1.195048167,-0.946334213,3.135507401,-1.079192759,-0.948414261,3.231194421,4,39
2567,34,1.646399668,-2.201478708,7.550657515,1.915328025,-2.196864027,7.545934563,4,37
2568,34,0.201497042,-0.773535071,2.739716891,0.302660144,-0.778107668,2.785855885,6,39
2572,34,0.110886147,-0.838526812,2.945478964,0.219315811,-0.842531812,2.994842830,4,38
2574,34,1.619545473,-0.669678963,5.045653755,1.801505718,-0.670681869,5.039944150,2,35
2579,34,-1.896847681,-2.527935962,8.548077670,-1.590762576,-2.517012893,8.668813222,6,40
2581,34,0.564441898,-1.215131337,4.379636367,0.722920928,-1.216423891,4.412918232,2,38
2582,34,0.480977301,-1.097517255,3.744944289,0.617181055,-1.100144425,3.781307901,3,40
2589,34,0.220514851,-0.770456351,2.780547014,0.323113726,-0.774958765,2.825980565,3,36
2590,34,-1.671183781,0.567791455,3.724028642,-1.532597220,0.567578051,3.832718003,2,35
2599,35,-1.714315949,-0.855608974,3.701096798,-1.534229204,-0.855323860,3.836288120,2,37
2600,35,1.364259680,-1.048971875,6.221940281,1.658679383,-1.041010224,6.211266924,2,36
2606,35,1.605578428,-2.411095942,8.256868632,1.994689499,-2.396493594,8.237177124,3,37
2617,36,-1.347054759,-0.919063904,3.037208444,-1.167973589,-0.931503830,3.170728439,3,39
2618,36,-1.337653178,-0.882667793,3.018694081,-1.159830640,-0.895122867,3.151598194,2,38
2620,36,-1.995968193,-1.536396556,5.237869952,-1.691228178,-1.544291081,5.405856118,3,40
2621,36,-1.290587705,-0.890736558,3.020999434,-1.112659969,-0.902897279,3.151343715,2,38
2630,36,-1.869823685,-2.350199139,7.967050315,-1.410366059,-2.346812850,8.126827969,7,42
2634,36,0.081262019,-0.831461887,2.932474820,0.251863733,-0.835649301,2.987409178,2,38
2639,36,0.099930825,-0.747298358,2.692372295,0.256796908,-0.752298111,2.746350078,2,38
2647,36,-2.328872134,-2.551255962,8.716537254,-1.826312408,-2.547764747,8.901093406,5,41
2655,37,1.787219199,-2.168199338,6.887368057,2.235859964,-2.134059036,6.832059162,4,41
2669,37,-1.416807103,-0.840314622,2.987450595,-1.217247212,-0.855703301,3.133373447,4,40
2682,37,-0.791684373,-1.288824524,4.484015478,-0.495919378,-1.290750248,4.590104828,2,38
2698,38,1.337260362,-2.250068881,7.638093928,1.903160194,-2.223961148,7.599789096,5,42
2700,38,-2.087626727,-2.345679889,8.090633852,-1.479507797,-2.348590111,8.296790030,2,39
2702,38,1.517226632,-2.027668873,6.799795863,2.020570726,-2.003944615,6.749847474,2,39
2703,38,1.456484754,-2.138898286,6.902919734,1.968415396,-2.115227919,6.857513341,3,40
2711,38,1.781726146,-1.986377596,6.541974119,2.265540956,-1.961480368,6.473580596,2,40
2725,38,-2.352707348,-2.531567815,8.704393850,-1.698223158,-2.533945791,8.928715860,2,39
2743,38,1.572496902,-2.031708721,6.911354275,2.083718228,-2.006947232,6.857177711,3,40
2746,38,1.483711643,-2.785183986,9.169963131,2.163896454,-2.750385638,9.119431576,2,39
2748,38,1.482111487,-2.089553970,6.839188081,1.988949444,-2.065957750,6.791907565,2,39
2751,38,1.341540626,-2.104497282,7.285461517,1.880822216,-2.080045317,7.247158586,2,39
2754,38,-2.499176633,-2.370103777,7.910936992,-1.902613454,-2.377620095,8.147124818,3,40
2757,39,-1.302550736,-0.880933975,2.959050138,-1.048644664,-0.904834109,3.141123313,2,40
2758,39,1.304817716,-2.504667690,8.456669267,2.016690780,-2.486015492,8.410115773,4,42
2788,39,-2.711961082,-2.355569559,8.009430170,-2.024549723,-2.379202298,8.292935990,4,42
2789,39,0.514370524,-1.545055941,5.259060462,0.957240282,-1.543745608,5.286006997,2,40
2796,39,-2.775558045,-2.308378911,7.965874943,-2.091985752,-2.332788856,8.254637645,4,42
2798,39,-2.529489727,-2.313570031,7.920925975,-1.850381265,-2.335598476,8.189704195,4,42
2801,39,-2.625688715,-2.461854016,8.448855357,-1.901500153,-2.483333111,8.724038506,3,41
2808,39,-2.581376766,-2.318315348,7.881863655,-1.905239135,-2.340985634,8.155030857,4,42
2816,39,0.085815785,-0.696724646,3.572535635,0.383283156,-0.704699066,3.638504262,2,40
2821,39,-2.037028594,-2.411699436,8.242354178,-1.332270265,-2.427770318,8.469934064,3,41
2825,40,0.485866338,-1.491550456,5.044736113,0.960974979,-1.475183864,5.064521084,3,42
2831,40,0.209644645,-0.870837576,3.132359289,0.505820337,-0.864688983,3.183325116,2,42
2840,40,-0.317179633,-0.154564951,4.994146434,0.139492776,-0.148614248,5.083294263,2,41
2846,40,0.012328333,-0.741186655,2.637005191,0.263077223,-0.739267781,2.707442699,3,42
2850,40,0.031632581,-0.811162384,2.801261288,0.297982977,-0.808420186,2.869457684,4,43
2852,40,-0.153574663,-0.772769440,2.712249355,0.105038524,-0.772676623,2.797390346,2,43
2855,40,0.301285174,-1.142420987,3.756533041,0.656743992,-1.132912744,3.797349930,3,42
2856,40,0.265977493,-0.934022187,3.245928413,0.572952857,-0.926761112,3.291509710,3,42
2862,40,1.228469713,-2.529296275,8.340667557,2.010448739,-2.491961441,8.282642963,3,42
2863,40,-1.487149298,-0.802501678,2.843761933,-1.210797928,-0.818760295,3.048491123,2,41
2870,40,0.470683565,-1.463846176,5.054319613,0.946360860,-1.447639890,5.075367475,3,42
2879,40,-1.902716880,-1.446040427,4.976344671,-1.424459193,-1.460031618,5.211328987,2,41
2882,40,0.152386412,-0.847698480,2.817514815,0.420169724,-0.843373914,2.874860197,3,42
2887,40,1.203621022,-2.195418276,7.475194731,1.903525038,-2.161449480,7.422140578,3,42
2889,40,1.239079927,-2.802508786,9.103608975,2.093185680,-2.762350893,9.042170054,2,41
2893,40,-2.097865869,-2.402469409,7.883179512,-1.344915273,-2.408681963,8.126164078,2,41
2896,40,-0.004130437,-0.909228779,3.025192631,0.283780952,-0.906146612,3.095928666,3,43
2911,41,0.484688068,-1.529537657,5.146096722,1.019173426,-1.503183975,5.169688812,2,42
2914,41,-2.244505386,-2.220591594,7.539942448,-1.448776332,-2.226008056,7.823610279,2,42
2918,41,-0.064656716,-0.852790097,2.877432495,0.237599809,-0.847345157,2.963873214,3,43
2919,41,-3.004636352,-2.427776143,8.074299214,-2.148951580,-2.442731806,8.431102759,2,42
2921,41,0.019544274,-0.853515651,2.880627329,0.321705854,-0.846684081,2.958747170,3,43
2924,41,0.235428073,-1.282434872,4.297773192,0.683395133,-1.264611994,4.349213650,2,42
2926,41,-0.079090270,-0.864184623,2.967893479,0.232347884,-0.858499401,3.055357379,3,43
2928,41,0.022388543,-0.753574925,2.644101590,0.299546262,-0.747949534,2.722736353,2,42
2930,41,-0.087193225,-0.817408506,2.869650140,0.213817914,-0.812376091,2.958225009,2,42
2938,41,0.104474266,-0.842235793,2.835070881,0.401530098,-0.834262627,2.904992855,2,42
2940,41,1.504818402,-2.010969491,6.647710795,2.190283261,-1.960091077,6.565047185,2,42
2948,41,0.408059875,-1.529676997,5.071529701,0.935579780,-1.504960148,5.103047327,2,42
2976,42,0.011142714,0.168654097,1.910820951,0.210428712,0.174540421,2.003215548,3,45
2981,42,0.670415349,-0.007013775,2.340464713,0.915563802,0.017616749,2.361339600,2,43
2988,42,-0.965506312,-1.282821996,4.275171422,-0.475220241,-1.276439303,4.468032513,2,43
2991,42,-0.061454015,-0.042845956,2.477749251,0.203482454,-0.033273203,2.576081590,3,45
2995,42,0.729044299,-0.030142834,3.046675574,1.049514364,0.002337291,3.057421400,2,44
3004,42,1.974243571,-0.628867580,9.162968293,2.951904387,-0.511825373,9.010116432,2,45
3009,42,0.576982002,0.117688388,1.896624249,0.772574732,0.136090169,1.929144098,2,45
3017,43,0.566547059,0.036377584,2.306743717,0.799674581,0.025786503,2.422425372,3,45
3018,43,-1.094576663,0.931795983,5.695685221,-0.511030188,0.901441078,5.966619599,2,44
3086,44,-0.824469328,1.135975811,4.173313289,-0.406403646,1.089810481,4.452214239,2,45
