source_id,target_id,type,tx,ty,tz,qx,qy,qz,qw,inlier_count,reprojection_error_median
0,1,sequential,0.001751232,0.000258397,0.016769263,0.000891937,-0.000568393,0.001387349,0.999998478,0,nan
1,2,sequential,-0.002741692,0.004824410,-0.000412283,0.000570095,-0.000350165,0.000870840,0.999999397,0,nan
2,3,sequential,-0.007278258,0.000391678,0.010290594,-0.000027658,0.000417565,0.000829282,0.999999569,0,nan
3,4,sequential,0.006325655,-0.001874910,-0.023208710,-0.001247548,-0.000156252,-0.000911564,0.999998794,0,nan
4,5,sequential,-0.006488897,0.003038552,0.023880318,0.001437217,0.000072769,0.001470508,0.999997883,0,nan
5,6,sequential,0.002046104,-0.000359291,-0.004729710,-0.001510878,0.001539194,-0.005991892,0.999979722,0,nan
6,7,sequential,-0.002413647,0.000698600,-0.008561646,0.000187335,-0.000284045,-0.000834186,0.999999594,0,nan
7,8,sequential,-0.003736256,0.000249233,0.014712090,0.001508235,-0.001020631,0.006713628,0.999975805,0,nan
8,9,sequential,0.002604832,0.001137124,-0.020165720,-0.001749023,0.000983675,-0.006475990,0.999977017,0,nan
9,10,sequential,0.002275576,-0.003876983,0.020987385,0.001494542,-0.001167489,0.005874660,0.999980946,0,nan
10,11,sequential,0.001909930,-0.001181722,0.000423778,-0.000094687,-0.000186734,0.000280260,0.999999939,0,nan
11,12,sequential,0.002470809,-0.002732538,0.003711460,-0.000075564,0.000076585,-0.000078717,0.999999991,0,nan
12,13,sequential,-0.000660088,-0.000749022,0.008119929,-0.000043813,-0.000220383,0.000868479,0.999999598,0,nan
13,14,sequential,-0.004112349,0.002444282,-0.021358981,-0.000510920,0.000499828,-0.001100868,0.999999139,0,nan
14,15,sequential,-0.004087703,0.000635649,-0.002725794,-0.000102984,0.000142653,0.000608346,0.999999799,0,nan
15,16,sequential,0.004899713,-0.001877731,0.001577183,0.001115946,0.000289128,-0.004479872,0.999989301,0,nan
16,17,sequential,-0.009414204,-0.014119024,0.005607912,-0.002401801,0.001402324,0.002122409,0.999993880,0,nan
17,18,sequential,-0.002042726,-0.000675639,0.002545343,0.000099186,0.000503346,0.000503836,0.999999741,0,nan
18,19,sequential,0.002115969,0.006003346,0.006181295,0.001055305,0.000444950,-0.001284679,0.999998519,0,nan
19,20,sequential,0.001034626,-0.007642648,0.016202553,0.000040655,0.000159585,0.000820942,0.999999649,0,nan
20,21,sequential,-0.009540544,0.015468867,-0.003353311,0.001425405,0.001185842,-0.001697552,0.999996840,0,nan
21,22,sequential,0.000686782,-0.005019625,-0.011153283,-0.000818653,0.000364766,-0.000576597,0.999999432,0,nan
22,23,sequential,-0.004207409,-0.001774059,-0.005138016,-0.000340835,-0.000092613,0.000608314,0.999999753,0,nan
23,24,sequential,0.008705252,0.000171894,-0.039337393,-0.000799584,-0.000268374,-0.001262346,0.999998848,0,nan
24,25,sequential,-0.007108097,-0.001287394,0.005524543,-0.000009889,0.001391331,-0.000280905,0.999998993,0,nan
25,26,sequential,-0.003701075,0.003287802,0.006289782,-0.000132302,0.000391407,0.000862009,0.999999543,0,nan
