id,anchor_keyframe_id,x_anchor,y_anchor,z_anchor,x_world,y_world,z_world,observation_count,last_seen_keyframe_id
19,1,-0.990392701,-0.371895712,4.565841129,-0.992634698,-0.373573763,4.565337065,2,3
46,1,0.269200262,-0.706712131,2.611766311,0.268269196,-0.705879104,2.611679113,2,4
80,2,-1.924549690,-1.324176661,4.649425199,-1.926439534,-1.329266815,4.648821648,2,3
113,2,1.802423578,-2.005785235,6.513321722,1.799825170,-2.005302036,6.516161459,2,7
117,3,-1.190520359,-0.983340049,3.227544009,-1.193521189,-0.979357423,3.224950829,2,5
123,3,-1.207083406,-0.550412823,5.810296394,-1.215432661,-0.553725829,5.808875718,3,8
134,3,-1.551229073,-0.745382616,7.625364712,-1.562089554,-0.754647563,7.622816708,2,6
137,3,0.317902371,-0.645842242,8.557383396,0.305244925,-0.653068222,8.558211303,2,5
200,4,-1.207250858,-2.189149729,7.261537232,-1.201094444,-2.204254173,7.283319108,2,7
207,5,2.153282521,-0.614239759,5.829449389,2.150206646,-0.607045333,5.851893099,2,6
243,5,-2.064929800,-1.353149817,5.093470806,-2.066050284,-1.370111788,5.129484054,2,6
264,6,-1.873411381,-0.415324728,7.456768186,-1.874726337,-0.443734869,7.492066961,2,11
287,6,2.949310969,-0.382224212,8.117613834,2.950123996,-0.380041468,8.134893449,2,8
318,7,-0.658568007,-0.208324941,3.114799903,-0.687742986,-0.202841895,3.140064010,2,12
352,8,0.008409010,-0.487984476,8.537746231,0.002016151,-0.524396856,8.565469892,2,12
356,8,-1.151607349,-0.880374594,3.264842497,-1.170787365,-0.879527283,3.292753701,2,9
360,8,1.723964294,0.126745394,5.602571192,1.703066471,0.131720745,5.630812714,2,13
373,8,-1.118414638,-0.963975486,3.195180502,-1.137079966,-0.962204147,3.222241247,2,9
378,8,1.901090484,-2.091918659,6.705631085,1.902989163,-2.095131238,6.713284956,2,9
383,8,1.962429771,-2.016063788,6.671765977,1.963558025,-2.018439841,6.679920938,2,9
384,8,1.863416324,-2.337996752,7.070228337,1.868593304,-2.344798175,7.075760158,2,9
385,8,-1.038825110,-0.827114297,3.056675466,-1.059117953,-0.823410428,3.084737243,2,9
387,8,1.999584564,-2.462040936,8.289388584,2.009601801,-2.478598563,8.293337473,2,10
388,8,1.883264410,-2.194101667,6.712322176,1.886078028,-2.197522707,6.719107970,2,9
407,9,-1.008091943,-0.543167397,7.261851019,-1.010928355,-0.572308720,7.295495174,3,25
411,9,-0.200402089,-1.049174310,8.910247343,-0.192969409,-1.085154336,8.936698657,2,10
432,9,-2.436327397,-2.332759636,8.080956905,-2.423386065,-2.377902217,8.106806881,2,10
434,9,-0.389557073,-0.301691892,4.071699233,-0.407245817,-0.302434584,4.104774320,2,10
438,9,-0.415735930,-0.232142967,4.039597126,-0.434036315,-0.232828061,4.073307958,2,10
580,12,-1.279218513,-0.908650266,3.254660980,-1.297020054,-0.896435059,3.292411948,2,16
632,13,-0.531435511,-0.198004987,2.445894969,-0.550707686,-0.170727766,2.493438782,2,17
637,13,2.431224947,-0.603901468,7.258770848,2.417534822,-0.623166388,7.298719094,2,15
641,13,0.713826892,-1.085812230,6.772992715,0.703685728,-1.111356657,6.806717061,4,21
644,13,-1.433994280,-1.083093630,3.472089313,-1.445815038,-1.077582594,3.507078866,2,14
658,13,-2.686744643,-1.944628093,6.074318290,-2.690463614,-1.986429511,6.097072680,2,14
676,14,-1.372664107,-0.950951413,3.204889390,-1.381080131,-0.946712862,3.250671288,2,18
684,14,-0.670913860,-0.054519438,8.119102220,-0.676523154,-0.108807585,8.174800211,4,22
686,14,-2.365199872,-1.147539202,4.275370059,-2.369960418,-1.164826317,4.320365247,2,15
688,14,0.574266383,0.783348985,2.684564647,0.551447822,0.809142333,2.749290908,4,23
702,14,-0.175718227,-0.227882485,3.853589727,-0.188440655,-0.222933881,3.906472557,2,18
706,14,0.145939488,-0.092355638,1.154356853,0.126833077,-0.049885856,1.208631537,2,18
711,14,-0.127154116,0.010013037,0.512577295,-0.148305889,0.058703778,0.568750842,3,21
721,14,-3.082348645,-1.823050073,6.312053065,-3.077876788,-1.872237031,6.349433866,2,16
729,14,-0.723951215,-0.064205832,3.780124165,-0.738058035,-0.062543868,3.836170187,2,17
733,14,2.317623545,-0.715274841,6.925953872,2.314635020,-0.730974148,6.967556222,2,15
741,15,0.582367150,-0.740234717,7.304146841,0.577711952,-0.779860468,7.343586020,2,19
746,15,0.375459005,0.064998036,2.663195194,0.375888741,0.088718564,2.713847279,2,18
750,15,0.262328102,-0.418140368,4.695878788,0.260681957,-0.422384550,4.739563181,3,20
769,16,-0.078392734,0.065373555,2.832640831,-0.081494833,0.086071920,2.882808250,2,19
771,16,-1.780504377,-1.674181635,5.346789227,-1.782583880,-1.689961099,5.372021224,9,39
774,16,-2.212690746,-1.430047058,4.398787365,-2.213270875,-1.436882978,4.425683835,4,23
778,16,-2.451367257,-1.552064174,4.903129323,-2.452774172,-1.565771566,4.927920199,5,23
784,16,-1.076630708,-1.076696049,3.305128366,-1.075829695,-1.065849355,3.339340903,31,64
785,16,-1.698805954,-1.567383447,10.053683470,-1.714289861,-1.636975885,10.080042294,4,24
787,16,-1.166938508,-0.458333265,5.496296295,-1.174957814,-0.473159866,5.537212080,2,20
790,16,2.139971631,0.620152390,9.248180464,2.116711431,0.576972118,9.310480848,3,23
794,16,-3.420092851,-2.369113853,8.475135946,-3.427579686,-2.428238056,8.487574190,11,34
798,16,-0.339688686,-0.135743306,1.638860609,-0.338597499,-0.102468116,1.686068656,4,28
809,17,-0.495664477,-0.728114903,6.656743763,-0.503425331,-0.749167696,6.691524749,3,23
811,17,1.212197878,-0.290966568,3.304402593,1.211510779,-0.265335286,3.349222526,2,21
812,17,-0.344020032,-0.312873524,2.589147883,-0.342479583,-0.288502256,2.629180413,2,19
814,17,-1.280519888,-0.897840158,2.695225719,-1.275826782,-0.880061616,2.726087488,2,19
819,17,0.198904518,-0.522306657,5.395649682,0.193560425,-0.525496262,5.434813426,5,25
820,17,-0.238601485,-0.155944131,1.395868412,-0.234540114,-0.117893606,1.438005548,3,22
822,17,2.029101387,1.006432015,8.032892858,2.007115592,0.984928502,8.094014203,4,26
823,17,-1.199778613,-0.943954169,3.272198387,-1.196482222,-0.932021996,3.302756955,6,33
826,17,-1.741319006,0.133411316,3.706867673,-1.745599737,0.137331363,3.747586275,2,20
828,18,0.552944812,0.832703572,2.861577030,0.553242010,0.859723463,2.905863408,2,23
829,18,0.012226806,-0.025071123,0.932838105,0.017086464,0.019864486,0.967987932,2,19
833,18,0.054600550,-0.022641513,1.235734746,0.059395955,0.019280114,1.270902735,4,30
834,18,-1.332261968,1.056659098,4.524817221,-1.333329552,1.056684033,4.570970880,2,21
836,18,-0.343116087,-0.167857983,2.112042670,-0.337750139,-0.137208080,2.145527427,2,19
846,18,-0.291173492,0.199373109,4.478234540,-0.288021926,0.205079801,4.515503542,4,35
847,18,0.090172048,0.180256256,1.794808585,0.093871793,0.216391169,1.832111290,2,19
849,18,-1.664080453,-1.132074514,6.741223314,-1.654738941,-1.157113556,6.763893710,3,21
852,18,-0.015133949,0.299978653,1.547093045,-0.011980458,0.338222150,1.585659861,8,38
853,18,-1.288407783,-0.883118618,2.706804265,-1.279607916,-0.863402657,2.732435329,2,19
856,18,-0.815114606,-0.161150849,2.962595669,-0.809921336,-0.141874936,2.995998221,5,31
863,18,0.532113069,0.784232685,2.685806922,0.532679376,0.813023321,2.729582967,2,21
865,18,-0.411628727,0.216983792,8.502032923,-0.409250173,0.179287073,8.539234580,3,26
867,18,-3.029968626,-2.082797926,6.510427551,-3.015886864,-2.112043062,6.522692216,2,19
868,18,1.027654259,0.024933445,3.151891771,1.031875947,0.051258099,3.187674688,2,22
873,18,-0.551711163,-0.047623438,2.002656596,-0.546916379,-0.016845354,2.037380014,2,19
875,18,-0.023283266,-0.046199162,4.846070865,-0.018987890,-0.043069654,4.880766477,4,36
