source_id,target_id,type,tx,ty,tz,qx,qy,qz,qw,inlier_count,reprojection_error_median
0,1,sequential,-0.000067539,0.002684535,0.000325623,0.000394127,-0.000269707,0.000385215,0.999999812,0,nan
1,2,sequential,0.000851654,0.006461887,0.004248419,0.000617695,-0.000376465,0.000869035,0.999999361,0,nan
2,3,sequential,-0.000889731,0.006856779,-0.002435950,0.000390802,-0.000182218,-0.000007567,0.999999907,0,nan
3,4,sequential,-0.026483681,-0.001314528,0.023297572,0.000216316,0.002297064,0.001357769,0.999996417,0,nan
4,5,sequential,-0.001911384,-0.004633431,0.006791468,-0.000229090,0.000389537,0.000494694,0.999999776,0,nan
5,6,sequential,-0.004053529,0.012298107,-0.001754835,0.001129612,0.000034456,0.000409456,0.999999278,0,nan
6,7,sequential,-0.006414970,0.015503471,-0.005105064,0.001660943,-0.000625289,0.001177529,0.999997732,0,nan
7,8,sequential,0.002197746,0.002616417,0.007038524,0.000322094,0.000249620,-0.000305272,0.999999870,0,nan
8,9,sequential,0.000343342,-0.007490044,0.001462728,-0.000710099,0.000526448,-0.000923979,0.999999182,0,nan
9,10,sequential,0.001729233,0.002377112,0.005798669,-0.000065966,-0.000136866,0.000445365,0.999999889,0,nan
10,11,sequential,0.003835818,0.014275938,0.008278354,0.001414869,-0.000862244,0.000624589,0.999998432,0,nan
11,12,sequential,0.003539442,0.015922286,0.000874450,0.001411442,-0.000717447,-0.000420708,0.999998658,0,nan
12,13,sequential,0.005602049,0.001505047,0.001294597,0.000681944,-0.000114924,-0.000202414,0.999999740,0,nan
13,14,sequential,-0.000068918,-0.010389461,0.005550066,-0.000738325,0.000732592,-0.000053882,0.999999458,0,nan
14,15,sequential,0.026087727,0.003217544,-0.006321719,0.000356791,-0.001637744,-0.003259564,0.999993283,0,nan
15,16,sequential,0.001003356,-0.006166733,0.000395887,-0.001105786,-0.000720946,0.001694044,0.999997694,0,nan
16,17,sequential,0.002192520,0.000999928,-0.005214248,-0.000276448,-0.000070094,0.000669809,0.999999735,0,nan
17,18,sequential,-0.002301130,-0.000017234,-0.009164096,-0.000151817,0.001359195,-0.000475663,0.999998952,0,nan
18,19,sequential,-0.000459297,-0.003898911,0.016802225,-0.000890528,-0.001477239,0.002098011,0.999996312,0,nan
19,20,sequential,-0.001370355,-0.002946136,-0.005243006,-0.000531731,0.000946930,-0.000827826,0.999999068,0,nan
20,21,sequential,-0.003164049,0.000491542,0.000878634,0.000380909,0.000511040,0.000701075,0.999999551,0,nan
21,22,sequential,-0.004877349,0.000602705,0.000770158,0.000241884,0.001788354,-0.000581423,0.999998203,0,nan
22,23,sequential,0.016046425,0.014828423,-0.007068569,0.000201617,0.001334359,-0.000634361,0.999998888,0,nan
23,24,sequential,-0.001464078,0.002422725,0.024199967,0.002013565,0.000756095,-0.002380219,0.999994854,0,nan
24,25,sequential,-0.023158134,-0.001537982,0.013425793,0.000390075,0.003572680,0.002092602,0.999991352,0,nan
25,26,sequential,-0.002260987,0.000030577,0.028845368,0.001539268,0.005022973,-0.000202416,0.999986180,0,nan
26,27,sequential,-0.001798642,-0.002704678,0.031379603,0.002508400,0.005452935,-0.002708178,0.999978319,0,nan
27,28,sequential,-0.000822233,-0.012689113,0.027177760,0.000360364,0.005858622,-0.002183127,0.999980390,0,nan
28,29,sequential,-0.001982072,-0.013924849,0.016148364,-0.000218336,0.004203320,0.000988943,0.999990653,0,nan
29,30,sequential,-0.001988066,-0.002399342,0.014815117,-0.000107255,0.003136703,0.001528452,0.999993907,0,nan
30,31,sequential,0.004356692,-0.006611433,0.008576848,-0.000215472,0.004162615,0.000459147,0.999991208,0,nan
31,32,sequential,-0.002430216,-0.009622779,0.008977139,-0.000563752,0.003680571,0.000411029,0.999992983,0,nan
32,33,sequential,-0.018129453,-0.013547940,0.019163912,-0.002636786,0.006165592,0.000385198,0.999977442,0,nan
33,34,sequential,-0.011004162,-0.004482309,0.024452254,-0.000613752,0.004182044,0.002394410,0.999988200,0,nan
34,35,sequential,-0.008368460,-0.010056624,0.032936778,-0.002104624,0.004462714,0.002239183,0.999985320,0,nan
35,36,sequential,-0.017676292,-0.020762434,0.041433065,-0.001255591,0.001540617,0.001412864,0.999997027,0,nan
36,37,sequential,0.003931948,-0.006008877,0.018494946,-0.000919010,0.000405575,-0.001734839,0.999997991,0,nan
37,38,sequential,-0.001742378,0.002002737,-0.002514149,0.003546083,0.000459968,0.003573344,0.999987222,0,nan
38,39,sequential,-0.004751911,-0.013434580,0.002372738,0.000877451,0.000903529,0.003273910,0.999993848,0,nan
39,40,sequential,0.014644651,-0.002044447,0.011940404,0.001559593,-0.000882189,-0.003064084,0.999993700,0,nan
